MGE_subtype,ARG,species,gut_locations
tnpA,tet(A),s__unclassified Bacteria species,Feces
intI1,aadA5,s__Paracoccus denitrificans,Feces
intI1,dfrA17,s__Paracoccus denitrificans,Feces
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,Feces
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,Feces
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,Feces
tnpA,ErmB,s__Staphylococcus aureus,Feces
qacEdelta,qacEdelta1,s__unclassified Bacteria species,Feces
qacEdelta,sul1,s__unclassified Bacteria species,Feces
tnpA,APH(3')-Ia,s__unclassified Corynebacterium species,Feces
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,Feces
rep7,catA8,s__Enterococcus faecium,Feces
rep7,catA8,s__Enterococcus faecium,Feces
tnpA,tet(A),s__unclassified Pseudomonadota species,Feces
tnpA,ANT(9)-Ia,s__Companilactobacillus pabuli,Feces
tnpA,APH(3')-Ia,s__unclassified Gammaproteobacteria species,Feces
tnpA,fexA,s__unclassified Lactobacillaceae species,Feces
intI1,AAC(6')-Ib8,s__Enterobacter hormaechei,Feces
qacEdelta,AAC(6')-Ib8,s__Enterobacter hormaechei,Feces
qacEdelta,qacL,s__Enterobacter hormaechei,Feces
qacEdelta,qacEdelta1,s__unclassified Bacteria species,Feces
qacEdelta,sul1,s__unclassified Bacteria species,Feces
tnpA,APH(4)-Ia,s__unclassified Bacteria species,Feces
tnpA,APH(4)-Ia,s__unclassified Bacteria species,Feces
tnpA,poxtA,s__Lactobacillus crispatus,Feces
tnpA,qacG,s__Acinetobacter sp. NEB 394,Feces
rep7,tet(K),s__Staphylococcus aureus,Feces
tnpA,FosB3,s__Enterococcus faecium,Feces
rep7,catA8,s__Enterococcus faecium,Feces
qacEdelta,aadA5,s__Escherichia coli,Feces
qacEdelta,dfrA17,s__Escherichia coli,Feces
qacEdelta,qacEdelta1,s__Escherichia coli,Feces
qacEdelta,sul1,s__Escherichia coli,Feces
tnpA,fexA,s__Radiobacillus kanasensis,Feces
qacEdelta,qacL,s__unclassified Gammaproteobacteria species,Feces
rep21,lnuA,s__Mammaliicoccus sciuri,Feces
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,Feces
tnpA,tet(A),s__unclassified Bacteria species,Feces
tnpA,tet(A),s__unclassified Bacteria species,Feces
rep1,ErmB,s__Lactobacillus johnsonii,Feces
rep7,tet(45),s__Mammaliicoccus sciuri,Feces
tnpA,qacG,s__Acinetobacter sp. CS-2,Feces
tnpA,APH(3')-Ia,s__unclassified Bacteria species,Feces
repUS12,ANT(4')-Ia,s__Enterococcus faecalis,Feces
qacEdelta,aadA5,s__Escherichia coli,Feces
qacEdelta,dfrA17,s__Escherichia coli,Feces
qacEdelta,qacEdelta1,s__Escherichia coli,Feces
qacEdelta,sul1,s__Escherichia coli,Feces
tnpA,tet(A),s__Escherichia coli,Feces
tnpA,tet(A),s__Escherichia coli,Feces
