MGE_subtype,ARG,species,Sample
tnpA,tet(A),s__unclassified Bacteria species,BKDN170793833-1A
intI1,aadA5,s__Paracoccus denitrificans,BKDN170793833-1A
intI1,dfrA17,s__Paracoccus denitrificans,BKDN170793833-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793833-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793833-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793833-1A
tnpA,ErmB,s__Staphylococcus aureus,BKDN170793833-1A
qacEdelta,qacEdelta1,s__unclassified Bacteria species,BKDN170793833-1A
qacEdelta,sul1,s__unclassified Bacteria species,BKDN170793833-1A
tnpA,APH(3')-Ia,s__unclassified Corynebacterium species,BKDN170793833-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793833-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793833-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793835-1A
tnpA,tet(A),s__unclassified Pseudomonadota species,BKDN170793835-1A
tnpA,ANT(9)-Ia,s__Companilactobacillus pabuli,BKDN170793835-1A
tnpA,APH(3')-Ia,s__unclassified Gammaproteobacteria species,BKDN170793835-1A
tnpA,fexA,s__unclassified Lactobacillaceae species,BKDN170793835-1A
intI1,AAC(6')-Ib8,s__Enterobacter hormaechei,BKDN170793835-1A
qacEdelta,AAC(6')-Ib8,s__Enterobacter hormaechei,BKDN170793835-1A
intI1,qacL,s__Enterobacter hormaechei,BKDN170793835-1A
qacEdelta,qacL,s__Enterobacter hormaechei,BKDN170793835-1A
qacEdelta,qacEdelta1,s__unclassified Bacteria species,BKDN170793835-1A
qacEdelta,sul1,s__unclassified Bacteria species,BKDN170793835-1A
tnpA,APH(4)-Ia,s__unclassified Bacteria species,BKDN170793835-1A
tnpA,APH(4)-Ia,s__unclassified Bacteria species,BKDN170793835-1A
tnpA,poxtA,s__Lactobacillus crispatus,BKDN170793835-1A
tnpA,qacG,s__Acinetobacter sp. NEB 394,BKDN170793835-1A
rep7,tet(K),s__Staphylococcus aureus,BKDN170793835-1A
tnpA,FosB3,s__Enterococcus faecium,BKDN170793835-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793836-1A
qacEdelta,aadA5,s__Escherichia coli,BKDN170793836-1A
qacEdelta,dfrA17,s__Escherichia coli,BKDN170793836-1A
qacEdelta,qacEdelta1,s__Escherichia coli,BKDN170793836-1A
qacEdelta,sul1,s__Escherichia coli,BKDN170793836-1A
tnpA,fexA,s__Radiobacillus kanasensis,BKDN170793836-1A
qacEdelta,qacL,s__unclassified Gammaproteobacteria species,BKDN170793836-1A
rep21,lnuA,s__Mammaliicoccus sciuri,BKDN170793836-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793836-1A
tnpA,tet(A),s__unclassified Bacteria species,BKDN170793836-1A
tnpA,tet(A),s__unclassified Bacteria species,BKDN170793836-1A
rep1,ErmB,s__Lactobacillus johnsonii,BKDN170793836-1A
rep7,tet(45),s__Mammaliicoccus sciuri,BKDN170793836-1A
tnpA,qacG,s__Acinetobacter sp. CS-2,BKDN170793836-1A
tnpA,APH(3')-Ia,s__unclassified Bacteria species,BKDN170793837-1A
repUS12,ANT(4')-Ia,s__Enterococcus faecalis,BKDN170793837-1A
qacEdelta,aadA5,s__Escherichia coli,BKDN170793837-1A
qacEdelta,dfrA17,s__Escherichia coli,BKDN170793837-1A
qacEdelta,qacEdelta1,s__Escherichia coli,BKDN170793837-1A
qacEdelta,sul1,s__Escherichia coli,BKDN170793837-1A
tnpA,tet(A),s__Escherichia coli,BKDN170793837-1A
tnpA,tet(A),s__Escherichia coli,BKDN170793837-1A
tnpA,ANT(9)-Ia,s__Staphylococcus aureus,BKDN170793837-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793837-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793837-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793837-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793837-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793837-1A
tnpA,fexB,s__Enterococcus faecalis,BKDN170793837-1A
tnpA,fexB,s__Enterococcus faecalis,BKDN170793837-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793837-1A
intI1,AAC(6')-Ib8,s__Pseudomonas aeruginosa,BKDN170793838-1A
intI1,aadA2,s__Pseudomonas aeruginosa,BKDN170793838-1A
tnpA,ANT(6)-Ia,s__Staphylococcus aureus,BKDN170793838-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793838-1A
qacEdelta,aadA5,s__unclassified Gammaproteobacteria species,BKDN170793838-1A
qacEdelta,dfrA17,s__unclassified Gammaproteobacteria species,BKDN170793838-1A
qacEdelta,qacEdelta1,s__unclassified Gammaproteobacteria species,BKDN170793838-1A
qacEdelta,sul1,s__unclassified Gammaproteobacteria species,BKDN170793838-1A
tnpA,sul2,s__unclassified Alphaproteobacteria species,BKDN170793838-1A
tnpA,fexB,s__Ligilactobacillus animalis,BKDN170793838-1A
tnpA,tet(A),s__unclassified Enterobacteriaceae species,BKDN170793838-1A
IS91,sul2,s__unclassified Bacteria species,BKDN170793839-1A
tnpA,fexA,s__Enterococcus hirae,BKDN170793839-1A
qacEdelta,qacEdelta1,s__Citrobacter portucalensis,BKDN170793839-1A
qacEdelta,sul1,s__Citrobacter portucalensis,BKDN170793839-1A
tnpA,Mrx,s__unclassified Enterobacteriaceae species,BKDN170793839-1A
tnpA,mphA,s__unclassified Enterobacteriaceae species,BKDN170793839-1A
tnpA,TEM-1,s__Escherichia coli,BKDN170793839-1A
intI1,dfrA1,s__Escherichia coli,BKDN170793839-1A
rep7,tet(K),s__Staphylococcus aureus,BKDN170793839-1A
qacEdelta,ANT(2'')-Ia,s__unclassified Gammaproteobacteria species,BKDN170793839-1A
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,BKDN170793839-1A
tnpA,APH(6)-Id,s__unclassified Enterobacterales species,BKDN170793839-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793839-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793839-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793839-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793839-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793839-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793839-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793839-1A
tnpA,tet(A),s__unclassified Bacteria species,BKDN170793839-1A
tnpA,ANT(6)-Ia,s__Streptococcus gallolyticus,BKDN170793839-1A
rep7,catA8,s__Enterococcus casseliflavus,BKDN170793839-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793840-1A
repUS12,ErmB,s__Limosilactobacillus reuteri,BKDN170793840-1A
tnpA,tet(A),s__unclassified Enterobacteriaceae species,BKDN170793840-1A
rep7,tet(45),s__Staphylococcus aureus,BKDN170793840-1A
tnpA,sul2,s__unclassified Gammaproteobacteria species,BKDN170793840-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793840-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793840-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793840-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793840-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793840-1A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,BKDN170793840-1A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,BKDN170793840-1A
qacEdelta,qacEdelta1,s__unclassified Bacteria species,BKDN170793840-1A
qacEdelta,sul1,s__unclassified Bacteria species,BKDN170793840-1A
tnpA,OXA-10,s__Escherichia coli,BKDN170793840-1A
tnpA,arr-2,s__Escherichia coli,BKDN170793840-1A
tnpA,cmlA5,s__Escherichia coli,BKDN170793840-1A
tnpA,dfrA14,s__Escherichia coli,BKDN170793840-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793891-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793891-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793891-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793891-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793891-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793891-1A
tnpA,OXA-10,s__unclassified Enterobacteriaceae species,BKDN170793891-1A
tnpA,arr-2,s__unclassified Enterobacteriaceae species,BKDN170793891-1A
tnpA,cmlA5,s__unclassified Enterobacteriaceae species,BKDN170793891-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793891-1A
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,BKDN170793891-1A
tnpA,APH(6)-Id,s__unclassified Enterobacterales species,BKDN170793891-1A
tnpA,tet(A),s__unclassified Enterobacterales species,BKDN170793891-1A
tnpA,TEM-1,s__unclassified Gammaproteobacteria species,BKDN170793891-1A
qacEdelta,qacEdelta1,s__Citrobacter portucalensis,BKDN170793891-1A
qacEdelta,sul1,s__Citrobacter portucalensis,BKDN170793891-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793891-1A
tnpA,fexB,s__Enterococcus faecium,BKDN170793892-1A
tnpA,fexB,s__Enterococcus faecium,BKDN170793892-1A
tnpA,tet(A),s__Escherichia coli,BKDN170793892-1A
tnpA,TEM-1,s__unclassified Gammaproteobacteria species,BKDN170793892-1A
tnpA,TEM-1,s__unclassified Gammaproteobacteria species,BKDN170793892-1A
intI1,dfrA17,s__Escherichia coli,BKDN170793892-1A
tnpA,sul2,s__unclassified Pseudomonadota species,BKDN170793892-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793892-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793892-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793892-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793892-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793892-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793892-1A
rep7,catA8,s__Enterococcus lactis,BKDN170793892-1A
tnpA,OXA-10,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
tnpA,arr-2,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
tnpA,catB3,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
tnpA,cmlA5,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793893-1A
repUS12,catA8,s__Enterococcus faecium,BKDN170793893-1A
tnpA,tet(A),s__unclassified Bacteria species,BKDN170793893-1A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
intI1,aadA5,s__Escherichia coli,BKDN170793893-1A
intI1,dfrA17,s__Escherichia coli,BKDN170793893-1A
qacEdelta,qacEdelta1,s__unclassified Gammaproteobacteria species,BKDN170793893-1A
qacEdelta,sul1,s__unclassified Gammaproteobacteria species,BKDN170793893-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793893-1A
tnpA,qacG,s__Acinetobacter seifertii,BKDN170793894-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793894-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793894-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793894-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793894-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793894-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793894-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793894-1A
ISCR-orf513,dfrA19,s__unclassified Gammaproteobacteria species,BKDN170793894-1A
tnpA,OXA-58,s__Acinetobacter sp. SCLZS86,BKDN170793894-1A
IS91,ANT(3'')-IIb,s__Acinetobacter schindleri,BKDN170793894-1A
IS91,ANT(3'')-IIb,s__Acinetobacter schindleri,BKDN170793894-1A
tnpA,ANT(3'')-IIb,s__Acinetobacter schindleri,BKDN170793894-1A
tnpA,ANT(3'')-IIb,s__Acinetobacter schindleri,BKDN170793894-1A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,BKDN170793894-1A
qacEdelta,qacL,s__unclassified Gammaproteobacteria species,BKDN170793894-1A
tnpA,mphA,s__Salmonella enterica,BKDN170793894-1A
qacEdelta,aadA5,s__unclassified Gammaproteobacteria species,BKDN170793894-1A
qacEdelta,dfrA17,s__unclassified Gammaproteobacteria species,BKDN170793894-1A
qacEdelta,qacEdelta1,s__unclassified Gammaproteobacteria species,BKDN170793894-1A
qacEdelta,sul1,s__unclassified Gammaproteobacteria species,BKDN170793894-1A
tnpA,Streptococcus suis chloramphenicol acetyltransferase,s__Enterococcus faecium,BKDN170793895-1A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
qacEdelta,aadA5,s__unclassified Gammaproteobacteria species,BKDN170793895-1A
qacEdelta,dfrA17,s__unclassified Gammaproteobacteria species,BKDN170793895-1A
qacEdelta,qacEdelta1,s__unclassified Gammaproteobacteria species,BKDN170793895-1A
qacEdelta,sul1,s__unclassified Gammaproteobacteria species,BKDN170793895-1A
tnpA,tet(A),s__unclassified Bacteria species,BKDN170793895-1A
tnpA,OXA-10,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,arr-2,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,cmlA5,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793895-1A
tnpA,fexB,s__Enterococcus faecium,BKDN170793895-1A
rep7,catA8,s__Enterococcus lactis,BKDN170793895-1A
int2,cpxA,s__Escherichia coli,BKDN170793895-1A
tnpA,ErmA,s__Staphylococcus aureus,BKDN170793895-1A
tnpA,tet(A),s__unclassified Bacteria species,BKDN170793896-1A
IS91,lnuA,s__Limosilactobacillus reuteri,BKDN170793896-1A
qacEdelta,qacL,s__unclassified Gammaproteobacteria species,BKDN170793896-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793896-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
IS91,ANT(3'')-IIb,s__Acinetobacter sp. YH12138,BKDN170793896-1A
tnpA,ANT(3'')-IIb,s__Acinetobacter sp. YH12138,BKDN170793896-1A
tnpA,ANT(3'')-IIb,s__Acinetobacter sp. YH12138,BKDN170793896-1A
tnpA,aadA5,s__unclassified Enterobacterales species,BKDN170793896-1A
tnpA,dfrA17,s__unclassified Enterobacterales species,BKDN170793896-1A
tnpA,OXA-10,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,arr-2,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,catB3,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,cmlA5,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,Mrx,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
tnpA,mphA,s__unclassified Enterobacteriaceae species,BKDN170793896-1A
rep7,tet(K),s__Mammaliicoccus sciuri,BKDN170793896-1A
qacEdelta,qacEdelta1,s__unclassified Bacteria species,BKDN170793896-1A
qacEdelta,sul1,s__unclassified Bacteria species,BKDN170793896-1A
tnpA,qacG,s__Acinetobacter seifertii,BKDN170793896-1A
tnpA,TEM-1,s__unclassified Gammaproteobacteria species,BKDN170793896-1A
tnpA,Escherichia coli emrE,s__Escherichia coli,BKDN170793896-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793898-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,ANT(3'')-IIa,s__Acinetobacter chinensis,BKDN170793898-1A
tnpA,tet(A),s__unclassified Bacteria species,BKDN170793898-1A
tnpA,tet(A),s__unclassified Bacteria species,BKDN170793898-1A
tnpA,OXA-10,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,arr-2,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,cmlA5,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,APH(3'')-Ib,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,APH(6)-Id,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,BKDN170793898-1A
qacEdelta,aadA5,s__unclassified Gammaproteobacteria species,BKDN170793898-1A
tniB,aadA5,s__unclassified Gammaproteobacteria species,BKDN170793898-1A
qacEdelta,dfrA17,s__unclassified Gammaproteobacteria species,BKDN170793898-1A
tniB,dfrA17,s__unclassified Gammaproteobacteria species,BKDN170793898-1A
qacEdelta,qacEdelta1,s__unclassified Gammaproteobacteria species,BKDN170793898-1A
tniB,qacEdelta1,s__unclassified Gammaproteobacteria species,BKDN170793898-1A
qacEdelta,sul1,s__unclassified Gammaproteobacteria species,BKDN170793898-1A
tniB,sul1,s__unclassified Gammaproteobacteria species,BKDN170793898-1A
intI1,aadA5,s__Escherichia coli,BKDN170793899-1A
intI1,dfrA17,s__Escherichia coli,BKDN170793899-1A
qacEdelta,qacEdelta1,s__unclassified Bacteria species,BKDN170793899-1A
tniB,qacEdelta1,s__unclassified Bacteria species,BKDN170793899-1A
qacEdelta,sul1,s__unclassified Bacteria species,BKDN170793899-1A
tniB,sul1,s__unclassified Bacteria species,BKDN170793899-1A
tnpA,Mrx,s__Klebsiella pneumoniae,BKDN170793899-1A
tnpA,Mrx,s__Klebsiella pneumoniae,BKDN170793899-1A
tnpA,mphA,s__Klebsiella pneumoniae,BKDN170793899-1A
tnpA,mphA,s__Klebsiella pneumoniae,BKDN170793899-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793899-1A
tnpA,OXA-10,s__unclassified Enterobacteriaceae species,BKDN170793899-1A
tnpA,arr-2,s__unclassified Enterobacteriaceae species,BKDN170793899-1A
tnpA,catB3,s__unclassified Enterobacteriaceae species,BKDN170793899-1A
tnpA,cmlA5,s__unclassified Enterobacteriaceae species,BKDN170793899-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793899-1A
tnpA,APH(3')-IIIa,s__Enterococcus faecium,BKDN170793899-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793899-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793899-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793899-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793899-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793899-1A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,BKDN170793899-1A
tnpA,tet(A),s__unclassified Bacteria species,BKDN170793899-1A
tnpA,TEM-1,s__unclassified Gammaproteobacteria species,BKDN170793899-1A
tnpA,OXA-10,s__unclassified Enterobacteriaceae species,BKDN170793901-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793901-1A
Tn916,tet(40),s__Enterococcus cecorum,BKDN170793901-1A
Tn916,tet(40),s__Enterococcus cecorum,BKDN170793901-1A
Tn916,tet(O),s__Enterococcus cecorum,BKDN170793901-1A
Tn916,tet(O),s__Enterococcus cecorum,BKDN170793901-1A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,BKDN170793901-1A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,BKDN170793901-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793901-1A
repUS12,catA8,s__Enterococcus faecium,BKDN170793901-1A
tnpA,catA8,s__Enterococcus faecium,BKDN170793901-1A
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,BKDN170793901-1A
tnpA,APH(6)-Id,s__unclassified Enterobacterales species,BKDN170793901-1A
tnpA,sul2,s__unclassified Enterobacterales species,BKDN170793901-1A
tnpA,tet(A),s__unclassified Enterobacterales species,BKDN170793901-1A
qacEdelta,qacEdelta1,s__unclassified Bacteria species,BKDN170793901-1A
tnpA,Streptococcus suis chloramphenicol acetyltransferase,s__Enterococcus casseliflavus,BKDN170793901-1A
tnpA,QnrS1,s__Klebsiella pneumoniae,BKDN170793901-1A
tnpA,QnrS1,s__Klebsiella pneumoniae,BKDN170793901-1A
tnpA,QnrS1,s__Klebsiella pneumoniae,BKDN170793901-1A
tnpA,QnrS1,s__Klebsiella pneumoniae,BKDN170793901-1A
tnpA,QnrS1,s__Klebsiella pneumoniae,BKDN170793901-1A
tnpA,QnrS1,s__Klebsiella pneumoniae,BKDN170793901-1A
tnpA,tet(B),s__Escherichia coli,BKDN170793901-1A
tnpA,tet(R),s__Escherichia coli,BKDN170793901-1A
tnpA,CTX-M-55,s__unclassified Enterobacteriaceae species,BKDN170793901-1A
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,BKDN170793902-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793902-1A
tnpA,tet(M),s__unclassified Escherichia species,BKDN170793902-1A
qacEdelta,qacEdelta1,s__Paracoccus alcaliphilus,BKDN170793902-1A
tnpA,qacEdelta1,s__Paracoccus alcaliphilus,BKDN170793902-1A
qacEdelta,sul1,s__Paracoccus alcaliphilus,BKDN170793902-1A
tnpA,sul1,s__Paracoccus alcaliphilus,BKDN170793902-1A
IS91,ANT(3'')-IIb,s__Acinetobacter ursingii,BKDN170793903-1A
IS91,ANT(3'')-IIb,s__Acinetobacter ursingii,BKDN170793903-1A
tnpA,ANT(3'')-IIb,s__Acinetobacter ursingii,BKDN170793903-1A
tnpA,ANT(3'')-IIb,s__Acinetobacter ursingii,BKDN170793903-1A
tnpA,lnuG,s__unclassified Enterococcus species,BKDN170793903-1A
rep7,catA8,s__Enterococcus faecium,BKDN170793903-1A
repUS12,catA8,s__Enterococcus faecium,BKDN170793903-1A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,BKDN170793903-1A
qacEdelta,aadA5,s__unclassified Gammaproteobacteria species,BKDN170793903-1A
qacEdelta,dfrA17,s__unclassified Gammaproteobacteria species,BKDN170793903-1A
qacEdelta,qacEdelta1,s__unclassified Gammaproteobacteria species,BKDN170793903-1A
qacEdelta,sul1,s__unclassified Gammaproteobacteria species,BKDN170793903-1A
tnpA,tet(A),s__unclassified Enterobacteriaceae species,BKDN170793903-1A
tnpA,OXA-10,s__unclassified Enterobacteriaceae species,BKDN170793903-1A
tnpA,cmlA5,s__unclassified Enterobacteriaceae species,BKDN170793903-1A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,BKDN170793903-1A
tnpA,qacG,s__Acinetobacter seifertii,BKDN170793903-1A
tnpA,ErmB,s__Streptococcus suis,BKDN170793903-1A
IS91,tet(59),s__Psychrobacter sp. van23A,BKDN170793903-1A
tnpA,sul2,s__Acinetobacter baumannii,BKDN170793903-1A
tnpA,sul2,s__Acinetobacter baumannii,BKDN170793903-1A
rep7,tet(K),s__Staphylococcus aureus,BKDN170793903-1A
