ARG_type,MGE_subtype,count,Drug_Class
emrK,tnpA,1,tetracycline
emrY,IS91,1,tetracycline
emrY,tnpA,1,tetracycline
tet(33),tnpA,7,tetracycline
tet(40),Tn916-family,2,tetracycline
tet(40),tnpA,1,tetracycline
tet(44),Tn916-family,33,tetracycline
tet(44),tnpA,1,tetracycline
tet(45),Tn916-family,213,tetracycline
tet(45),qacEdelta,2,tetracycline
tet(45),rep22,20,tetracycline
tet(45),rep7,54,tetracycline
tet(45),repUS12,108,tetracycline
tet(45),tnpA,95,tetracycline
tet(59),IS91,5,tetracycline
tet(A),IS91,43,tetracycline
tet(A),qacEdelta,2,tetracycline
tet(A),tniB,1,tetracycline
tet(A),tnpA,771,tetracycline
tet(A),tnpA1133,1,tetracycline
tet(B),IS10,71,tetracycline
tet(B),tnpA,13,tetracycline
tet(B),tnpA10,86,tetracycline
tet(C),tnpA,17,tetracycline
tet(D),tnpA,2,tetracycline
tet(K),rep7,56,tetracycline
tet(K),tnpA,1,tetracycline
tet(M),IS91,1,tetracycline
tet(M),Tn916-family,1360,tetracycline
tet(M),rep22,1,tetracycline
tet(M),rep7,19,tetracycline
tet(M),repUS12,32,tetracycline
tet(M),tnpA,35,tetracycline
tet(O),Tn916-family,8,tetracycline
tet(O),repUS12,2,tetracycline
tet(O),tnpA,42,tetracycline
tet(O/32/O),tnpA,1,tetracycline
tet(Q),IS91,1,tetracycline
tet(Q),tnpA,87,tetracycline
tet(R),IS10,69,tetracycline
tet(R),tnpA,13,tetracycline
tet(R),tnpA10,86,tetracycline
tet(S),Tn916-family,23,tetracycline
tet(S),tnpA,5,tetracycline
tet(W),tnpA,12,tetracycline
tet(W/N/W),tnpA,2,tetracycline
tet(Z),tnpA,16,tetracycline
