Sample,Total_ARG_number,high_risk_ARG_number
GCH111B,52,10
GCH112A,10,5
GCH119A,0,0
GCH151B,21,9
GCH156B,49,10
GCH162B,19,6
GCH186B,182,30
GCH206A,3,1
GCH209B,110,22
GCH212B,156,18
GCH221A,81,11
GCH227B,79,19
GCH250A,0,0
GCH251A,29,7
GCH263A,0,0
GCH277A,6,1
GCH294A,6,1
GCH295A,6,1
GCH323A,0,0
GCH324A,0,0
GCH325A,8,2
GCH326A,1,0
GCH340A,0,0
GCH346A,0,0
GCH74A,0,0
MCH108B,122,21
MCH111A,15,4
MCH112B,68,15
MCH119B,39,12
MCH127B,52,11
MCH151A,23,5
MCH156B,6,1
MCH221A,71,9
MCH259B,66,16
MCH277B,52,13
MCH287B,56,10
MCH294B,36,12
MCH295B,66,12
MCH306A,2,1
MCH323B,55,9
MCH324B,77,14
MCH325B,80,16
MCH326B,91,15
MCH328B,72,11
MCH340B,62,13
MCH346B,66,10
MCH74B,53,13
MCH95A,14,6
SHMC11B,96,16
SHMC12B,94,11
SHMC139B,38,11
SHMC141B,5,1
SHMC14B,31,8
SHMC154A,5,3
SHMC157B,7,3
SHMC191B,29,8
SHMC207A,6,6
SHMC212B,96,17
SHMC213B,40,9
SHMC239B,62,14
SHMC243B,37,5
SHMC245A,2,1
SHMC247B,24,7
SHMC249B,22,7
SHMC260A,0,0
SHMC262B,119,19
SHMC285A,3,2
SHMC288B,21,5
SHMC294B,108,17
SHMC298A,0,0
SHMC34A,4,1
SHMC39B,0,0
SHMC47B,72,18
SHMC58B,31,4
SHMC68B,31,10
SHMC78B,37,9
SHMC93B,22,7
SHDC104A,0,0
SHDC107A,0,0
SHDC111A,0,0
SHDC11C,3,1
SHDC12A,0,0
SHDC139A,0,0
SHDC141A,0,0
SHDC14A,1,1
SHDC154A,0,0
SHDC157A,0,0
SHDC170A,0,0
SHDC174A,0,0
SHDC178A,0,0
SHDC191A,0,0
SHDC203A,0,0
SHDC207A,0,0
SHDC212A,0,0
SHDC213A,0,0
SHDC214A,0,0
SHDC239A,0,0
SHDC23A,1,1
SHDC245A,0,0
SHDC247A,0,0
SHDC249A,0,0
SHDC260A,0,0
SHDC262A,0,0
SHDC285A,0,0
SHDC288A,0,0
SHDC294A,0,0
SHDC298A,0,0
SHDC301A,0,0
SHDC302A,0,0
SHDC34A,0,0
SHDC39A,0,0
SHDC46A,0,0
SHDC47A,0,0
SHDC58A,0,0
SHDC61A,0,0
SHDC68A,0,0
SHDC78A,0,0
SHDC93A,0,0
SRR21163427,0,0
SRR21163438,0,0
SRR21163449,0,0
SRR21163460,0,0
SRR21163471,0,0
SRR21163482,0,0
SRR21163493,0,0
SRR21163501,1,0
SRR21163502,2,1
SRR21163503,4,4
SRR21163504,0,0
SRR21163505,2,2
SRR21163506,1,1
SRR21163507,11,6
SRR21163508,2,2
SRR21163509,0,0
SRR21163510,14,7
SRR21163511,7,5
SRR21163512,12,9
SRR21163522,0,0
SRR21163533,0,0
SRR21163534,0,0
SRR21163535,0,0
JCH108-1A,0,0
JCH111-1A,0,0
JCH112-1A,1,1
JCH119-1A,1,1
JCH127-1A,0,0
JCH157-1A,72,7
JCH180-1A,6,3
JCH206-1A,0,0
JCH209-1A,24,5
JCH210-1A,0,0
JCH247-1A,5,2
JCH250-1A,0,0
JCH258-1A,0,0
JCH259-1B,1,0
JCH263-1A,0,0
JCH277-1A,0,0
JCH287-1A,0,0
JCH294-1A,0,0
JCH295-1A,0,0
JCH306-1A,0,0
JCH323-1A,0,0
JCH324-1A,0,0
JCH325-1A,0,0
JCH326-1A,0,0
JCH328-1A,0,0
JCH340-1A,0,0
JCH346-1A,0,0
JCH57-1A,0,0
JCH74-1A,0,0
JCH93-1A,0,0
JCH95-1A,0,0
SRR21163475,1,1
SRR21163476,0,0
SRR21163477,3,3
SRR21163478,0,0
SRR21163479,2,2
SRR21163480,2,2
SRR21163481,4,4
SRR21163483,3,0
SRR21163484,4,3
SRR21163485,0,0
SRR21163486,5,5
SRR21163487,0,0
SRR21163488,0,0
SRR21163489,0,0
SRR21163490,0,0
SRR21163491,0,0
SRR21163492,0,0
SRR21163494,0,0
SRR21163495,0,0
SRR21163496,0,0
SRR21163497,0,0
SRR21163498,0,0
SRR21163499,0,0
SRR21163500,0,0
ICH108-1A,0,0
ICH111-1A,0,0
ICH112-1A,0,0
ICH119-1A,0,0
ICH127-1A,0,0
ICH150-1A,2,0
ICH151-1A,3,1
ICH180-1A,18,2
ICH206-1A,0,0
ICH210-1A,3,1
ICH221-1A,0,0
ICH227-1A,16,7
ICH247-1A,116,17
ICH250-1A,0,0
ICH258-1A,10,3
ICH259-1A,4,3
ICH263-1A,1,1
ICH277-1A,0,0
ICH287-1A,0,0
ICH294-1A,0,0
ICH295-1A,0,0
ICH306-1A,0,0
ICH323-1A,0,0
ICH324-1A,0,0
ICH325-1A,0,0
ICH326-1A,0,0
ICH328-1A,0,0
ICH340-1A,0,0
ICH346-1A,0,0
