Sample,tetracycline_abundance,gut_locations
BKDN170793833-1A,273.100142,Feces
BKDN170793835-1A,338.560763,Feces
BKDN170793836-1A,463.49048600000003,Feces
BKDN170793837-1A,388.83457799999996,Feces
BKDN170793838-1A,373.272694,Feces
BKDN170793839-1A,232.600603,Feces
BKDN170793840-1A,628.992361,Feces
BKDN170793891-1A,334.167037,Feces
BKDN170793892-1A,257.44286900000003,Feces
BKDN170793893-1A,459.182905,Feces
BKDN170793894-1A,418.964876,Feces
BKDN170793895-1A,296.982485,Feces
BKDN170793896-1A,356.324913,Feces
BKDN170793898-1A,245.053774,Feces
BKDN170793899-1A,483.87050600000003,Feces
BKDN170793901-1A,352.02464200000003,Feces
BKDN170793902-1A,383.769512,Feces
BKDN170793903-1A,261.337173,Feces
BKDN170793904-1A,254.636957,Feces
BKDN170793906-1A,454.064474,Feces
BKDN170793907-1A,274.331754,Feces
BKDN170793908-1A,309.10780900000003,Feces
BKDN170793909-1A,323.939135,Feces
BKDN170793993-1A,269.481423,Feces
BKDN170793994-1A,353.973633,Feces
BKDN170793995-1A,338.97946,Feces
BKDN170793998-1A,176.630791,Feces
BKDN170794001-1A,284.16456900000003,Feces
BKDN170794002-1A,272.353423,Feces
BKDN170794054-1A,307.932929,Feces
BKDN170794056-1A,254.520839,Feces
BKDN170794057-1A,285.289269,Feces
BKDN170794058-1A,415.354512,Feces
BKDN170794064-1A,220.936288,Feces
BKDN170794065-1A,280.99966,Feces
BKDN170794066-1A,262.65963899999997,Feces
BKDN170794067-1A,364.111411,Feces
BKDN170794068-1A,321.930434,Feces
BKDN170794148-1A,418.384436,Feces
BKDN170794149-1A,397.9162,Feces
BKDN170794152-1A,273.274993,Feces
BKDN170794156-1A,115.241961,Feces
BKDN170794158-1A,155.313281,Feces
BKDN170794159-1A,190.817064,Feces
BKDN170794160-1A,248.78870899999998,Feces
BKDN170794161-1A,234.71300100000002,Feces
BKDN170794163-1A,158.689405,Feces
BKDN170794164-1A,253.312931,Feces
BKDN170794165-1A,227.532644,Feces
BKDN170794228-1A,306.918361,Feces
BKDN170794322-1A,309.64971,Feces
BKDN170794326-1A,277.893706,Feces
BKDN170794327-1A,426.18001399999997,Feces
BKDN170794329-1A,226.00613099999998,Feces
BKDN170794330-1A,312.37230900000003,Feces
BKDN170794331-1A,265.344508,Feces
BKDN170794385-1A,269.85902400000003,Feces
BKDN170794387-1A,297.973903,Feces
BKDN170794392-1A,216.319637,Feces
BKDN170794393-1A,283.779592,Feces
BKDN170794394-1A,150.453861,Feces
BKDN170794480-1A,247.128497,Feces
BKDN170794548-1A,284.82453399999997,Feces
BKDN170794551-1A,248.489021,Feces
BKDN170794553-1A,175.260024,Feces
BKDN170794554-1A,306.749835,Feces
BKDN170794805-1A,324.651929,Feces
BKDN170794806-1A,344.621853,Feces
BKDN170794809-1A,397.452192,Feces
BKDN170794811-1A,293.996137,Feces
BKDN170794972-1A,395.37219700000003,Feces
BKDN170795140-1A,302.499762,Feces
BKDN170795141-1A,346.810627,Feces
BKDN170795142-1A,349.79215899999997,Feces
BKDN170795145-1A,371.996225,Feces
BKDN170795146-1A,266.000032,Feces
BKDN170795147-1A,323.905732,Feces
BKDN170795149-1A,318.655162,Feces
BKDN170795572-1A,289.698312,Feces
BKDN170795573-1A,290.882952,Feces
BKDN170795574-1A,268.78853399999997,Feces
BKDN170795575-1A,287.628056,Feces
BKDN170795576-1A,343.891815,Feces
BKDN170795577-1A,209.579957,Feces
BKDN170795578-1A,138.013238,Feces
BKDN170795737-1A,428.2034,Feces
BKDN170795738-1A,240.178384,Feces
BKDN170795739-1A,351.50705400000004,Feces
BKDN170795740-1A,274.65292800000003,Feces
BKDN170795742-1A,223.384513,Feces
BKDN170795743-1A,339.76500599999997,Feces
BKDN170795744-1A,244.081872,Feces
BKDN170795745-1A,259.967135,Feces
BKDN170795836-1A,336.004007,Feces
BKDN170795837-1A,276.320986,Feces
BKDN170795838-1A,343.565086,Feces
BKDN170795907-1A,275.853649,Feces
