Sample,glycopeptide_abundance,gut_locations
BKDN170793833-1A,121.872994,Feces
BKDN170793835-1A,40.728239,Feces
BKDN170793836-1A,75.37551,Feces
BKDN170793837-1A,69.255033,Feces
BKDN170793838-1A,138.671553,Feces
BKDN170793839-1A,35.924094,Feces
BKDN170793840-1A,46.362190000000005,Feces
BKDN170793891-1A,48.716111,Feces
BKDN170793892-1A,94.577783,Feces
BKDN170793893-1A,89.719825,Feces
BKDN170793894-1A,55.277958999999996,Feces
BKDN170793895-1A,127.583949,Feces
BKDN170793896-1A,39.005756999999996,Feces
BKDN170793898-1A,61.891629,Feces
BKDN170793899-1A,20.933172,Feces
BKDN170793901-1A,28.160884,Feces
BKDN170793902-1A,22.891267,Feces
BKDN170793903-1A,15.648784000000001,Feces
BKDN170793904-1A,51.165580999999996,Feces
BKDN170793906-1A,107.690123,Feces
BKDN170793907-1A,62.375946,Feces
BKDN170793908-1A,46.887172,Feces
BKDN170793909-1A,37.357156,Feces
BKDN170793993-1A,29.533864,Feces
BKDN170793994-1A,33.239961,Feces
BKDN170793995-1A,40.863381,Feces
BKDN170793998-1A,110.545672,Feces
BKDN170794001-1A,171.300199,Feces
BKDN170794002-1A,144.816313,Feces
BKDN170794054-1A,32.886928,Feces
BKDN170794056-1A,96.254442,Feces
BKDN170794057-1A,56.553876,Feces
BKDN170794058-1A,79.492632,Feces
BKDN170794064-1A,27.640828,Feces
BKDN170794065-1A,55.492181,Feces
BKDN170794066-1A,52.31409,Feces
BKDN170794067-1A,69.570982,Feces
BKDN170794068-1A,126.15893700000001,Feces
BKDN170794148-1A,84.454933,Feces
BKDN170794149-1A,73.616538,Feces
BKDN170794152-1A,30.598615,Feces
BKDN170794156-1A,31.30724,Feces
BKDN170794158-1A,24.512581,Feces
BKDN170794159-1A,164.663054,Feces
BKDN170794160-1A,149.230462,Feces
BKDN170794161-1A,118.453115,Feces
BKDN170794163-1A,70.183881,Feces
BKDN170794164-1A,148.263705,Feces
BKDN170794165-1A,122.315181,Feces
BKDN170794228-1A,75.57709,Feces
