Sample,high_risk_ARG_abundance,gut_locations
BKDN170793833-1A,206.611824,Feces
BKDN170793835-1A,219.535197,Feces
BKDN170793836-1A,327.187754,Feces
BKDN170793837-1A,189.287994,Feces
BKDN170793838-1A,278.166208,Feces
BKDN170793839-1A,127.053779,Feces
BKDN170793840-1A,234.923661,Feces
BKDN170793891-1A,168.042898,Feces
BKDN170793892-1A,206.772948,Feces
BKDN170793893-1A,215.618021,Feces
BKDN170793894-1A,222.45334599999998,Feces
BKDN170793895-1A,253.354018,Feces
BKDN170793896-1A,191.983325,Feces
BKDN170793898-1A,181.569694,Feces
BKDN170793899-1A,339.366935,Feces
BKDN170793901-1A,257.000588,Feces
BKDN170793902-1A,275.67715,Feces
BKDN170793903-1A,232.861804,Feces
BKDN170793904-1A,131.76665400000002,Feces
BKDN170793906-1A,331.627641,Feces
BKDN170793907-1A,222.435424,Feces
BKDN170793908-1A,174.85448,Feces
BKDN170793909-1A,130.372632,Feces
BKDN170793993-1A,200.837007,Feces
BKDN170793994-1A,216.806792,Feces
BKDN170793995-1A,189.016912,Feces
BKDN170793998-1A,190.92635099999998,Feces
BKDN170794001-1A,250.865523,Feces
BKDN170794002-1A,256.578085,Feces
BKDN170794054-1A,294.490017,Feces
BKDN170794056-1A,231.13227600000002,Feces
BKDN170794057-1A,179.84077,Feces
BKDN170794058-1A,183.366386,Feces
BKDN170794064-1A,137.681696,Feces
BKDN170794065-1A,174.93797,Feces
BKDN170794066-1A,219.667081,Feces
BKDN170794067-1A,123.35843799999999,Feces
BKDN170794068-1A,346.403502,Feces
BKDN170794148-1A,121.978813,Feces
BKDN170794149-1A,252.54107,Feces
BKDN170794152-1A,212.251019,Feces
BKDN170794156-1A,95.99160599999999,Feces
BKDN170794158-1A,204.603861,Feces
BKDN170794159-1A,158.59218,Feces
BKDN170794160-1A,242.18504,Feces
BKDN170794161-1A,249.068273,Feces
BKDN170794163-1A,121.239117,Feces
BKDN170794164-1A,213.034,Feces
BKDN170794165-1A,231.554245,Feces
BKDN170794228-1A,268.526654,Feces
BKDN170794322-1A,235.845283,Feces
BKDN170794326-1A,174.61371,Feces
BKDN170794327-1A,190.832932,Feces
BKDN170794329-1A,94.985955,Feces
BKDN170794330-1A,245.984992,Feces
BKDN170794331-1A,223.743371,Feces
BKDN170794385-1A,249.784197,Feces
BKDN170794387-1A,240.82305699999998,Feces
BKDN170794392-1A,207.565068,Feces
BKDN170794393-1A,263.37969,Feces
BKDN170794394-1A,142.225615,Feces
BKDN170794480-1A,210.98025600000003,Feces
BKDN170794548-1A,250.054408,Feces
BKDN170794551-1A,230.74937,Feces
BKDN170794553-1A,157.530501,Feces
BKDN170794554-1A,236.991351,Feces
