ARGs,ARG_type
tet(M),tet(M)
tet(45),tet(45)
fexA,fexA
tet(Q),tet(Q)
tet(A),tet(A)
qacEdelta1,qacEdelta1
tet(O),tet(O)
APH(3')-IIIa,APH(3')-IIIa
QnrS1,QnrS1
TEM-1,TEM-1
sul2,sul2
ErmB,ErmB
ErmA,ErmA
sul1,sul1
catA8,catA8
tet(W),tet(W)
tet(44),tet(44)
APH(3')-Ia,APH(3')-Ia
APH(3'')-Ib,APH(3'')-Ib
lnuC,lnuC
arr-3,arr-3
qacG,qacG
cfrA,cfrA
Streptococcus suis chloramphenicol acetyltransferase,Streptococcus suis chloramphenicol acetyltransferase
SAT-4,SAT-4
FosB3,FosB3
ANT(6)-Ia,ANT(6)-Ia
dfrA14,dfrA14
dfrA17,dfrA17
ErmF,ErmF
tet(B),tet(B)
qacJ,qacJ
lnuA,lnuA
fexB,fexB
tet(R),tet(R)
dfrA27,dfrA27
adeF,adeF
aad(6),aad(6)
FosXCC,FosXCC
AAC(6')-IIa,AAC(6')-IIa
aadA5,aadA5
poxtA,poxtA
AAC(3)-IVa,AAC(3)-IVa
vanTG,vanTG
arr-2,arr-2
EstT,EstT
ANT(2'')-Ia,ANT(2'')-Ia
nimJ,nimJ
APH(6)-Id,APH(6)-Id
aadA16,aadA16
ANT(4')-Ia,ANT(4')-Ia
tet(S),tet(S)
AAC(6')-Ib-cr6,AAC(6')-Ib-cr6
APH(4)-Ia,APH(4)-Ia
vanYB,vanYB
H-NS,H-NS
Escherichia coli emrE,Escherichia coli emrE
OXA-10,OXA-10
npmA,npmA
CTX-M-55,CTX-M-55
Vibrio anguillarum chloramphenicol acetyltransferase,Vibrio anguillarum chloramphenicol acetyltransferase
dfrA12,dfrA12
AAC(3)-IIc,AAC(3)-IIc
mefH,mefH
tet(K),tet(K)
tet(40),tet(40)
vanYG,vanYG
cfrE,cfrE
qacL,qacL
vanWI,vanWI
ErmX,ErmX
catB3,catB3
tet(W/N/W),tet(W/N/W)
aadA2,aadA2
EreD,EreD
Mef(En2),Mef(En2)
Erm(35),Erm(35)
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,AAC(6')-Ie-APH(2'')-Ia bifunctional protein
cmlA5,cmlA5
lnuB,lnuB
Mrx,Mrx
tet(X),tet(X)
APH(2'')-If,APH(2'')-If
nimA,nimA
vanYM,vanYM
APH(3')-IIa,APH(3')-IIa
cpxA,cpxA
mphA,mphA
ANT(3'')-IIa,ANT(3'')-IIa
FosI,FosI
ANT(9)-Ia,ANT(9)-Ia
OXA-347,OXA-347
OXA-1,OXA-1
FosA3,FosA3
oqxA,oqxA
Campylobacter coli chloramphenicol acetyltransferase,Campylobacter coli chloramphenicol acetyltransferase
ErmC,ErmC
vanYA,vanYA
ErmT,ErmT
acrD,acrD
sul3,sul3
vanG,vanG
dfrA1,dfrA1
evgA,evgA
tet(Z),tet(Z)
vanYF,vanYF
ErmG,ErmG
AAC(6')-Ib8,AAC(6')-Ib8
tet(O/32/O),tet(O/32/O)
nimB,nimB
dfrF,dfrF
aadS,aadS
ANT(6)-Ib,ANT(6)-Ib
FosA8,FosA8
FosBx1,FosBx1
leuO,leuO
kdpE,kdpE
mdtM,mdtM
catII from Escherichia coli K-12,catII from Escherichia coli K-12
dfrG,dfrG
ugd,ugd
tet(C),tet(C)
BRP(MBL),BRP(MBL)
NDM-5,NDM-5
cfr(D),cfr(D)
emrY,emrY
emrK,emrK
aadA9,aadA9
linG,linG
MCR-1.1,MCR-1.1
