mag,Family,Genus
CCH108A_bin.13,f__Elusimicrobiaceae,g__UBA1436
CCH108A_bin.14,f__Tannerellaceae,g__Parabacteroides
CCH108A_bin.15,f__Paludibacteraceae,g__Gallipaludibacter
CCH108A_bin.18,f__Acutalibacteraceae,g__Fimenecus
CCH108A_bin.22,f__UBA932,g__Coprenecus
CCH108A_bin.24,f__Ruminococcaceae,g__Faecalibacterium
CCH108A_bin.28,f__Bacteroidaceae,g__Phocaeicola
CCH108A_bin.29,f__Acutalibacteraceae,g__Fimenecus
CCH108A_bin.32,f__Tannerellaceae,g__Parabacteroides
CCH108A_bin.34,f__Bacteroidaceae,g__Prevotella
CCH108A_bin.35,f__Bacteroidaceae,g__Phocaeicola
CCH108A_bin.41,f__Oscillospiraceae,g__Faecousia
CCH108A_bin.5,f__Ruminococcaceae,g__Fournierella
CCH108A_bin.6,f__Bacteroidaceae,g__Prevotella
CCH108A_bin.9,f__RUG14156,g__Galligastranaerophilus_A
CCH108_bin_with_2dai_data_bin.10,f__CAG-917,g__Limadaptatus
CCH108_bin_with_2dai_data_bin.11,f__Ruminococcaceae,g__Faecalibacterium
CCH108_bin_with_2dai_data_bin.12,f__Tannerellaceae,g__Parabacteroides
CCH108_bin_with_2dai_data_bin.15,f__UBA3700,g__Ornithoclostridium
CCH108_bin_with_2dai_data_bin.16,f__Anaerotignaceae,g__Anaerotignum
CCH108_bin_with_2dai_data_bin.17,f__Coprobacillaceae,g__Thomasclavelia
CCH108_bin_with_2dai_data_bin.19,f__Elusimicrobiaceae,g__UBA1436
CCH108_bin_with_2dai_data_bin.22,f__Bacteroidaceae,g__Prevotella
CCH108_bin_with_2dai_data_bin.28,f__Acutalibacteraceae,g__Fimenecus
CCH108_bin_with_2dai_data_bin.29,f__Gastranaerophilaceae,g__Limenecus
CCH108_bin_with_2dai_data_bin.3,f__Acidaminococcaceae,g__URXU01
CCH108_bin_with_2dai_data_bin.30,f__UBA932,g__Coprenecus
CCH108_bin_with_2dai_data_bin.34,f__RUG14156,g__Galligastranaerophilus_A
CCH108_bin_with_2dai_data_bin.35,f__UBA932,g__CALUPD01
CCH108_bin_with_2dai_data_bin.36,f__UBA3700,g__Ornithoclostridium
CCH108_bin_with_2dai_data_bin.37,f__Bacteroidaceae,g__Prevotella
CCH108_bin_with_2dai_data_bin.39,f__Acutalibacteraceae,g__Heritagella
CCH108_bin_with_2dai_data_bin.40,f__Mucispirillaceae,unknown
CCH108_bin_with_2dai_data_bin.44,f__Ruminococcaceae,g__Anaerofilum
CCH108_bin_with_2dai_data_bin.45,f__Oscillospiraceae,g__Faecousia
CCH108_bin_with_2dai_data_bin.46,f__UBA3700,g__Ornithoclostridium
CCH108_bin_with_2dai_data_bin.47,f__Fusobacteriaceae,g__Fusobacterium_A
CCH108_bin_with_2dai_data_bin.48,f__Lachnospiraceae,g__Mediterraneibacter
CCH108_bin_with_2dai_data_bin.5,f__Acutalibacteraceae,g__Fimenecus
CCH108_bin_with_2dai_data_bin.50,f__UBA932,g__Cryptobacteroides
CCH108_bin_with_2dai_data_bin.55,f__Treponemataceae,g__Gallitreponema
CCH108_bin_with_2dai_data_bin.6,f__UBA932,g__CALUPD01
CCH108_bin_with_2dai_data_bin.65,f__Acidaminococcaceae,g__CAG-266
CCH108_bin_with_2dai_data_bin.66,f__Tannerellaceae,g__Parabacteroides
CCH108_bin_with_3dai_data_bin.12,f__Brachyspiraceae,g__Brachyspira
CCH108_bin_with_3dai_data_bin.19,f__Succinivibrionaceae,g__Anaerobiospirillum
CCH209A_bin.1,f__Bacteroidaceae,g__Mediterranea
CCH209A_bin.10,f__Ruminococcaceae,g__Faecalibacterium
CCH209A_bin.11,f__Ruminococcaceae,g__Faecalibacterium
CCH209A_bin.20,f__Gastranaerophilaceae,g__CAG-196
CCH209A_bin.22,f__Marinifilaceae,g__CALUMT01
CCH209A_bin.27,f__Brachyspiraceae,g__Brachyspira
CCH209A_bin.34,f__Succinivibrionaceae,g__Anaerobiospirillum
CCH209A_bin.35,f__Bacteroidaceae,g__Phocaeicola
CCH209A_bin.39,f__Anaerotignaceae,g__Metalachnospira
CCH209A_bin.44,f__Bacteroidaceae,g__Phocaeicola
CCH209A_bin.45,f__UBA660,g__Faecenecus
CCH209A_bin.47,f__Bacteroidaceae,g__Avibacteroides
CCH209A_bin.49,f__Coriobacteriaceae,g__Collinsella
CCH209A_bin.50,f__Acutalibacteraceae,g__Eubacterium_R
CCH209A_bin.55,f__Rikenellaceae,g__Alistipes
CCH209A_bin.6,f__Ruminococcaceae,g__RGIG3102
CCH209A_bin.62,f__CAG-508,g__CAG-273
CCH209A_bin.63,f__Ruminococcaceae,g__Anaerofilum
CCH209A_bin.75,f__Oscillospiraceae,g__Enterenecus
CCH209A_bin.8,f__Oscillospiraceae,g__Avoscillospira_A
CCH210A_bin.12,f__Oscillospiraceae,g__Pseudoscilispira
CCH210A_bin.16,f__Ruminococcaceae,g__Faecalibacterium
CCH210A_bin.17,f__Coprobacillaceae,g__Thomasclavelia
CCH210A_bin.19,f__Acutalibacteraceae,g__UMGS263
CCH210A_bin.21,f__Ruminococcaceae,g__Faecivivens
CCH210A_bin.29,f__Bacteroidaceae,g__43-108
CCH210A_bin.31,f__Tannerellaceae,g__Parabacteroides
CCH210A_bin.32,f__Mucispirillaceae,g__Mucispirillum
CCH210A_bin.33,f__Lachnospiraceae,g__Fusicatenibacter
CCH210A_bin.35,f__Rikenellaceae,g__Tidjanibacter
CCH210A_bin.38,f__Ruminococcaceae,g__Anaerofilum
CCH210A_bin.41,f__Selenomonadaceae,g__Megamonas
CCH210A_bin.42,f__Butyricicoccaceae,g__Butyricicoccus
CCH210A_bin.43,f__Tannerellaceae,g__Parabacteroides
CCH210A_bin.44,f__Lachnospiraceae,g__Egerieimonas_A
CCH210A_bin.46,f__Muribaculaceae,g__Limisoma
CCH210A_bin.47,f__Ruminococcaceae,g__JAFBIO01
CCH210A_bin.48,f__Anaerotignaceae,g__HGM11808
CCH210A_bin.49,f__Ruminococcaceae,g__Faecalibacterium
CCH210A_bin.52,f__Anaerotignaceae,g__Metalachnospira
CCH210A_bin.55,f__Anaerotignaceae,g__Anaerotignum
CCH210A_bin.59,f__Bacteroidaceae,g__Prevotella
CCH210A_bin.6,f__Bacteroidaceae,g__Phocaeicola
CCH210A_bin.61,f__Enterobacteriaceae,g__Escherichia
CCH210A_bin.64,f__Acutalibacteraceae,g__Scybalenecus
CCH210A_bin.7,f__Anaerotignaceae,g__Neoanaerotignum_A
CCH210_bin_with_2dai_data_bin.13,f__Lachnospiraceae,g__Enterocloster
CCH210_bin_with_2dai_data_bin.15,f__Ruminococcaceae,g__JAFBIO01
CCH210_bin_with_2dai_data_bin.16,f__Ruminococcaceae,g__Faecivivens
CCH210_bin_with_2dai_data_bin.18,f__Ruminococcaceae,g__Faecalibacterium
CCH210_bin_with_2dai_data_bin.19,f__Ruminococcaceae,g__Negativibacillus
CCH210_bin_with_2dai_data_bin.20,f__Lachnospiraceae,g__Copromonas
CCH210_bin_with_2dai_data_bin.21,f__Bacteroidaceae,g__Phocaeicola
CCH210_bin_with_2dai_data_bin.22,f__CAG-314,unknown
CCH210_bin_with_2dai_data_bin.24,f__Acutalibacteraceae,g__Caccousia
CCH210_bin_with_2dai_data_bin.27,unknown,unknown
CCH210_bin_with_2dai_data_bin.30,f__Ruminococcaceae,g__Massiliimalia
CCH210_bin_with_2dai_data_bin.31,f__Acutalibacteraceae,g__Fimenecus
CCH210_bin_with_2dai_data_bin.33,f__UBA660,g__Pelethosoma
CCH210_bin_with_2dai_data_bin.37,f__Lachnospiraceae,g__Egerieimonas_A
CCH210_bin_with_2dai_data_bin.38,f__Ruminococcaceae,g__Merdivicinus
CCH210_bin_with_2dai_data_bin.41,f__UBA660,g__Faecenecus
CCH210_bin_with_2dai_data_bin.42,f__Succinivibrionaceae,g__Anaerobiospirillum
CCH210_bin_with_2dai_data_bin.43,f__Acutalibacteraceae,g__Eubacterium_R
CCH210_bin_with_2dai_data_bin.44,f__Ruminococcaceae,g__Faecalibacterium
CCH210_bin_with_2dai_data_bin.45,f__Butyricicoccaceae,g__Butyricicoccus
CCH210_bin_with_2dai_data_bin.49,f__Acutalibacteraceae,g__UMGS263
CCH210_bin_with_2dai_data_bin.52,f__CAG-239,g__CAJLXD01
CCH210_bin_with_2dai_data_bin.55,f__Ruminococcaceae,g__Anaerofilum
CCH210_bin_with_2dai_data_bin.56,f__Oscillospiraceae,g__Faecousia
CCH210_bin_with_2dai_data_bin.58,f__Ruminococcaceae,g__Pygmaiobacter
CCH210_bin_with_2dai_data_bin.59,f__Paludibacteraceae,g__Gallipaludibacter
CCH210_bin_with_2dai_data_bin.60,f__Anaerotignaceae,g__Neoanaerotignum_A
CCH210_bin_with_2dai_data_bin.64,f__UBA932,g__Cryptobacteroides
CCH210_bin_with_2dai_data_bin.68,f__Rikenellaceae,g__Rikenella
CCH210_bin_with_2dai_data_bin.69,f__Lachnospiraceae,g__Lachnoclostridium_A
CCH210_bin_with_2dai_data_bin.7,f__Lachnospiraceae,g__Lachnoclostridium_A
CCH210_bin_with_2dai_data_bin.72,f__Burkholderiaceae_A,g__Aphodousia
CCH210_bin_with_2dai_data_bin.73,f__Enterobacteriaceae,g__Escherichia
CCH210_bin_with_2dai_data_bin.74,f__Treponemataceae,g__Treponema_F
CCH210_bin_with_2dai_data_bin.78,f__Oscillospiraceae,g__Pseudoscilispira
CCH210_bin_with_2dai_data_bin.79,f__Anaerotignaceae,g__Neoanaerotignum_B
CCH210_bin_with_2dai_data_bin.82,f__Butyricicoccaceae,g__Pseudobutyricicoccus
CCH210_bin_with_2dai_data_bin.83,f__Succinivibrionaceae,g__Anaerobiospirillum
CCH210_bin_with_2dai_data_bin.86,f__Bacteroidaceae,g__Prevotella
CCH210_bin_with_2dai_data_bin.88,f__Acutalibacteraceae,g__Heritagella
CCH210_bin_with_2dai_data_bin.90,f__Selenomonadaceae,g__Megamonas
CCH210_bin_with_3dai_data_bin.10,f__Desulfovibrionaceae,g__Desulfovibrio
CCH210_bin_with_3dai_data_bin.12,f__UBA660,g__Pelethosoma
CCH210_bin_with_3dai_data_bin.14,f__Bacteroidaceae,g__Paraprevotella
CCH210_bin_with_3dai_data_bin.18,f__Oscillospiraceae,g__Enterenecus
CCH210_bin_with_3dai_data_bin.29,f__Bacteroidaceae,g__Phocaeicola
CCH210_bin_with_3dai_data_bin.31,f__Anaerotignaceae,g__Anaerotignum
CCH210_bin_with_3dai_data_bin.40,f__Acidaminococcaceae,g__URXU01
CCH210_bin_with_3dai_data_bin.44,f__Erysipelotrichaceae,g__Faecalitalea
CCH210_bin_with_3dai_data_bin.8,f__Anaerotignaceae,unknown
CCH212A_bin.12,f__Treponemataceae,g__DXHG01
CCH212A_bin.13,f__Butyricicoccaceae,g__Butyricicoccus
CCH212A_bin.14,f__Bacteroidaceae,g__Avibacteroides
CCH212A_bin.15,f__Tannerellaceae,g__Parabacteroides
CCH212A_bin.16,f__Ruminococcaceae,g__Anaerofilum
CCH212A_bin.21,f__Acidaminococcaceae,g__CAG-266
CCH212A_bin.23,f__Mucispirillaceae,unknown
CCH212A_bin.29,f__Bacteroidaceae,g__Phocaeicola
CCH212A_bin.30,f__Desulfovibrionaceae,g__Desulfovibrio
CCH212A_bin.31,f__Ruminococcaceae,g__Faecalibacterium
CCH212A_bin.33,f__Succinivibrionaceae,g__Avisuccinivibrio
CCH212A_bin.5,f__Succinivibrionaceae,g__Anaerobiospirillum
CCH212A_bin.51,f__Tannerellaceae,g__Parabacteroides
CCH212A_bin.7,f__CAG-917,g__Limadaptatus
CCH247A_bin.13,f__Rikenellaceae,g__Alistipes
CCH247A_bin.14,f__Acutalibacteraceae,g__UMGS263
CCH247A_bin.19,f__Ruminococcaceae,g__Ruthenibacterium
CCH247A_bin.23,f__Ruminococcaceae,g__Faecalibacterium
CCH247A_bin.24,f__Acutalibacteraceae,g__RGIG9287
CCH247A_bin.26,f__Tannerellaceae,g__Parabacteroides
CCH247A_bin.28,f__Acidaminococcaceae,g__CAG-266
CCH247A_bin.30,f__Bacteroidaceae,g__Phocaeicola
CCH247A_bin.31,f__CAG-508,g__CAG-269
CCH247A_bin.33,f__Tannerellaceae,g__Parabacteroides
CCH247A_bin.36,f__Bacteroidaceae,g__Mediterranea
CCH247A_bin.42,f__Rikenellaceae,g__Alistipes
CCH247A_bin.44,f__Bacteroidaceae,g__43-108
CCH247A_bin.5,f__Lachnospiraceae,g__Egerieimonas_A
CCH247A_bin.50,f__Marinifilaceae,g__Odoribacter
CCH247A_bin.52,f__Ruminococcaceae,g__Avimicrobium
CCH247A_bin.54,f__Dialisteraceae,g__Dialister
CCH247A_bin.55,f__Ruminococcaceae,g__Anaerofilum
CCH247A_bin.58,f__Erysipelotrichaceae,g__JALEVB01
CCH247A_bin.60,f__Ruminococcaceae,g__Faecalibacterium
CCH247A_bin.67,f__Desulfovibrionaceae,g__Desulfovibrio
CCH247A_bin.70,f__Bacteroidaceae,g__Paraprevotella
CCH247A_bin.72,f__Bacteroidaceae,g__Phocaeicola
CCH247A_bin.73,f__Muribaculaceae,g__Limisoma
CCH247A_bin.78,f__Bacteroidaceae,g__Paraprevotella
CCH247A_bin.8,f__Dialisteraceae,g__UBA1822
CCH247A_bin.80,f__Bacteroidaceae,g__Avibacteroides
CCH247A_bin.82,f__Treponemataceae,g__Treponema_F
CCH247A_bin.9,f__Tannerellaceae,g__Parabacteroides
CCH247_bin_with_2dai_data_bin.101,f__Acutalibacteraceae,g__Caccousia
CCH247_bin_with_2dai_data_bin.103,f__Coriobacteriaceae,g__Collinsella
CCH247_bin_with_2dai_data_bin.12,f__Ruminococcaceae,g__Ruthenibacterium
CCH247_bin_with_2dai_data_bin.13,f__Anaerotignaceae,g__Metalachnospira
CCH247_bin_with_2dai_data_bin.15,f__Butyricicoccaceae,g__Pseudobutyricicoccus
CCH247_bin_with_2dai_data_bin.16,f__Anaerotignaceae,g__Anaerotignum
CCH247_bin_with_2dai_data_bin.17,f__UBA932,g__Cryptobacteroides
CCH247_bin_with_2dai_data_bin.21,f__UBA932,g__Merdivivens
CCH247_bin_with_2dai_data_bin.23,f__Ruminococcaceae,g__Fournierella
CCH247_bin_with_2dai_data_bin.24,unknown,unknown
CCH247_bin_with_2dai_data_bin.25,f__Ruminococcaceae,g__Anaerofilum
CCH247_bin_with_2dai_data_bin.29,f__UBA3700,g__RACS-045
CCH247_bin_with_2dai_data_bin.3,f__Acutalibacteraceae,g__Scybalenecus
CCH247_bin_with_2dai_data_bin.32,f__P3,g__Pullibacteroides
CCH247_bin_with_2dai_data_bin.35,f__Coprobacillaceae,g__Thomasclavelia
CCH247_bin_with_2dai_data_bin.37,f__Ruminococcaceae,g__Avimicrobium
CCH247_bin_with_2dai_data_bin.39,f__Succinivibrionaceae,g__CALXNP01
CCH247_bin_with_2dai_data_bin.40,f__Bacteroidaceae,g__Phocaeicola
CCH247_bin_with_2dai_data_bin.41,f__Acutalibacteraceae,g__UMGS263
CCH247_bin_with_2dai_data_bin.42,f__UBA932,g__Cryptobacteroides
CCH247_bin_with_2dai_data_bin.43,f__Mucispirillaceae,unknown
CCH247_bin_with_2dai_data_bin.45,f__UBA660,g__Faecimonas
CCH247_bin_with_2dai_data_bin.50,f__Treponemataceae,g__DXHG01
CCH247_bin_with_2dai_data_bin.51,f__Rikenellaceae,g__Alistipes
CCH247_bin_with_2dai_data_bin.53,f__Oscillospiraceae,g__Pseudoscilispira
CCH247_bin_with_2dai_data_bin.54,f__Ruminococcaceae,g__Negativibacillus
CCH247_bin_with_2dai_data_bin.55,f__Bacteroidaceae,g__Phocaeicola
CCH247_bin_with_2dai_data_bin.56,f__Paludibacteraceae,g__Gallipaludibacter
CCH247_bin_with_2dai_data_bin.6,f__Borkfalkiaceae,g__Gallimonas
CCH247_bin_with_2dai_data_bin.65,f__UBA3700,g__Ornithoclostridium
CCH247_bin_with_2dai_data_bin.69,f__Bacteroidaceae,g__43-108
CCH247_bin_with_2dai_data_bin.7,f__Oscillospiraceae,g__Faecousia
CCH247_bin_with_2dai_data_bin.70,f__Peptostreptococcaceae,g__Peptacetobacter
CCH247_bin_with_2dai_data_bin.71,f__Lachnospiraceae,g__Copromonas
CCH247_bin_with_2dai_data_bin.73,f__Lachnospiraceae,g__Merdisoma
CCH247_bin_with_2dai_data_bin.8,f__Ruminococcaceae,g__Anaerofilum
CCH247_bin_with_2dai_data_bin.81,f__UBA932,g__CALUPD01
CCH247_bin_with_2dai_data_bin.82,f__Oscillospiraceae,g__Lawsonibacter
CCH247_bin_with_2dai_data_bin.89,f__Acidaminococcaceae,g__CAG-266
CCH247_bin_with_2dai_data_bin.92,f__Oscillospiraceae,g__Enterenecus
CCH247_bin_with_2dai_data_bin.94,f__Bacteroidaceae,g__Phocaeicola
CCH247_bin_with_2dai_data_bin.97,f__Bacteroidaceae,g__Alloprevotella
CCH247_bin_with_3dai_data_bin.12,f__Helicobacteraceae,g__Helicobacter_G
CCH247_bin_with_3dai_data_bin.2,f__CAG-239,g__51-20
CCH247_bin_with_3dai_data_bin.26,f__Desulfovibrionaceae,g__Desulfovibrio
CCH247_bin_with_3dai_data_bin.3,f__Bacteroidaceae,g__Paraprevotella
CCH247_bin_with_3dai_data_bin.30,f__Desulfovibrionaceae,g__Desulfovibrio
CCH247_bin_with_3dai_data_bin.36,f__Anaerotignaceae,g__Anaerotignum
CCH247_bin_with_3dai_data_bin.39,f__Coriobacteriaceae,g__Collinsella
CCH247_bin_with_3dai_data_bin.42,f__Bacteroidaceae,g__Alloprevotella
CCH247_bin_with_3dai_data_bin.47,f__Barnesiellaceae,g__Barnesiella
CCH247_bin_with_3dai_data_bin.51,f__Acidaminococcaceae,g__URXU01
CCH247_bin_with_3dai_data_bin.53,f__Enterobacteriaceae,g__Escherichia
CCH247_bin_with_3dai_data_bin.56,f__Bacteroidaceae,g__Phocaeicola
CCH247_bin_with_3dai_data_bin.64,f__Rikenellaceae,g__Avirikenella
CCH247_bin_with_3dai_data_bin.65,f__Fusobacteriaceae,g__Fusobacterium_A
CCH247_bin_with_3dai_data_bin.7,f__Bacteroidaceae,g__Phocaeicola
CCH247_bin_with_3dai_data_bin.8,f__Gastranaerophilaceae,g__CALURL01
CCH258A_bin.11,f__Tannerellaceae,g__Parabacteroides
CCH258A_bin.14,f__Oscillospiraceae,g__Dysosmobacter
CCH258A_bin.16,f__Selenomonadaceae,g__Megamonas
CCH258A_bin.19,f__Lachnospiraceae,g__Copromonas
CCH258A_bin.22,f__Tannerellaceae,g__Parabacteroides
CCH258A_bin.25,f__Lachnospiraceae,g__Sellimonas
CCH258A_bin.27,f__Oscillospiraceae,g__Avoscillospira
CCH258A_bin.3,f__Ruminococcaceae,g__Faecalibacterium
CCH258A_bin.31,f__Atopobiaceae,g__Thermophilibacter
CCH258A_bin.33,f__Ruminococcaceae,g__Faecivivens
CCH258A_bin.37,f__Acutalibacteraceae,g__Acutalibacter
CCH258A_bin.38,f__CAG-917,g__Limadaptatus
CCH258A_bin.39,f__Ruminococcaceae,g__UBA3818
CCH258A_bin.4,f__Ruminococcaceae,g__Negativibacillus
CCH258A_bin.41,f__Ruminococcaceae,g__Ruthenibacterium
CCH258A_bin.42,f__Acutalibacteraceae,g__Eubacterium_R
CCH258A_bin.43,f__Lachnospiraceae,g__Blautia
CCH258A_bin.47,f__Oscillospiraceae,g__Avoscillospira_A
CCH258A_bin.48,f__Bacteroidaceae,g__Phocaeicola
CCH258A_bin.5,f__Bacteroidaceae,g__Avibacteroides
CCH258A_bin.51,f__Oscillospiraceae,g__Scatomorpha
CCH258A_bin.53,f__Acutalibacteraceae,g__Acutalibacter
CCH258A_bin.56,f__Oscillospiraceae,g__Pseudoscilispira
CCH258A_bin.57,f__Acidaminococcaceae,g__CAG-266
CCH258A_bin.58,f__Acutalibacteraceae,unknown
CCH258A_bin.6,f__Erysipelotrichaceae,g__Faecalitalea
CCH258A_bin.62,f__Ruminococcaceae,g__Faecalibacterium
CCH258A_bin.63,f__Bacteroidaceae,g__Prevotella
CCH258A_bin.69,f__Erysipelotrichaceae,g__CALVGN01
CCH258A_bin.9,f__Coriobacteriaceae,g__Collinsella
CCH258_bin_with_2dai_data_bin.1,f__Lachnospiraceae,g__Egerieimonas_A
CCH258_bin_with_2dai_data_bin.11,f__Lachnospiraceae,g__Fusicatenibacter
CCH258_bin_with_2dai_data_bin.12,f__Bacteroidaceae,g__Prevotella
CCH258_bin_with_2dai_data_bin.13,f__Ruminococcaceae,g__Negativibacillus
CCH258_bin_with_2dai_data_bin.14,f__Lachnospiraceae,g__Sellimonas
CCH258_bin_with_2dai_data_bin.16,f__Anaerotignaceae,g__Neoanaerotignum_A
CCH258_bin_with_2dai_data_bin.18,f__Ruminococcaceae,g__Ruthenibacterium
CCH258_bin_with_2dai_data_bin.20,f__Lachnospiraceae,g__Avilachnospira
CCH258_bin_with_2dai_data_bin.23,f__Atopobiaceae,g__Thermophilibacter
CCH258_bin_with_2dai_data_bin.25,f__Peptostreptococcaceae,g__Peptacetobacter
CCH258_bin_with_2dai_data_bin.27,f__Lachnospiraceae,g__Mediterraneibacter
CCH258_bin_with_2dai_data_bin.33,f__Erysipelotrichaceae,g__Faecalitalea
CCH258_bin_with_2dai_data_bin.35,f__Coriobacteriaceae,g__Collinsella
CCH258_bin_with_2dai_data_bin.36,f__Succinivibrionaceae,g__CALXNP01
CCH258_bin_with_2dai_data_bin.38,f__Oscillospiraceae,g__Limivicinus
CCH258_bin_with_2dai_data_bin.41,f__Ruminococcaceae,g__Faecivivens
CCH258_bin_with_2dai_data_bin.42,f__Lachnospiraceae,g__Merdisoma
CCH258_bin_with_2dai_data_bin.43,f__Enterobacteriaceae,g__Escherichia
CCH258_bin_with_2dai_data_bin.44,f__Succinivibrionaceae,g__CALXNP01
CCH258_bin_with_2dai_data_bin.49,f__Bacteroidaceae,g__Phocaeicola
CCH258_bin_with_2dai_data_bin.50,f__Treponemataceae,g__DXHG01
CCH258_bin_with_2dai_data_bin.53,f__Acutalibacteraceae,g__UMGS263
CCH258_bin_with_2dai_data_bin.54,f__Erysipelotrichaceae,g__Holdemanella
CCH258_bin_with_2dai_data_bin.55,f__Ruminococcaceae,g__Gemmiger
