Best_Hit_ARO,Genus,Abundance
ANT(6)-Ia,g__Butyricicoccus,0.027919565656565656
ANT(6)-Ia,g__Dwaynesavagella,0
ANT(6)-Ia,g__Enterococcus_E,3.5896632996633e-4
ANT(6)-Ia,g__Gallibacterium,0
ANT(6)-Ia,g__Megamonas,0.09808711616161617
ANT(6)-Ia,g__Streptococcus,0
ANT(6)-Ia,g__Turicibacter,0
ANT(6)-Ia,unknown,4.1599326599326596e-5
APH(3'')-Ib,g__Agathobaculum,0.06493529797979798
APH(3'')-Ib,g__Avoscillospira_A,0.6722113265993266
APH(3'')-Ib,g__Desulfovibrio,0.02134269696969697
APH(3'')-Ib,g__Escherichia,0.015941185185185183
APH(3'')-Ib,g__Gallibacterium,0
APH(3'')-Ib,g__Jonquetella,0
APH(3'')-Ib,g__Limadaptatus,0
APH(3'')-Ib,g__Limosilactobacillus,7.404175084175083e-4
APH(3'')-Ib,g__Limousia,0.03589948653198653
APH(3'')-Ib,g__Mailhella,1.381323542087542
APH(3'')-Ib,g__Merdivivens,1.712696138047138
APH(3'')-Ib,g__Moraxella,0
APH(3'')-Ib,g__Neisseria,0
APH(3'')-Ib,g__Paraprevotella,2.19028885016835
APH(3'')-Ib,g__Phocaeicola,7.941688356902357
APH(3'')-Ib,g__Rothia,0
APH(3'')-Ib,g__Sutterella,0.0062604292929292924
APH(3'')-Ib,g__UBA6265,0
APH(3'')-Ib,g__Vibrio,0
APH(3')-IIIa,g__Avibacterium,0
APH(3')-IIIa,g__Avibacteroides,4.878098922558923
APH(3')-IIIa,g__Brachyspira,0.2708176094276094
APH(3')-IIIa,g__Fimenecus,0.28799046127946126
APH(3')-IIIa,g__Harrysmithimonas,0
APH(3')-IIIa,g__Helicobacter_G,0.004072646464646465
APH(3')-IIIa,g__Ligilactobacillus,0.07081029124579125
APH(3')-IIIa,g__MGBC101980,0.2087378888888889
APH(3')-IIIa,g__Megamonas,0.1635004579124579
APH(3')-IIIa,g__Mucispirillum,0.41069445454545456
APH(3')-IIIa,g__Paraprevotella,0.9443262222222222
APH(3')-IIIa,g__Phocaeicola,3.9915746212121213
APH(3')-IIIa,g__Treponema_F,1.7606434781144782
APH(3')-IIIa,g__Veillonella_A,0.0028909410774410776
APH(3')-Ia,g__Alistipes_A,1.5151515151515151e-5
APH(3')-Ia,g__Anaerobiospirillum,0.08172579797979798
APH(3')-Ia,g__Enterococcus,0.0018735151515151514
APH(3')-Ia,g__Enterococcus_E,0
APH(3')-Ia,g__Escherichia,0.004984787878787879
APH(3')-Ia,g__JAEDEU01,4.419191919191919e-5
APH(3')-Ia,g__Limosilactobacillus,7.404175084175083e-4
APH(3')-Ia,g__Moraxella,0
APH(3')-Ia,g__Nanosyncoccus,0.016424675084175083
APH(3')-Ia,g__Neisseria,0
APH(3')-Ia,g__Parabacteroides,0.3143572542087542
APH(3')-Ia,g__Paraprevotella,0.32057961279461283
APH(3')-Ia,g__Prevotella,0
APH(3')-Ia,g__Rikenella,0.0026690067340067337
APH(3')-Ia,g__Sutterella,0.028427506734006736
APH(3')-Ia,g__UMGS1590,0.014773558922558922
ErmA,g__Butyricicoccus,0.027919565656565656
ErmA,g__CAG-196,0.44082655555555555
ErmA,g__CAJMBK01,0.26431407744107743
ErmA,g__CALURL01,0.03955242087542087
ErmA,g__Clostridioides,0
ErmA,g__Clostridium,4.730639730639731e-4
ErmA,g__Dwaynesavagella,1.8337710437710437e-4
ErmA,g__Enterococcus,4.065656565656565e-5
ErmA,g__Enterococcus_B,0
ErmA,g__Enterococcus_E,0
ErmA,g__Fusobacterium_A,0.6931192996632997
ErmA,g__Gastranaerophilus,0.008667569023569023
ErmA,g__Globicatella,0
ErmA,g__Ligilactobacillus,0.07081029124579125
ErmA,g__Megamonas,0.13046259427609427
ErmA,g__Methanobrevibacter_A,0.11399080303030303
ErmA,g__Nitrosocosmicus,0
ErmA,g__Phocaeicola,8.183094414141415
ErmA,g__Riemerella,0
