Sample,g__Butyricicoccus,g__Enterococcus_E,g__Megamonas,g__Merdivivens,g__Paraprevotella,g__Phocaeicola,g__Avibacteroides,g__Treponema_F,g__Anaerobiospirillum,g__Parabacteroides,g__CAG-196,g__Fusobacterium_A,g__Ligilactobacillus,g__UMGS263,g__Escherichia,g__Prevotella,g__Duodenibacillus,g__Helicobacter_G,g__Desulfovibrio,g__Mediterranea,g__Alloprevotella,g__Enterousia,g__Alistipes,g__Tidjanibacter,g__Akkermansia,g__Spyradenecus,g__Avoscillospira_A,g__Fournierella,g__Enterococcus,g__Gallibacterium,g__Mannheimia,g__Mailhella,g__Bacteroides,g__Brachyspira
SHCC107A,0.007875,0.053353,0.871096,0.150536,15.874382,59.3927265,13.9820895,0.016622,1.972319,1.805051,1.651589,1.025208,0,0.309906,0,5.794095,1.0130345,6.13793,16.790258,28.922165,9.680934,10.286709,14.815844,0.015821000000000002,0,0.371734,0.2734545,2.01938,0,0,0,1.358739,0.022308,273.275227
SHCC234B,1.25238,15.603502,0.261423,8.778567,72.013252,164.7486445,81.405472,0.087463,0.0556385,23.1153315,26.4526745,24.4809735,0,1.210159,0.040081,14.2522455,0.7855365,0.052093,40.0774805,51.8846715,28.698612,142.04636,37.36583,0.124374,1.156049,15.172862,2.3545345,8.749909,0,0,0,4.171462,0.46331,74.2149055
SHCC173A,2.367911,0.094381,1.24191,25.1046245,37.577558,68.99371,26.01814,0.004793,0.296412,7.07416,0.058252,25.6667125,0,0.051807,6.75e-4,4.7157175,1.040431,1.659647,5.410693,22.935377,0.4563435,7.31e-4,36.466238,0,0,0,7.1872675,3.372579,0,0,0,57.982446,0.241646,607.390369
SHCC117A,0.556218,0,0.677972,34.719738,48.877035,155.283254,11.116054,1.999492,4.026382,8.093615,4.159191,2.200792,0,0.188416,0,32.708523,0.424012,1.784893,18.457831,52.637062,103.628664,10.89405,20.761096,1.606296,0.10047,0,5.0754,6.279308,0,0,0,7.000061,0.269968,184.439131
SHCC98A,8.233045,1.06154,11.789551,33.372439,92.723381,358.406609,18.137023,0.412042,6.334272,18.188814,3.036491,20.011955,0,5.286135,0.65919,16.841648,1.157465,0.181119,6.229775,52.60342,42.005711,5.279926,15.289423,0.890271,0.013237,0.002384,12.651702,23.09701,0,0,0,8.92649,0.852862,29.880011
SHCC195A,19.980494,0.490434,0.002128,0,68.423147,560.44945,0.022497,0.008468,0.002494,0.324246,0,379.457043,4.325566,0.001254,5.411825,0,0,2.41061,1.209337,0.112831,0.073811,0.012213,0.004606,0,8.03e-4,0,0.995414,67.438874,0,0,0,8.655356,0,5.977228
SHCC22A,0,0,0.080044,0,8.083613,35.265349,0.446492,0.032554,0,0,0,43.854274,0.039183,0.003358,0,0.135862,0,12.9812505,8.138263,0.8338095,0.267537,0,0,0,0,0,2.232299,1.7474485,0,0,0,0.005278,0,19.4360005
SHCC8A,11.564667,16.5403425,70.353402,0,216.8318715,669.220847,1.175838,0.002159,0.006826,0.0825,0,279.3469665,1.568952,9.22e-4,0.749047,1.209775,0.006459,2.6892975,0,0.3782585,0.063737,0,0.005863,0,0,0,0.088385,74.681027,0,0.135616,0,0,0,0.039201
SHCC5A,9.987049,5.94186,35.446332,5.498784,174.165578,359.968272,51.879156,0.082517,6.601974,19.296848,8.78e-4,7.481262,0.143907,33.953354,0,16.456855,2.13018,0.010323,18.606509,20.663041,0.049886,0,3.589548,0.357091,0,6.92e-4,14.407547,68.76925,0,0,0,28.875087,0.918018,3.31143
SHCC246A,0.080204,2.0497285,0.9038275,3.228317,28.2309285,208.4953575,31.6933485,0.480792,0.257324,11.6725595,12.8493515,14.266111,0,4.656003,0.059542,30.527528,0.825125,0.1496355,20.672034,97.3121765,57.95667,11.989934,56.119507,1.023919,0.228728,4.290964,4.642175,5.0529415,5.64e-4,0,0,8.006042,0.820862,82.751721
