Sample,ANT(6)-Ia,APH(3'')-Ib,APH(3')-IIIa,APH(3')-Ia,ErmA,ErmB,ErmF,QnrS1,TEM-1,aad(6),aadA5,adeF,poxtA,sul1,sul2,tet(A),tet(B),tet(M),tet(O),tet(Q),tet(W)
SHCC107A,0,5.3582090000000004,13.232749,0.077911,0.589223,0.522451,2.349448,0,0,0,0,1.569078,3.048427,0,2.234508,0.559352,0,0.55604,7.981943,65.817385,37.302762
SHCC234B,0.133172,0.530391,13.145934,0.076926,1.060929,0.661414,6.227928,0.012114,0,0.371357,0,3.038406,8.162481,0,6.284258,0.297467,0,1.072565,8.551738,124.189293,48.291823
SHCC173A,0,0.298457,14.977383,0.065975,5.51815,0.277564,2.955364,0,0,0.049193,0,1.394673,2.43778,0,1.103355,0.550179,0,0.251281,8.689012,58.772456,21.816664
SHCC117A,0,0.129596,31.165161,0.101075,0.485571,0.558174,5.429936,0,0,0.5136,0,3.726043,5.73319,0,3.648765,0.291848,0,0.422457,4.245675,138.425949,49.237736
SHCC98A,0.040947,0.383341,16.753358,0.099092,0.565294,0.456701,6.832066,0.173743,0,0.202035,0,2.650918,9.690087,0.084184,7.64505,0.696273,0,0.701215,8.079643,169.757426,53.124287
SHCC195A,0.156291,0.431294,8.770189,0,10.86389,0.042521,3.942267,0.164674,0.148639,0,0,2.981563,4.496426,0,1.88955,1.677643,0,1.206137,34.910316,109.002474,44.840159
SHCC22A,0,0.231689,2.716754,0,0.923087,0.145187,0.629569,0,0,0,0,0.295172,2.326155,0,0.401314,0.103115,0,0.348577,11.460092,18.175588,8.85042
SHCC8A,0.216442,0.196275,26.161299,0,4.787045,0.315729,6.350811,0.022204,0,0,0,2.495909,52.400397,0.033511,0.661126,0.071526,0,2.135883,17.524331,161.629921,38.754542
SHCC5A,0.054798,1.7e-4,19.713484,0.007544,1.242713,0.661724,7.628205,0,0,0.072598,0,2.131225,34.063637,0.016435,2.082667,0.123994,0,0.567928,4.559657,178.015434,69.948927
SHCC246A,0.026764,1e-6,18.071855,0.031324,0.49339,0.67794,6.514024,0.0778,0,0.246124,0.006869,4.462717,8.426742,0.025366,6.068183,0.140938,0,0.779667,10.29022,141.815779,59.922161
SHCC100A,0.041131,1.120073,18.623599,0.072971,1.218181,1.061757,4.74385,0,0,0.113688,0,2.419458,12.377527,0.034946,3.797433,0.326242,0,0.610575,9.103608,92.905858,51.668217
SHCC91A,0,0.237193,15.553909,0.092216,1.331579,0.549238,6.576468,0,0,0.138625,0,3.894162,10.377535,0.017112,5.064554,0.352297,0,0.68277,16.101207,137.795815,55.51008
SHCC261A,0,0.738847,14.511126,0.068701,0.124204,0.688318,4.421084,0,0.083065,0.173376,0,3.617121,5.284836,0.022003,5.56972,0.59877,0,0.488739,6.167365,178.357238,55.130101
SHCC155A,0.068517,0.628929,15.144009,0.15401,2.366181,0.497602,5.843527,0,7.3e-5,0.708836,0,2.598805,8.446768,0,4.201399,0.393911,0,0.530152,15.340688,128.590805,50.785039
SHCC18A,0,0.939864,11.875821,0.008049,1.027769,0.766569,13.75924,0.05838,0,0.579871,0,3.577455,6.158335,0.048227,3.191018,1.252421,0,1.756442,10.009918,170.956907,43.317209
SHCC177A,0.048464,3.715435,17.973605,0.022412,0.721201,0.371062,4.907973,0.053102,0,0.373404,0,3.008047,20.953156,0.021761,4.943318,6.231848,0,0.70946,8.980512,140.375752,59.69737
SHCC267A,0,1.666126,28.500642,0.013159,1.566787,2.522446,5.489289,0.093821,0.08928,0,0,2.465106,25.155596,0.032583,1.740736,2.232368,0,0.995664,5.378933,95.246895,92.324053
SHCC43A,0.049424,0.787494,25.132882,0.014007,1.385169,0.505879,6.672548,0,0.118264,0.307601,0,2.914236,12.905658,0.022136,4.530911,0.669367,0,1.010912,9.858549,126.077003,62.124537
SHCC167A,0.158092,0.443139,55.935069,0.02195,0.917225,1.830921,11.201086,0,0.031494,0.308026,0,3.494263,31.241692,0.032472,0.988032,0,0,1.303531,4.851412,133.361416,123.508445
SHCC53A,0.073193,0.790666,22.903119,0.02292,0.520948,0.692533,7.776374,0,0,0.132506,0,3.347834,9.037431,0,8.848741,0.70176,0,0.569323,6.24554,132.513139,55.810122
SHCC215A,0,0,16.10071,0,2.64938,0.525944,3.659865,0,8.7e-5,0.188704,0,2.986801,7.066624,0,5.144296,1.582931,0.023508,1.438061,14.368866,77.31332,53.900086
SHCC201A,0.012896,0.589795,30.801892,0.141024,0.691225,1.028519,5.829378,0,0.02166,0.241989,0,3.407677,21.232171,0.032461,5.801405,0.575709,0,0.605435,8.945742,147.492694,78.817426
