IID	class	class1	class2	color1	color
BW	Growth traits	Body weight	BW	#0C4E9B	#2C91E0
HM	Growth traits	Half master	HM	#6B98C4	#2C91E0
LIPID-P-0028	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0029	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0030	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0031	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0032	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0033	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0034	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0035	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0036	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0037	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0040	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0039	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0027	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0042	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0043	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0044	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0045	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0046	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0047	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0048	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0038	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0026	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0023	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0024	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-P-0003	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
