ARG,Log2_Abundance,Prevalence_percent
BLMT,-2.533045774,4.905335628227195
OXA-10,-3.305834925,28.055077452667813
bacA,-4.841563295,4.819277108433735
OXA-58,-10.0361093,2.1514629948364887
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,-6.938520733,9.036144578313253
ANT(2'')-Ia,-2.177250431,39.84509466437177
CARB-3,-4.77194195,9.46643717728055
CARB-4,-10.20178551,1.8072289156626504
DfrA37,-5.860190586,9.72461273666093
CARB-8,-9.016288246,1.1187607573149743
CARB-9,-9.620375205,0.5163511187607573
kdpE,-3.191642755,20.051635111876077
Morganella morganii gyrB conferring resistance to fluoroquinolones,-5.637074355,4.475043029259897
lsaE,-7.904391758,8.347676419965575
Erm(49),-6.481938322,7.83132530120482
CDD-2,-9.951641671,0.6884681583476765
OXA-140,-7.622429306,4.561101549053356
aadA11,-7.618293775,8.777969018932874
OXA-184,-7.726189058,5.679862306368331
aadA15,-6.613897644,8.605851979345955
aadA16,-1.638413606,24.95697074010327
OmpA,-2.954465763,3.2702237521514634
aadA17,-7.092495754,3.4423407917383817
AAC(6')-Ia,-5.08818979,4.130808950086059
catA4,-5.388240119,3.1841652323580036
AAC(6')-Ii,-3.084781619,13.253012048192772
mefF,-5.832919377,9.38037865748709
catA8,-0.51634428,47.07401032702238
tet(X),0.13486876973622278,53.35628227194492
mefH,-0.461335041,54.99139414802065
tet(T),-5.376200908,10.327022375215146
AAC(6')-Il,-8.123623126,2.2375215146299485
AAC(6')-Im,-1.878070766,45.26678141135972
tet(D),-12.58313751,0.5163511187607573
AAC(6')-Iy,-5.375137332,2.323580034423408
clbC,-11.1652592,0.17211703958691912
abeS,-4.996758301,1.549053356282272
rsmA,-7.974691375,0.6884681583476765
APH(4)-Ia,-2.957908189,8.175559380378658
qacG,-4.845985842,5.851979345955249
qacJ,-3.920443033,4.475043029259897
qacL,-3.623715769,12.564543889845096
qacEdelta1,1.0582934491543716,42.857142857142854
QnrB6,-2.559413811,3.5283993115318415
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,0.37493743847968164,38.209982788296045
APH(3'')-Ib,-0.416077888,66.60929432013769
NDM-5,-4.278705715,2.1514629948364887
lnuA,0.6242444414561451,37.52151462994836
lnuB,0.8634560788939684,55.59380378657487
lnuC,4.87549962531546,81.58347676419966
lnuD,-7.199393297,3.9586919104991396
lnuE,-7.000225684,2.0654044750430294
lnuF,-7.797544101,9.122203098106713
lnuG,-6.228319514,10.585197934595525
ACT-77,-8.573618222,0.774526678141136
vanXA,-9.358684118,0.774526678141136
vanXB,-8.722134603,1.8072289156626504
vanTC,-0.948034235,16.437177280550774
vanXF,-3.639333509,44.57831325301205
ErmA,1.020032036632815,65.23235800344234
vanHB,-8.926901476,1.2908777969018932
ErmB,2.29458880664318,77.19449225473322
vanTG,-3.780947955,50.4302925989673
ErmC,-4.295214932,12.478485370051635
nimA,1.381028120046813,63.42512908777969
EreA,-6.120236281,10.240963855421686
vanXI,-7.279497081,6.540447504302927
nimB,-2.393442905,40.18932874354561
nimC,-7.194255768,1.1187607573149743
vanHF,-6.53503897,1.1187607573149743
ErmF,1.7263590701534512,66.00688468158347
nimD,-8.105811316,3.1841652323580036
EreD,0.5852823826739683,59.466437177280554
ErmG,-1.651557223,54.044750430292595
nimE,-5.296211072,12.134251290877797
nimF,-3.069172401,47.16006884681583
nimG,-1.414019351,54.044750430292595
vanXO,-9.802486212,0.774526678141136
nimH,-5.143057252,17.98623063683305
nimI,-7.75115759,2.495697074010327
nimJ,0.6689264609922974,64.71600688468159
vanHO,-12.57883946,0.25817555938037867
ErmQ,-0.203159729,29.862306368330465
ErmT,-0.778144903,20.309810671256454
ErmX,-1.335836623,43.631669535284
ErmY,-6.364862674,5.679862306368331
catP,-3.420421902,20.481927710843372
catQ,-3.02962435,21.084337349397593
catS,-5.269762834,28.313253012048197
SHV-11,-4.043692579,2.8399311531841653
evgA,-1.746988885,33.648881239242684
msrA,-6.007385127,6.110154905335628
msbA,-2.713986081,17.64199655765921
apmA,-4.064207312,3.0120481927710845
Erm(34),-11.63452209,0.08605851979345956
emtA,-8.722964833,4.130808950086059
Escherichia coli ampC beta-lactamase,-4.225766941,21.944922547332187
CblA-1,-7.245373191,3.1841652323580036
evgS,-3.482222544,28.657487091222034
OXA-347,-2.494921595,31.23924268502582
adeF,-2.577308999,28.74354561101549
npmA,0.025563471234330896,39.41480206540447
BRP(MBL),-3.508083199,1.8932874354561102
vanXYC,-1.397551732,8.089500860585199
adeL,-9.483554472,2.0654044750430294
vanXYE,-10.39607234,1.2048192771084338
vanXYG,-2.479913363,53.78657487091222
aadK,-8.9191087,2.0654044750430294
TolC,-2.189907993,26.592082616179002
Helicobacter pylori rpoB mutation conferring resistance to rifampicin,-2.274219303,52.23752151462995
tet(X3),-9.223465583,3.7005163511187606
aadS,-1.769987867,41.9104991394148
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",-1.662501544,34.251290877796905
catB11,-9.149660838,3.4423407917383817
Clostridioides difficile gyrB conferring resistance to fluoroquinolones,-5.308184862,5.163511187607573
OXA-21,-5.616569277,8.00344234079174
cphA3,-4.681802953,0.6884681583476765
H-NS,0.2568269550807913,36.83304647160069
APH(3')-VIa,-6.060873849,7.487091222030981
sdiA,-5.388542314,3.098106712564544
salC,-5.844406379,13.59724612736661
salD,-6.448745429,5.76592082616179
salE,-6.45228495,4.991394148020654
APH(6)-Ic,-5.341229682,2.8399311531841653
Streptococcus suis chloramphenicol acetyltransferase,0.41601806543964276,54.13080895008606
APH(6)-Id,-2.563395913,32.96041308089501
Erm(42),-5.519723301,12.564543889845096
OXA-193,-11.41970027,0.4302925989672977
dfrA6 from Proteus mirabilis,-8.111419479,4.3029259896729775
aadA27,-8.240346465,2.323580034423408
Escherichia coli soxR with mutation conferring antibiotic resistance,-6.204033043,9.63855421686747
catB2,-9.73952515,1.549053356282272
gadX,-1.557603853,42.943201376936315
catB3,-2.625587131,21.514629948364888
patB,-4.901023621,10.671256454388985
mecA,-6.972607881,4.561101549053356
mecB,-8.830034686,3.098106712564544
catB8,-5.819802363,7.314974182444062
rgt1438,-11.52733567,0.4302925989672977
tet(Q),6.146619027437978,89.93115318416524
tet(M),3.124138956675789,86.91910499139415
mecI,-7.064053567,3.1841652323580036
tet(A),0.8084552492208196,64.71600688468159
