ARG_type,size,MGE_subtype,leaf
AAC(3)-IVa_IS91,6,IS91,TRUE
AAC(3)-IVa_intI1,2,intI1,TRUE
AAC(3)-IVa_tnpA,299,tnpA,TRUE
APH(3'')-Ib_IS91,24,IS91,TRUE
APH(3'')-Ib_intI1,7,intI1,TRUE
APH(3'')-Ib_tnpA,128,tnpA,TRUE
APH(3'')-Ib_tnpA1,1,tnpA1,TRUE
APH(3'')-Ib_tnpA1133,4,tnpA1133,TRUE
APH(3'')-Ib_tnpAN,7,tnpAN,TRUE
APH(3')-Ia_IS903,3,IS903,TRUE
APH(3')-Ia_IS91,2,IS91,TRUE
APH(3')-Ia_intI1,5,intI1,TRUE
APH(3')-Ia_tnpA,225,tnpA,TRUE
APH(3')-Ia_tnpA-3,1,tnpA-3,TRUE
APH(3')-Ia_tnpA03,2,tnpA03,TRUE
APH(3')-Ia_tnpAIS50-A,1,tnpAIS50-A,TRUE
APH(3')-Ia_tnpAN,3,tnpAN,TRUE
APH(4)-Ia_IS91,4,IS91,TRUE
APH(4)-Ia_tnpA,252,tnpA,TRUE
APH(6)-Id_IS91,55,IS91,TRUE
APH(6)-Id_intI1,11,intI1,TRUE
APH(6)-Id_tnpA,167,tnpA,TRUE
APH(6)-Id_tnpA1,1,tnpA1,TRUE
APH(6)-Id_tnpA1133,4,tnpA1133,TRUE
APH(6)-Id_tnpAN,7,tnpAN,TRUE
FosB3_rep13,2,rep13,TRUE
FosB3_repUS12,1,repUS12,TRUE
FosB3_tnpA,228,tnpA,TRUE
QnrS1_IS91,1,IS91,TRUE
QnrS1_tnpA,858,tnpA,TRUE
TEM-1_IS91,10,IS91,TRUE
TEM-1_tnpA,427,tnpA,TRUE
TEM-1_tnpAcp2,2,tnpAcp2,TRUE
catA8_Tn916,31,Tn916,TRUE
catA8_rep22,1,rep22,TRUE
catA8_rep7,423,rep7,TRUE
catA8_repUS12,50,repUS12,TRUE
catA8_repUS18,2,repUS18,TRUE
catA8_tnpA,34,tnpA,TRUE
cfrA_Tn916,3,Tn916,TRUE
cfrA_repUS12,1,repUS12,TRUE
cfrA_repUS18,1,repUS18,TRUE
cfrA_tnpA,545,tnpA,TRUE
dfrA14_IS26,33,IS26,TRUE
dfrA14_intI1,55,intI1,TRUE
dfrA14_qacEdelta,2,qacEdelta,TRUE
dfrA14_tniB,1,tniB,TRUE
dfrA14_tnpA,89,tnpA,TRUE
fexA_tnpA,337,tnpA,TRUE
qacEdelta1_IS91,4,IS91,TRUE
qacEdelta1_ISCR-orf513,7,ISCR-orf513,TRUE
qacEdelta1_intI1,32,intI1,TRUE
qacEdelta1_istB,1,istB,TRUE
qacEdelta1_qacEdelta,529,qacEdelta,TRUE
qacEdelta1_tniA,16,tniA,TRUE
qacEdelta1_tniB,117,tniB,TRUE
qacEdelta1_tnpA,109,tnpA,TRUE
qacEdelta1_tnpAcp1,1,tnpAcp1,TRUE
sul1_IS91,5,IS91,TRUE
sul1_ISCR-orf513,8,ISCR-orf513,TRUE
sul1_intI1,30,intI1,TRUE
sul1_istB,1,istB,TRUE
sul1_qacEdelta,418,qacEdelta,TRUE
sul1_tniA,16,tniA,TRUE
sul1_tniB,119,tniB,TRUE
sul1_tnpA,112,tnpA,TRUE
sul1_tnpAcp1,2,tnpAcp1,TRUE
sul2_IS26,2,IS26,TRUE
sul2_IS91,86,IS91,TRUE
sul2_tnpA,128,tnpA,TRUE
sul2_tnpA2,1,tnpA2,TRUE
tet(45)_Tn916,213,Tn916,TRUE
tet(45)_qacEdelta,2,qacEdelta,TRUE
tet(45)_rep22,20,rep22,TRUE
tet(45)_rep7,54,rep7,TRUE
tet(45)_repUS12,108,repUS12,TRUE
tet(45)_tnpA,95,tnpA,TRUE
tet(A)_IS91,43,IS91,TRUE
tet(A)_qacEdelta,2,qacEdelta,TRUE
tet(A)_tniB,1,tniB,TRUE
tet(A)_tnpA,771,tnpA,TRUE
tet(A)_tnpA1133,1,tnpA1133,TRUE
tet(B)_IS10,71,IS10,TRUE
tet(B)_tnpA,13,tnpA,TRUE
tet(B)_tnpA10,86,tnpA10,TRUE
tet(M)_IS91,1,IS91,TRUE
tet(M)_Tn916,1360,Tn916,TRUE
tet(M)_rep22,1,rep22,TRUE
tet(M)_rep7,19,rep7,TRUE
tet(M)_repUS12,32,repUS12,TRUE
tet(M)_tnpA,35,tnpA,TRUE
tet(R)_IS10,69,IS10,TRUE
tet(R)_tnpA,13,tnpA,TRUE
tet(R)_tnpA10,86,tnpA10,TRUE
AAC(3)-IVa,307,Other,FALSE
APH(3'')-Ib,171,Other,FALSE
APH(3')-Ia,242,Other,FALSE
APH(4)-Ia,256,Other,FALSE
APH(6)-Id,245,Other,FALSE
FosB3,231,Other,FALSE
QnrS1,859,Other,FALSE
TEM-1,439,Other,FALSE
catA8,541,Other,FALSE
cfrA,550,Other,FALSE
dfrA14,180,Other,FALSE
fexA,337,Other,FALSE
qacEdelta1,816,Other,FALSE
sul1,711,Other,FALSE
sul2,217,Other,FALSE
tet(45),492,Other,FALSE
tet(A),818,Other,FALSE
tet(B),170,Other,FALSE
tet(M),1448,Other,FALSE
tet(R),168,Other,FALSE
