ARG_type,ARG_count,MGE_Number_per_kb_Sum,ARG_count_log2,MGE_count_log2
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),28,0.253807,4.857980995127572,0.3263152894700135
AAC(3)-IIc,46,0.520562,5.554588851677638,0.6046046425896476
AAC(3)-IVa,238,28.520001,7.900866807980749,4.883620865157454
AAC(3)-VIIa,8,0,3.169925001442312,0
AAC(6')-IIa,315,80.37053,8.303780748177102,6.346434482487176
AAC(6')-Ia,30,1.287398,4.954196310386875,1.193707411954014
AAC(6')-Iaj,1,0,1,0
AAC(6')-Ib',2,0,1.584962500721156,0
AAC(6')-Ib-cr3,6,0,2.807354922057604,0
AAC(6')-Ib-cr6,67,1.794252,6.087462841250339,1.482462136264912
AAC(6')-Ib7,8,0,3.169925001442312,0
AAC(6')-Ib8,51,12.256021,5.700439718141092,3.728575888058147
AAC(6')-Ib9,64,5.147834,6.022367813028454,2.6200782107980394
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,757,96.192995,9.566054038171092,6.602780432967998
AAC(6')-Ii,92,0,6.539158811108031,0
AAC(6')-Iid,8,0,3.169925001442312,0
AAC(6')-Il,6,0,2.807354922057604,0
AAC(6')-Im,539,0.015929,9.076815597050832,0.02279958033141953
AAC(6')-Iy,12,0,3.700439718141092,0
ACI-1,68,0,6.108524456778169,0
ACT-56,2,0,1.584962500721156,0
ACT-77,3,0,2,0
ADC-43,6,1.065775,2.807354922057604,1.0466831273582042
ANT(2'')-Ia,258,113.508858,8.016808287686555,6.83931539419629
ANT(3'')-IIa,17,0,4.169925001442312,0
ANT(3'')-IIb,9,0,3.321928094887362,0
ANT(4')-Ia,197,63.43171,7.6293566200796095,6.009698978887476
ANT(4')-Ib,1,0,1,0
ANT(6)-Ia,281,0.65813,8.139551352398794,0.7295571208282362
ANT(6)-Ib,631,0,9.303780748177102,0
ANT(9)-Ia,100,12.767707,6.658211482751795,3.7832163947237776
ANT(9)-Ib,18,0.170184,4.247927513443585,0.22673539734394238
APH(2'')-IIIa,2,0.731815,1.584962500721156,0.7922848233454175
APH(2'')-IIa,25,0,4.700439718141092,0
APH(2'')-Ie,7,0,3,0
APH(2'')-If,396,42.728161,8.632995197142957,5.450490771640163
APH(2'')-Ig,174,0,7.451211111832329,0
APH(3'')-Ib,844,122.703348,9.722807531169547,6.950740736795822
APH(3')-IIIa,952,68.362748,9.896332403909941,6.1160891509938
APH(3')-IIa,73,19.235605,6.20945336562895,4.3388240779422285
APH(3')-Ia,594,78.891479,9.216745858195306,6.319969732458645
APH(3')-Ib,1,0,1,0
APH(3')-VIIa,12,0,3.700439718141092,0
APH(3')-VIa,57,0,5.857980995127572,0
APH(4)-Ia,126,0,6.9886846867721655,0
APH(6)-Ic,11,1.524576,3.584962500721156,1.336041109028041
APH(6)-Id,759,43.763698,9.569855608330949,5.48425731944754
Acinetobacter baumannii AbaQ,11,0,3.584962500721156,0
Acinetobacter baumannii AmvA,6,0,2.807354922057604,0
AcrE,231,0,7.857980995127572,0
AcrS,259,0,8.022367813028454,0
ArnT,316,0,8.308339030139408,0
BLMT,12,0.740054,3.700439718141092,0.7991320786736323
BRO-2,1,0,1,0
BRP(MBL),13,0,3.807354922057604,0
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,63,0,6,0
CARB-3,29,2.858383,4.906890595608519,1.9479963587253724
CARB-4,1,0,1,0
CARB-8,2,0,1.584962500721156,0
CARB-9,2,0,1.584962500721156,0
CDD-2,1,0,1,0
CMH-4,1,0,1,0
CMY-59,2,0,1.584962500721156,0
CTX-M-55,183,1.186285,7.523561956057013,1.128481480280604
CTX-M-65,62,0,5.977279923499917,0
Campylobacter coli chloramphenicol acetyltransferase,761,17.97987,9.573647187493322,4.246398205739661
Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,137,0,7.108524456778169,0
CblA-1,36,0,5.20945336562895,0
CcrA,7,0,3,0
CfxA6,42,0.506586,5.426264754702098,0.5912830282143363
Clostridioides difficile gyrB conferring resistance to fluoroquinolones,19,0,4.321928094887363,0
Clostridium perfringens mprF,80,0,6.339850002884624,0
Corynebacterium striatum tetA,5,0,2.584962500721156,0
CrcB,20,0,4.392317422778761,0
DHA-1,4,0,2.321928094887362,0
DfrA37,26,0,4.754887502163468,0
DfrB9,7,0,3,0
EBR-5,2,0,1.584962500721156,0
EC-14,34,0,5.129283016944966,0
EC-15,116,0,6.870364719583405,0
EreA,13,0.568862,3.807354922057604,0.6497184557657733
EreD,577,0,9.174925682500678,0
Erm(34),1,0,1,0
Erm(35),564,57.604723,9.14210705730255,5.872945032130518
Erm(36),61,0,5.954196310386875,0
Erm(42),20,0,4.392317422778761,0
Erm(48),2,0,1.584962500721156,0
Erm(49),55,0,5.807354922057604,0
Erm(51),27,0,4.807354922057604,0
Erm(52),650,0,9.346513733165635,0
ErmA,648,153.579502,9.342074667999139,7.272205213283399
ErmB,838,169.71582,9.712527000439824,7.4154529468984665
ErmC,63,55.724777,6,5.825907127182921
ErmF,430,33.711424,8.751544059089099,5.117338646328709
ErmG,515,126.999755,9.011227255423254,6.999997238588881
ErmQ,303,0,8.247927513443585,0
ErmT,123,53.741626,6.954196310386875,5.774566382847392
