name,size,MGE_subtype,leaf
APH(3'')-Ib_Others,9.27446,Others,TRUE
APH(3'')-Ib_Tn2,96.749002,Tn2,TRUE
APH(3'')-Ib_Tn5393,4.764554,Tn5393,TRUE
APH(3'')-Ib_Tn6301,11.915332,Tn6301,TRUE
ErmA_Others,5.792015,Others,TRUE
ErmA_Tn6072,5.26367,Tn6072,TRUE
ErmA_Tn6261,136.508321,Tn6261,TRUE
ErmA_repA(pEF418),6.015496,repA(pEF418),TRUE
ErmB_Others,36.122972,Others,TRUE
ErmB_Tn1116,17.666658,Tn1116,TRUE
ErmB_Tn6218,89.447521,Tn6218,TRUE
ErmB_Tn917,26.478669,Tn917,TRUE
ErmG_Tn2009,0.221976,Tn2009,TRUE
ErmG_Tn6994,126.523132,Tn6994,TRUE
ErmG_repE(pTEF1),0.254647,repE(pTEF1),TRUE
LnuP_ISCpe8,222.988093,ISCpe8,TRUE
SAT-4_ISCco2,58.051017,ISCco2,TRUE
SAT-4_Others,0.40694,Others,TRUE
SAT-4_Tn6003,72.350844,Tn6003,TRUE
SAT-4_repA(pEF418),1.483946,repA(pEF418),TRUE
Streptococcus suis chloramphenicol acetyltransferase_Others,7.401624,Others,TRUE
Streptococcus suis chloramphenicol acetyltransferase_Tn5253,224.327029,Tn5253,TRUE
Streptococcus suis chloramphenicol acetyltransferase_rep(pKH13),2.098219,rep(pKH13),TRUE
Streptococcus suis chloramphenicol acetyltransferase_repA(pEF418),11.78959,repA(pEF418),TRUE
TEM-1_Others,14.470862,Others,TRUE
TEM-1_Tn1332,17.0622,Tn1332,TRUE
TEM-1_Tn2,93.695375,Tn2,TRUE
TEM-1_Tn3,31.713865,Tn3,TRUE
aadA2_Others,23.227404,Others,TRUE
aadA2_Tn2424,74.802214,Tn2424,TRUE
aadA2_Tn5045,9.938811,Tn5045,TRUE
aadA2_TnAs3,11.021236,TnAs3,TRUE
catA8_Others,51.405578,Others,TRUE
catA8_Tn6248,187.117792,Tn6248,TRUE
catA8_repA(pEF418),102.041243,repA(pEF418),TRUE
catA8_repB(pLFE1),70.995366,repB(pLFE1),TRUE
catP_ICE,0.059857,ICE,TRUE
catP_Tn4451,113.342816,Tn4451,TRUE
catP_Tn4453a,28.018244,Tn4453a,TRUE
fexA_Others,0.13876,Others,TRUE
fexA_Tn558,105.91129,Tn558,TRUE
fexA_Tn6261,43.732107,Tn6261,TRUE
fexA_repA(pEF418),112.725504,repA(pEF418),TRUE
lnuC_ISSag10,212.194261,ISSag10,TRUE
lnuC_repA(pEF418),0.473009,repA(pEF418),TRUE
nimJ_IS942,1.328678,IS942,TRUE
nimJ_Others,0.036021,Others,TRUE
nimJ_Tn6994,232.716016,Tn6994,TRUE
nimJ_rep(pSGG1),26.53323,rep(pSGG1),TRUE
qacEdelta1_Others,56.734046,Others,TRUE
qacEdelta1_Tn2424,23.706554,Tn2424,TRUE
qacEdelta1_Tn5086,36.268195,Tn5086,TRUE
qacEdelta1_TnAs3,94.799554,TnAs3,TRUE
sul1_Others,45.552645,Others,TRUE
sul1_Tn2424,25.906396,Tn2424,TRUE
sul1_Tn5086,14.79075,Tn5086,TRUE
sul1_TnAs3,59.069489,TnAs3,TRUE
tet(45)_Others,122.360376,Others,TRUE
tet(45)_Tn6079,54.058666,Tn6079,TRUE
tet(45)_rep(pSGG1),63.018379,rep(pSGG1),TRUE
tet(45)_repA(pEF418),53.919144,repA(pEF418),TRUE
tet(M)_Others,176.561014,Others,TRUE
tet(M)_Tn1116,118.035596,Tn1116,TRUE
tet(M)_Tn6079,218.620113,Tn6079,TRUE
tet(M)_Tn6084,40.655807,Tn6084,TRUE
tet(Q)_IS4351,1.046026,IS4351,TRUE
tet(Q)_Others,0.408436,Others,TRUE
tet(Q)_Tn4551,0.868779,Tn4551,TRUE
tet(Q)_Tn6994,605.409497,Tn6994,TRUE
tet(X)_ICE,0.019734,ICE,TRUE
tet(X)_Tn4351,120.990747,Tn4351,TRUE
tet(X)_Tn6031,13.061829,Tn6031,TRUE
tet(Q),607.732738,Other,FALSE
tet(M),553.87253,Other,FALSE
catA8,411.559979,Other,FALSE
tet(45),293.356565,Other,FALSE
fexA,262.507661,Other,FALSE
nimJ,260.613945,Other,FALSE
Streptococcus suis chloramphenicol acetyltransferase,245.616462,Other,FALSE
LnuP,222.988093,Other,FALSE
lnuC,212.66727,Other,FALSE
qacEdelta1,211.508349,Other,FALSE
ErmB,169.71582,Other,FALSE
TEM-1,156.942302,Other,FALSE
ErmA,153.579502,Other,FALSE
sul1,145.31928,Other,FALSE
catP,141.420917,Other,FALSE
tet(X),134.07231,Other,FALSE
SAT-4,132.292747,Other,FALSE
ErmG,126.999755,Other,FALSE
APH(3'')-Ib,122.703348,Other,FALSE
aadA2,118.989665,Other,FALSE
