ARGs_name,RI,Risk_Level,sorted
tet(M),2596.396362,Risk I,426
tet(45),763.9678044,Risk I,425
fexA,420.1844917,Risk I,424
tet(Q),293.5979345,Risk I,423
tet(A),231.7789852,Risk I,422
qacEdelta1,187.2689186,Risk I,421
tet(O),169.4709925,Risk I,420
APH(3')-IIIa,128.4014576,Risk I,419
QnrS1,105.9702018,Risk I,418
TEM-1,86.64995961,Risk I,417
sul2,79.35901647,Risk I,416
ErmB,64.50576266,Risk I,415
ErmA,45.35616276,Risk I,414
sul1,42.82332535,Risk I,413
catA8,41.89418984,Risk I,412
tet(W),27.66856994,Risk I,411
tet(44),25.28341573,Risk I,410
APH(3')-Ia,23.31871543,Risk I,409
APH(3'')-Ib,22.59654446,Risk I,408
lnuC,21.4461963,Risk I,407
qacG,16.30940868,Risk I,406
arr-3,15.79595589,Risk I,405
cfrA,14.04076898,Risk I,404
Streptococcus suis chloramphenicol acetyltransferase,13.51874453,Risk I,403
SAT-4,12.15154358,Risk I,402
FosB3,9.061958077,Risk I,401
ANT(6)-Ia,8.445851145,Risk I,400
tet(B),8.388431144,Risk I,399
dfrA14,8.374636737,Risk I,398
dfrA17,8.285003605,Risk I,397
ErmF,8.097196919,Risk I,396
qacJ,6.200013642,Risk I,395
tet(R),4.912467642,Risk I,394
lnuA,4.893794324,Risk I,393
fexB,4.882791663,Risk I,392
dfrA27,4.496792213,Risk I,391
adeF,4.429588433,Risk I,390
aad(6),4.202974587,Risk I,389
FosXCC,4.116547753,Risk I,388
AAC(6')-IIa,4.007180727,Risk I,387
aadA5,3.752591716,Risk I,386
poxtA,3.665469784,Risk I,385
AAC(3)-IVa,3.505184813,Risk I,384
vanTG,3.329512238,Risk II,383
arr-2,3.031434373,Risk II,382
EstT,3.009976951,Risk II,381
ANT(2'')-Ia,2.642874045,Risk II,380
nimJ,2.583885076,Risk II,379
APH(6)-Id,2.516584663,Risk II,378
aadA16,2.404917217,Risk II,377
tet(S),2.240578235,Risk II,376
ANT(4')-Ia,2.203612484,Risk II,375
APH(4)-Ia,1.68350728,Risk II,374
AAC(6')-Ib-cr6,1.67885213,Risk II,373
vanYB,1.603542686,Risk II,372
H-NS,1.584354625,Risk II,371
Escherichia coli emrE,1.438015207,Risk II,370
OXA-10,1.398211141,Risk II,369
npmA,1.203581628,Risk II,368
CTX-M-55,1.004442322,Risk II,367
