ARGs_type,Risk_Level,Drug_Class
Limosilactobacillus reuteri cat-TC,Risk V,phenicol
vanSB,Risk V,glycopeptide
Sed-1,Risk V,multidrug
dfrL,Risk V,multidrug
mdtC,Risk V,aminocoumarin
Erm(34),Risk V,M-L-S
rgt1438,Risk V,rifamycin
OXA-193,Risk V,multidrug
vanRB,Risk V,glycopeptide
clbC,Risk V,multidrug
FosG,Risk V,phosphonic acid
vanB,Risk V,glycopeptide
ANT(4')-Ib,Risk V,aminoglycoside
Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones,Risk V,fluoroquinolone
arr-8,Risk V,rifamycin
BcIII,Risk V,cephalosporin; penem
AAC(6')-Iaj,Risk V,aminoglycoside
mphF,Risk V,macrolide
vanE,Risk V,glycopeptide
sul4,Risk V,sulfonamide
vanRI,Risk V,glycopeptide
vanXYE,Risk V,glycopeptide
RCP-1,Risk V,penam
msr(I),Risk V,multidrug
CARB-4,Risk V,penam
OXA-334,Risk V,multidrug
fusC,Risk V,fusidane
fusD,Risk V,fusidane
mphK,Risk V,macrolide
Erm(48),Risk V,M-L-S
CDD-2,Risk V,carbapenem
almE,Risk V,peptide
catB2,Risk V,phenicol
aphA15,Risk V,aminoglycoside
BRO-2,Risk V,penam
CARB-9,Risk V,penam
tet(X1),Risk V,tetracycline
Escherichia coli parE conferring resistance to fluoroquinolones,Risk V,fluoroquinolone
adeL,Risk V,FT
Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin,Risk V,phosphonic acid
almG,Risk V,peptide
QnrA3,Risk V,fluoroquinolone
vanXA,Risk V,glycopeptide
DHA-1,Risk V,cephalosporin; cephamycin
Vibrio cholerae varG,Risk V,carbapenem
tet(X3),Risk V,glycylcycline; tetracycline
catB11,Risk V,phenicol
dfrA20,Risk V,diaminopyrimidine
CARB-8,Risk V,penam
AAC(6')-Ib-cr3,Risk V,fluoroquinolone ; aminoglycoside
CMH-4,Risk V,cephalosporin
FosK,Risk V,phosphonic acid
aadK,Risk V,aminoglycoside
APH(3')-Ib,Risk V,aminoglycoside
PC1 beta-lactamase (blaZ),Risk V,penam
mecB,Risk V,penam
QnrVC5,Risk V,fluoroquinolone
EBR-5,Risk V,multidrug
ICR-Mo,Risk V,peptide
HelR,Risk V,rifamycin
ACT-77,Risk V,multidrug
tmrB,Risk V,nucleoside
almF,Risk V,peptide
TRU-1,Risk V,cephalosporin; penam
AAC(3)-VIIa,Risk V,aminoglycoside
APH(2'')-IIa,Risk V,aminoglycoside
dfrA19,Risk V,diaminopyrimidine
aadA27,Risk V,aminoglycoside
armA,Risk V,aminoglycoside
BcI,Risk V,cephalosporin; penem
dfrA6 from Proteus mirabilis,Risk V,diaminopyrimidine
nimD,Risk V,nitroimidazole
vanXYN,Risk V,glycopeptide
vanXB,Risk V,glycopeptide
rsmA,Risk V,multidrug
APH(2'')-Ig,Risk V,aminoglycoside
Corynebacterium striatum tetA,Risk V,penam; tetracycline
FusF,Risk V,fusidane
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),Risk V,M-L-S
OXA-184,Risk V,multidrug
APH(3')-VIIa,Risk V,aminoglycoside
dfrA10,Risk V,diaminopyrimidine
OXA-140,Risk V,multidrug
aadA11,Risk V,aminoglycoside
RbpA,Risk V,rifamycin
erm(45),Risk V,M-L-S
vanRG,Risk V,glycopeptide
vanXO,Risk V,glycopeptide
cmeR,Risk V,multidrug
ramA,Risk V,multidrug
AAC(6')-Iid,Risk V,aminoglycoside
vanXI,Risk V,glycopeptide
CblA-1,Risk V,cephalosporin
lnuD,Risk V,lincosamide
nimC,Risk V,nitroimidazole
Streptomyces venezuelae rox,Risk V,rifamycin
ANT(3'')-IIb,Risk V,aminoglycoside
aadA17,Risk V,aminoglycoside
mecI,Risk V,penam
LlmA 23S ribosomal RNA methyltransferase,Risk V,lincosamide
lnuE,Risk V,lincosamide
ykkD,Risk V,multidrug
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,Risk V,rifamycin
vanTmL,Risk V,glycopeptide
Rhodobacter sphaeroides ampC beta-lactamase,Risk V,cephalosporin; penam
DfrB9,Risk V,diaminopyrimidine
vanHA,Risk V,glycopeptide
APH(2'')-IIIa,Risk V,aminoglycoside
vanI,Risk V,glycopeptide
dfrD,Risk V,diaminopyrimidine
Mycobacterium tuberculosis folC with mutation conferring resistance to para-aminosalicylic acid,Risk V,salicylic acid
vanTN,Risk V,glycopeptide
mphG,Risk V,macrolide
ykkC,Risk V,multidrug
Erm(49),Risk V,M-L-S
salD,Risk V,multidrug
ErmY,Risk V,M-L-S
dfrA15,Risk V,diaminopyrimidine
salE,Risk V,multidrug
Escherichia coli soxR with mutation conferring antibiotic resistance,Risk V,multidrug
mphO,Risk V,macrolide
DfrA37,Risk V,diaminopyrimidine
mefF,Risk V,macrolide
msr(G),Risk V,macrolide ; streptogramin
CfxA6,Risk V,cephamycin
vanXP,Risk V,glycopeptide
salC,Risk V,multidrug
Erm(51),Risk V,M-L-S
Morganella morganii gyrB conferring resistance to fluoroquinolones,Risk V,fluoroquinolone
ADC-43,Risk V,cephalosporin
sdiA,Risk V,multidrug
catA4,Risk V,phenicol
tet(T),Risk V,tetracycline
AAC(6')-Iy,Risk V,aminoglycoside
ACT-56,Risk V,multidrug
APH(6)-Ic,Risk V,aminoglycoside
Clostridioides difficile gyrB conferring resistance to fluoroquinolones,Risk V,fluoroquinolone
OXA-820,Risk V,multidrug
vatE,Risk V,streptogramin ; streptogramin A
catS,Risk V,phenicol
Streptomyces rimosus otr(A),Risk V,tetracycline
ACI-1,Risk V,multidrug
Acinetobacter baumannii AbaQ,Risk V,fluoroquinolone
golS,Risk V,multidrug
vanHB,Risk V,glycopeptide
nimH,Risk V,nitroimidazole
Klebsiella pneumoniae KpnG,Risk V,multidrug
Acinetobacter baumannii AmvA,Risk V,macrolide ; disinfecting agents and antiseptics
dfrA16,Risk V,diaminopyrimidine
vanTrL,Risk V,glycopeptide
patB,Risk V,fluoroquinolone
baeS,Risk V,aminoglycoside ; aminocoumarin
cphA3,Risk V,carbapenem
mdeA,Risk V,multidrug
rmtB,Risk V,aminoglycoside
vanHM,Risk V,glycopeptide
OXA-912,Risk V,multidrug
catIII,Risk V,phenicol
vanTE,Risk V,glycopeptide
Escherichia coli ampC beta-lactamase,Risk V,cephalosporin; penam
RanB,Risk V,aminoglycoside
apmA,Risk V,aminoglycoside
SHV-11,Risk V,multidrug
efrA,Risk V,multidrug
Erm(36),Risk V,M-L-S
RanA,Risk V,aminoglycoside
Klebsiella pneumoniae OmpK37,Risk V,multidrug
Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin,Risk V,aminoglycoside
mdtO,Risk V,nucleoside ; disinfecting agents and antiseptics
FosA2,Risk V,phosphonic acid
QnrD1,Risk V,fluoroquinolone
AAC(6')-Ib',Risk V,aminoglycoside
vanHP,Risk V,glycopeptide
norC,Risk V,fluoroquinolone ; disinfecting agents and antiseptics
YojI,Risk V,peptide
LptD,Risk V,multidrug
mdtG,Risk V,phosphonic acid
evgS,Risk V,multidrug
catP,Risk V,phenicol
tet(X5),Risk V,tetracycline
dfrE,Risk V,diaminopyrimidine
