ARGs_type,Duck_Risk_Level,Human_Risk_Level
tet(M),Risk I,Risk I
tet(45),Risk I,Risk III
fexA,Risk I,Risk IV
tet(Q),Risk I,Risk I
tet(A),Risk I,Risk I
tet(O),Risk I,Risk I
APH(3')-IIIa,Risk I,Risk I
QnrS1,Risk I,Risk I
TEM-1,Risk I,Risk I
sul2,Risk I,Risk I
ErmB,Risk I,Risk I
ErmA,Risk I,Risk I
sul1,Risk I,Risk I
catA8,Risk I,Risk III
tet(W),Risk I,Risk I
tet(44),Risk I,Risk V
APH(3')-Ia,Risk I,Risk I
APH(3'')-Ib,Risk I,Risk I
lnuC,Risk I,Risk III
arr-3,Risk I,Risk III
cfrA,Risk I,Risk IV
Streptococcus suis chloramphenicol acetyltransferase,Risk I,Risk V
SAT-4,Risk I,Risk II
FosB3,Risk I,Risk IV
ANT(6)-Ia,Risk I,Risk I
tet(B),Risk I,Risk I
dfrA14,Risk I,Risk II
dfrA17,Risk I,Risk II
ErmF,Risk I,Risk I
lnuA,Risk I,Risk IV
dfrA27,Risk I,Risk III
adeF,Risk I,Risk I
aad(6),Risk I,Risk I
AAC(6')-IIa,Risk I,Risk III
aadA5,Risk I,Risk I
poxtA,Risk I,Risk I
vanTG,Risk II,Risk V
arr-2,Risk II,Risk IV
ANT(2'')-Ia,Risk II,Risk I
APH(6)-Id,Risk II,Risk I
aadA16,Risk II,Risk II
tet(S),Risk II,Risk II
ANT(4')-Ia,Risk II,Risk V
APH(4)-Ia,Risk II,Risk III
vanYB,Risk II,Risk III
H-NS,Risk II,Risk I
Escherichia coli emrE,Risk II,Risk V
OXA-10,Risk II,Risk II
npmA,Risk II,Risk V
CTX-M-55,Risk II,Risk II
Vibrio anguillarum chloramphenicol acetyltransferase,Risk II,Risk V
dfrA12,Risk II,Risk III
AAC(3)-IIc,Risk II,Risk II
tet(K),Risk II,Risk I
tet(40),Risk II,Risk I
ErmX,Risk II,Risk I
vanWI,Risk II,Risk V
catB3,Risk II,Risk III
tet(W/N/W),Risk II,Risk I
aadA2,Risk II,Risk II
EreD,Risk II,Risk V
Mef(En2),Risk II,Risk I
Erm(35),Risk II,Risk V
cmlA5,Risk II,Risk III
lnuB,Risk II,Risk IV
tet(X),Risk II,Risk I
APH(2'')-If,Risk II,Risk II
vanYM,Risk II,Risk V
APH(3')-IIa,Risk II,Risk II
cpxA,Risk III,Risk I
mphA,Risk III,Risk I
ANT(3'')-IIa,Risk III,Risk I
ANT(9)-Ia,Risk III,Risk V
OXA-347,Risk III,Risk V
OXA-1,Risk III,Risk I
FosA3,Risk III,Risk III
oqxA,Risk III,Risk I
Campylobacter coli chloramphenicol acetyltransferase,Risk III,Risk V
ErmC,Risk III,Risk I
vanYA,Risk III,Risk IV
ErmT,Risk III,Risk I
acrD,Risk III,Risk I
sul3,Risk III,Risk III
vanG,Risk III,Risk IV
dfrA1,Risk III,Risk III
evgA,Risk III,Risk I
tet(Z),Risk III,Risk III
vanYF,Risk III,Risk V
AAC(6')-Ib8,Risk III,Risk III
ErmG,Risk III,Risk V
dfrF,Risk III,Risk II
aadS,Risk III,Risk V
ANT(6)-Ib,Risk III,Risk II
kdpE,Risk III,Risk I
mdtM,Risk III,Risk I
catII from Escherichia coli K-12,Risk III,Risk V
tet(C),Risk III,Risk I
dfrG,Risk III,Risk IV
ugd,Risk III,Risk I
emrY,Risk III,Risk I
emrK,Risk III,Risk I
aadA9,Risk III,Risk V
linG,Risk III,Risk IV
APH(3')-VIa,Risk IV,Risk IV
tet(33),Risk IV,Risk II
aadA15,Risk IV,Risk III
lnuG,Risk IV,Risk IV
Erm(42),Risk IV,Risk III
EreA,Risk IV,Risk IV
efmA,Risk IV,Risk I
CMY-59,Risk IV,Risk V
CARB-3,Risk IV,Risk II
mphE,Risk IV,Risk I
cfrC,Risk IV,Risk IV
abeS,Risk IV,Risk III
CTX-M-65,Risk IV,Risk II
bacA,Risk IV,Risk I
vanXF,Risk IV,Risk V
lnuF,Risk IV,Risk V
FosD,Risk IV,Risk IV
catB8,Risk IV,Risk IV
OXA-21,Risk IV,Risk II
mecA,Risk IV,Risk I
vanF,Risk IV,Risk V
spd,Risk IV,Risk V
Staphylococcus intermedius chloramphenicol acetyltransferase,Risk IV,Risk V
tet(59),Risk IV,Risk IV
AAC(6')-Ia,Risk IV,Risk V
APH(2'')-Ie,Risk IV,Risk IV
AAC(6')-Ib9,Risk IV,Risk III
clcD,Risk IV,Risk IV
msrA,Risk IV,Risk I
lsaE,Risk IV,Risk I
mecR1,Risk IV,Risk I
mphC,Risk IV,Risk I
emtA,Risk IV,Risk IV
AAC(6')-Il,Risk IV,Risk V
OXA-58,Risk IV,Risk V
aadA7,Risk IV,Risk IV
tet(D),Risk IV,Risk I
tet(32),Risk V,Risk I
tetB(P),Risk V,Risk II
vanXYG,Risk V,Risk V
vanHO,Risk V,Risk V
vanWB,Risk V,Risk III
Klebsiella pneumoniae KpnF,Risk V,Risk V
vanWG,Risk V,Risk V
Klebsiella pneumoniae KpnE,Risk V,Risk V
emrR,Risk V,Risk I
LnuP,Risk V,Risk IV
marA,Risk V,Risk I
ErmQ,Risk V,Risk V
Klebsiella pneumoniae KpnH,Risk V,Risk V
vanTC,Risk V,Risk V
OXA-136,Risk V,Risk V
Escherichia coli acrA,Risk V,Risk V
vanXYC,Risk V,Risk V
baeR,Risk V,Risk I
vanC,Risk V,Risk IV
gadX,Risk V,Risk I
mdtN,Risk V,Risk II
vanRC,Risk V,Risk IV
Escherichia coli mdfA,Risk V,Risk V
AAC(6')-Im,Risk V,Risk II
vanHF,Risk V,Risk V
mdtF,Risk V,Risk I
mdtP,Risk V,Risk II
acrB,Risk V,Risk I
Clostridium perfringens mprF,Risk V,Risk V
QnrB6,Risk V,Risk II
eptA,Risk V,Risk I
AAC(6')-Ib7,Risk V,Risk I
msbA,Risk V,Risk II
vanHD,Risk V,Risk V
mdtA,Risk V,Risk II
mdtE,Risk V,Risk I
emrA,Risk V,Risk I
mdtH,Risk V,Risk I
tet(36),Risk V,Risk V
catQ,Risk V,Risk IV
vanUG,Risk V,Risk V
AAC(6')-Ii,Risk V,Risk II
mdtB,Risk V,Risk II
dfrE,Risk V,Risk III
catP,Risk V,Risk III
evgS,Risk V,Risk I
mdtG,Risk V,Risk I
AAC(6')-Ib',Risk V,Risk IV
QnrD1,Risk V,Risk V
FosA2,Risk V,Risk III
mdtO,Risk V,Risk II
Klebsiella pneumoniae OmpK37,Risk V,Risk V
Erm(36),Risk V,Risk V
efrA,Risk V,Risk I
SHV-11,Risk V,Risk II
apmA,Risk V,Risk V
vanTE,Risk V,Risk V
catIII,Risk V,Risk IV
vanHM,Risk V,Risk IV
rmtB,Risk V,Risk III
baeS,Risk V,Risk I
patB,Risk V,Risk I
vanTrL,Risk V,Risk V
dfrA16,Risk V,Risk IV
Acinetobacter baumannii AmvA,Risk V,Risk V
Klebsiella pneumoniae KpnG,Risk V,Risk V
vanHB,Risk V,Risk III
golS,Risk V,Risk III
Acinetobacter baumannii AbaQ,Risk V,Risk V
ACI-1,Risk V,Risk V
catS,Risk V,Risk V
vatE,Risk V,Risk IV
APH(6)-Ic,Risk V,Risk II
tet(T),Risk V,Risk V
catA4,Risk V,Risk V
sdiA,Risk V,Risk I
ADC-43,Risk V,Risk V
CfxA6,Risk V,Risk V
mphO,Risk V,Risk V
dfrA15,Risk V,Risk IV
ErmY,Risk V,Risk V
Erm(49),Risk V,Risk V
ykkC,Risk V,Risk V
mphG,Risk V,Risk V
vanTN,Risk V,Risk V
dfrD,Risk V,Risk IV
vanI,Risk V,Risk IV
APH(2'')-IIIa,Risk V,Risk V
vanHA,Risk V,Risk V
Rhodobacter sphaeroides ampC beta-lactamase,Risk V,Risk V
vanTmL,Risk V,Risk V
ykkD,Risk V,Risk IV
lnuE,Risk V,Risk V
LlmA 23S ribosomal RNA methyltransferase,Risk V,Risk V
mecI,Risk V,Risk I
aadA17,Risk V,Risk III
ANT(3'')-IIb,Risk V,Risk V
lnuD,Risk V,Risk V
CblA-1,Risk V,Risk V
vanXI,Risk V,Risk IV
AAC(6')-Iid,Risk V,Risk V
ramA,Risk V,Risk I
cmeR,Risk V,Risk V
vanXO,Risk V,Risk IV
vanRG,Risk V,Risk III
RbpA,Risk V,Risk V
aadA11,Risk V,Risk III
OXA-140,Risk V,Risk V
