Sample,Total_high_risk_ARG_abundance,Total_ARG_abundance,source
BKDN170793833-1A,206.611824,595.001234,Duck
BKDN170793835-1A,219.535197,803.792121,Duck
BKDN170793836-1A,327.187754,1342.818409,Duck
BKDN170793837-1A,189.287994,903.10537,Duck
BKDN170793838-1A,278.166208,957.75447,Duck
BKDN170793839-1A,127.053779,776.359839,Duck
BKDN170793840-1A,234.923661,1321.260394,Duck
BKDN170793891-1A,168.042898,796.286071,Duck
BKDN170793892-1A,206.772948,499.606705,Duck
BKDN170793893-1A,215.618021,1124.338486,Duck
BKDN170793894-1A,222.453346,982.306363,Duck
BKDN170793895-1A,253.354018,705.911009,Duck
BKDN170793896-1A,191.983325,869.105764,Duck
BKDN170793898-1A,181.569694,590.20917,Duck
BKDN170793899-1A,339.366935,838.635493,Duck
BKDN170793901-1A,257.000588,819.605274,Duck
BKDN170793902-1A,275.67715,567.672113,Duck
BKDN170793903-1A,232.861804,715.956459,Duck
BKDN170793904-1A,131.766654,653.622767,Duck
BKDN170793906-1A,331.627641,817.718176,Duck
BKDN170793907-1A,222.435424,708.392369,Duck
BKDN170793908-1A,174.85448,781.292978,Duck
BKDN170793909-1A,130.372632,671.619156,Duck
BKDN170793993-1A,200.837007,884.62355,Duck
BKDN170793994-1A,216.806792,878.425241,Duck
BKDN170793995-1A,189.016912,892.775076,Duck
BKDN170793998-1A,190.926351,563.526259,Duck
BKDN170794001-1A,250.865523,626.254476,Duck
BKDN170794002-1A,256.578085,630.267519,Duck
BKDN170794054-1A,294.490017,904.050479,Duck
BKDN170794056-1A,231.132276,464.237331,Duck
BKDN170794057-1A,179.84077,624.382744,Duck
BKDN170794058-1A,183.366386,942.70911,Duck
BKDN170794064-1A,137.681696,534.343496,Duck
BKDN170794065-1A,174.93797,622.352398,Duck
BKDN170794066-1A,219.667081,692.107862,Duck
BKDN170794067-1A,123.358438,895.724813,Duck
BKDN170794068-1A,346.403502,590.457576,Duck
BKDN170794148-1A,121.978813,1020.000058,Duck
BKDN170794149-1A,252.54107,707.860428,Duck
BKDN170794152-1A,212.251019,646.949809,Duck
BKDN170794156-1A,95.991606,168.340102,Duck
BKDN170794158-1A,204.603861,701.826432,Duck
BKDN170794159-1A,158.59218,564.223537,Duck
BKDN170794160-1A,242.18504,664.320742,Duck
BKDN170794161-1A,249.068273,545.19358,Duck
BKDN170794163-1A,121.239117,478.282215,Duck
BKDN170794164-1A,213.034,578.927343,Duck
BKDN170794165-1A,231.554245,564.277754,Duck
BKDN170794228-1A,268.526654,562.981424,Duck
BKDN170794322-1A,235.845283,572.679332,Duck
BKDN170794326-1A,174.61371,886.257126,Duck
BKDN170794327-1A,190.832932,918.471179,Duck
BKDN170794329-1A,94.985955,548.898342,Duck
BKDN170794330-1A,245.984992,731.801576,Duck
