ARG_type,Risk_Level,Drug_Class
tet(M),Risk I,tetracycline
tet(Q),Risk I,tetracycline
tet(45),Risk I,tetracycline
fexA,Risk I,phenicol
tet(O),Risk I,tetracycline
lnuC,Risk I,lincosamide
SAT-4,Risk I,nucleoside
ErmB,Risk I,multidrug
APH(3')-IIIa,Risk I,aminoglycoside
qacEdelta1,Risk I,disinfecting agents and antiseptics
sul2,Risk I,sulfonamide
ErmA,Risk I,multidrug
catA8,Risk I,phenicol
Streptococcus suis chloramphenicol acetyltransferase,Risk I,phenicol
TEM-1,Risk I,multidrug
APH(3'')-Ib,Risk I,aminoglycoside
sul1,Risk I,sulfonamide
arr-3,Risk I,rifamycin
nimJ,Risk I,nitroimidazole
aad(6),Risk I,aminoglycoside
tet(S),Risk I,tetracycline
LnuP,Risk I,lincosamide
lnuA,Risk I,lincosamide
APH(3')-Ia,Risk I,aminoglycoside
EstT,Risk I,multidrug
fexB,Risk I,phenicol
tet(A),Risk I,tetracycline
FosXCC,Risk I,phosphonic acid
poxtA,Risk I,multidrug
AAC(6')-IIa,Risk I,aminoglycoside
ErmF,Risk I,multidrug
tet(X),Risk I,multidrug
tet(O/W/32/O),Risk II,tetracycline
APH(2'')-If,Risk II,aminoglycoside
dfrA27,Risk II,diaminopyrimidine
ANT(2'')-Ia,Risk II,aminoglycoside
nimA,Risk II,nitroimidazole
ErmT,Risk II,multidrug
ErmX,Risk II,multidrug
ErmG,Risk II,multidrug
Erm(35),Risk II,multidrug
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,Risk II,aminoglycoside
arr-2,Risk II,rifamycin
ANT(4')-Ia,Risk II,aminoglycoside
aadS,Risk II,aminoglycoside
dfrA14,Risk II,diaminopyrimidine
APH(6)-Id,Risk II,aminoglycoside
Campylobacter coli chloramphenicol acetyltransferase,Risk II,phenicol
tet(W),Risk II,tetracycline
aadA2,Risk II,aminoglycoside
dfrG,Risk II,diaminopyrimidine
dfrA17,Risk II,diaminopyrimidine
tet(44),Risk II,tetracycline
tet(40),Risk II,tetracycline
tet(K),Risk II,tetracycline
catP,Risk II,phenicol
OXA-10,Risk II,multidrug
AAC(3)-IVa,Risk II,aminoglycoside
vanYB,Risk II,glycopeptide
aadA5,Risk II,aminoglycoside
Vibrio anguillarum chloramphenicol acetyltransferase,Risk II,phenicol
tet(32),Risk II,tetracycline
dfrA12,Risk II,diaminopyrimidine
qacL,Risk II,disinfecting agents and antiseptics
cmlA5,Risk III,phenicol
npmA,Risk III,aminoglycoside
AAC(6')-Ib-cr6,Risk III,multidrug
ANT(9)-Ia,Risk III,aminoglycoside
ANT(6)-Ia,Risk III,aminoglycoside
aadA16,Risk III,aminoglycoside
catIII,Risk III,phenicol
FosB3,Risk III,phosphonic acid
ErmC,Risk III,multidrug
dfrA1,Risk III,diaminopyrimidine
catB3,Risk III,phenicol
AAC(3)-IIc,Risk III,aminoglycoside
FosBx1,Risk III,phosphonic acid
APH(3')-IIa,Risk III,aminoglycoside
QnrS1,Risk III,fluoroquinolone
Mef(En2),Risk III,macrolide
AAC(6')-Ib8,Risk III,aminoglycoside
CTX-M-55,Risk III,cephalosporin
lnuG,Risk III,lincosamide
FosA8,Risk III,phosphonic acid
vanYG,Risk III,glycopeptide
cfrE,Risk III,multidrug
tet(W/N/W),Risk III,tetracycline
qacG,Risk III,disinfecting agents and antiseptics
CARB-3,Risk III,penam
OXA-1,Risk III,multidrug
vatE,Risk III,multidrug
tet(B),Risk III,tetracycline
catQ,Risk III,phenicol
qacJ,Risk III,disinfecting agents and antiseptics
cfrA,Risk III,multidrug
BLMT,Risk III,glycopeptide
FosA2,Risk IV,phosphonic acid
Staphylococcus intermedius chloramphenicol acetyltransferase,Risk IV,phenicol
tet(C),Risk IV,tetracycline
OXA-347,Risk IV,multidrug
dfrF,Risk IV,diaminopyrimidine
clcD,Risk IV,multidrug
SAT-2,Risk IV,nucleoside
AAC(6')-Ia,Risk IV,aminoglycoside
linG,Risk IV,lincosamide
nimH,Risk IV,nitroimidazole
FosD,Risk IV,phosphonic acid
dfrA15,Risk IV,diaminopyrimidine
catB8,Risk IV,phenicol
EreA,Risk IV,macrolide
AAC(6')-Im,Risk IV,aminoglycoside
spd,Risk IV,aminoglycoside
aadA17,Risk IV,aminoglycoside
