ARG_type,Duck_Risk_Level,Human_Risk_Level
tet(M),Risk I,Risk I
tet(Q),Risk I,Risk I
tet(45),Risk I,Risk III
fexA,Risk I,Risk IV
tet(O),Risk I,Risk I
lnuC,Risk I,Risk III
SAT-4,Risk I,Risk II
ErmB,Risk I,Risk I
APH(3')-IIIa,Risk I,Risk I
sul2,Risk I,Risk I
ErmA,Risk I,Risk I
catA8,Risk I,Risk III
Streptococcus suis chloramphenicol acetyltransferase,Risk I,Risk V
TEM-1,Risk I,Risk I
APH(3'')-Ib,Risk I,Risk I
sul1,Risk I,Risk I
arr-3,Risk I,Risk III
aad(6),Risk I,Risk I
tet(S),Risk I,Risk II
LnuP,Risk I,Risk IV
lnuA,Risk I,Risk IV
APH(3')-Ia,Risk I,Risk I
tet(A),Risk I,Risk I
poxtA,Risk I,Risk I
AAC(6')-IIa,Risk I,Risk III
ErmF,Risk I,Risk I
tet(X),Risk I,Risk I
APH(2'')-If,Risk II,Risk II
dfrA27,Risk II,Risk III
ANT(2'')-Ia,Risk II,Risk I
ErmT,Risk II,Risk I
ErmX,Risk II,Risk I
ErmG,Risk II,Risk V
Erm(35),Risk II,Risk V
arr-2,Risk II,Risk IV
ANT(4')-Ia,Risk II,Risk V
aadS,Risk II,Risk V
dfrA14,Risk II,Risk II
APH(6)-Id,Risk II,Risk I
Campylobacter coli chloramphenicol acetyltransferase,Risk II,Risk V
tet(W),Risk II,Risk I
aadA2,Risk II,Risk II
dfrG,Risk II,Risk IV
dfrA17,Risk II,Risk II
tet(44),Risk II,Risk V
tet(40),Risk II,Risk I
tet(K),Risk II,Risk I
catP,Risk II,Risk III
OXA-10,Risk II,Risk II
vanYB,Risk II,Risk III
aadA5,Risk II,Risk I
Vibrio anguillarum chloramphenicol acetyltransferase,Risk II,Risk V
tet(32),Risk II,Risk I
dfrA12,Risk II,Risk III
cmlA5,Risk III,Risk III
npmA,Risk III,Risk V
ANT(9)-Ia,Risk III,Risk V
ANT(6)-Ia,Risk III,Risk I
aadA16,Risk III,Risk II
catIII,Risk III,Risk IV
FosB3,Risk III,Risk IV
