ARG_type,duck_Abundance,duck_Prevalence,duck_Mobility,duck pathogenicity,human_Abundance,human_Prevalence,human_Mobility,human pathogenicity
tet(M),8.718855635,0.86919105,553.87253,0.541666667,9.806466329,0.88627451,135,0.831989247
tet(Q),70.84622157,0.899311532,607.732738,0.027777778,205.0097013,0.894117647,16,0.181818182
tet(O),25.48259671,0.895008606,46.185233,0.333333333,66.61556534,0.868627451,35,0.76076555
SAT-4,5.472904513,0.74010327,132.292747,0.4375,2.895680745,0.590196078,72,0.896449704
ErmB,4.906140373,0.771944923,169.71582,0.272727273,95.61677395,0.773529412,176,0.837748344
APH(3')-IIIa,17.26167959,0.790877797,68.362748,0.185185185,10.47651699,0.657843137,94,0.888888889
sul2,1.929200922,0.689328744,115.228555,0.785714286,16.26176141,0.459803922,271,0.854416576
ErmA,2.027962992,0.65232358,153.579502,0.5,1.104883451,0.041176471,26,0.886877828
TEM-1,0.925971145,0.395869191,156.942302,0.75,0.799219429,0.129411765,319,0.900277008
APH(3'')-Ib,0.749458338,0.666092943,122.703348,0.538461538,32.21172545,0.461764706,329,0.843956044
sul1,0.538848611,0.475043029,145.31928,0.833333333,35.91391264,0.295098039,301,0.852966466
aad(6),0.998918749,0.613597246,88.494292,0.5,1.896263178,0.567647059,75,0.872483221
tet(S),0.441379732,0.543889845,82.70183,1,0.267004073,0.171568627,23,0.512195122
APH(3')-Ia,0.429151764,0.653184165,78.891479,0.75,7.733730514,0.166666667,261,0.832954545
tet(A),1.751334214,0.647160069,14.332555,0.8,4.205981695,0.353921569,161,0.895076675
poxtA,3.301042207,0.748709122,60.329976,0.086956522,0.164399172,0.439215686,19,0.47080292
ErmF,3.308915923,0.660068847,33.711424,0.142857143,104.9141492,0.709803922,22,0.185714286
tet(X),1.097991934,0.533562823,134.07231,0.125,32.59515817,0.548039216,24,0.115384615
APH(2'')-If,1.102898891,0.608433735,42.728161,0.25,6.687178185,0.27254902,7,0.88
ANT(2'')-Ia,0.221095726,0.398450947,113.508858,0.571428571,202.3306782,0.050980392,81,0.789256198
ErmT,0.583115114,0.203098107,53.741626,0.666666667,0.883091882,0.196078431,34,0.6
ErmX,0.396161266,0.436316695,85.144578,0.285714286,24.74374189,0.379411765,36,0.377777778
dfrA14,0.209871633,0.277108434,35.379239,1,7.081585616,0.08627451,73,0.858611825
APH(6)-Id,0.169175852,0.329604131,43.763698,0.75,34.23539772,0.471568627,345,0.846703297
tet(W),50.98315687,0.878657487,1.176655,0.023809524,57.58444482,0.891176471,24,0.009090909
aadA2,0.076903542,0.15404475,118.989665,0.8,0.956792561,0.039215686,155,0.89578714
dfrA17,0.584254224,0.229776248,10.166132,0.75,6.484055558,0.128431373,75,0.96369637
tet(40),2.904446638,0.71686747,4.267653,0.1,31.59654585,0.745098039,4,0.615384615
tet(K),0.371270114,0.104991394,16.804637,1,41.84440435,0.093137255,12,0.864864865
OXA-10,0.101120738,0.280550775,20.849615,1,0.206050756,0.001960784,46,0.877358491
aadA5,0.280743727,0.303786575,6.192892,0.75,5.687133326,0.150980392,75,0.936877076
tet(32),5.198951555,0.790877797,0.694951,0.117647059,16.1784604,0.812745098,1,0.083333333
