Sample,Total_high_risk_ARG_abundance,Total_ARG_abundance,source
BKDN170793833-1A,214.865618,441.901441,Duck
BKDN170793835-1A,230.547048,658.820015,Duck
BKDN170793836-1A,358.881507,1046.293932,Duck
BKDN170793837-1A,177.164873,704.198784,Duck
BKDN170793838-1A,291.963211,695.521369,Duck
BKDN170793839-1A,129.463361,623.870757,Duck
BKDN170793840-1A,234.196339,1048.07208,Duck
BKDN170793891-1A,162.456208,613.069582,Duck
BKDN170793892-1A,216.285092,383.87041,Duck
BKDN170793893-1A,209.191423,809.053478,Duck
BKDN170793894-1A,214.394663,730.413938,Duck
BKDN170793895-1A,256.794702,528.56959,Duck
BKDN170793896-1A,184.200954,684.130114,Duck
BKDN170793898-1A,178.037335,455.285118,Duck
BKDN170793899-1A,356.980602,762.816721,Duck
BKDN170793901-1A,251.741767,782.468445,Duck
BKDN170793902-1A,291.495325,540.697454,Duck
BKDN170793903-1A,222.957304,663.850855,Duck
BKDN170793904-1A,118.087386,496.273193,Duck
BKDN170793906-1A,341.587707,651.939262,Duck
BKDN170793907-1A,220.607347,613.347037,Duck
BKDN170793908-1A,163.115177,652.978518,Duck
BKDN170793909-1A,121.866806,557.803883,Duck
BKDN170793993-1A,185.66525,801.222945,Duck
BKDN170793994-1A,210.503913,695.453867,Duck
BKDN170793995-1A,189.598428,676.181092,Duck
BKDN170793998-1A,219.411049,417.124082,Duck
BKDN170794001-1A,259.253669,439.782379,Duck
BKDN170794002-1A,285.047901,462.78677,Duck
BKDN170794054-1A,293.623108,813.171448,Duck
BKDN170794056-1A,239.319447,356.438875,Duck
BKDN170794057-1A,179.542192,468.443445,Duck
BKDN170794058-1A,175.881229,647.787508,Duck
BKDN170794064-1A,130.138265,457.124012,Duck
BKDN170794065-1A,172.551418,496.55994,Duck
BKDN170794066-1A,216.305359,621.770968,Duck
BKDN170794067-1A,112.498681,644.241436,Duck
BKDN170794068-1A,351.260074,458.337286,Duck
BKDN170794148-1A,112.988095,704.466853,Duck
BKDN170794149-1A,247.518662,558.341294,Duck
BKDN170794152-1A,214.678772,587.675777,Duck
BKDN170794156-1A,103.55976,137.139456,Duck
BKDN170794158-1A,246.43109,612.086754,Duck
BKDN170794159-1A,183.602256,376.594836,Duck
BKDN170794160-1A,271.330533,490.295779,Duck
BKDN170794161-1A,259.334852,407.445917,Duck
BKDN170794163-1A,140.201692,355.795651,Duck
BKDN170794164-1A,225.943677,407.467604,Duck
BKDN170794165-1A,244.831633,415.874797,Duck
BKDN170794228-1A,284.793609,477.828791,Duck
BKDN170794322-1A,235.448439,528.338913,Duck
BKDN170794326-1A,179.417417,594.111463,Duck
BKDN170794327-1A,187.970713,657.650029,Duck
BKDN170794329-1A,90.679531,380.351791,Duck
BKDN170794330-1A,280.240248,556.53816,Duck
BKDN170794331-1A,235.855864,410.713132,Duck
BKDN170794385-1A,258.69784,403.15091,Duck
BKDN170794387-1A,254.001413,438.867356,Duck
BKDN170794392-1A,198.819759,556.791482,Duck
BKDN170794393-1A,280.912915,392.878408,Duck
BKDN170794394-1A,142.831022,232.326397,Duck
BKDN170794480-1A,218.700168,358.8475,Duck
BKDN170794548-1A,270.969913,427.846406,Duck
BKDN170794551-1A,237.130631,354.336219,Duck
BKDN170794553-1A,167.430028,363.9879,Duck
BKDN170794554-1A,229.496648,625.473433,Duck
BKDN170794805-1A,267.04109,403.908006,Duck
BKDN170794806-1A,302.191816,418.107247,Duck
BKDN170794809-1A,296.361735,537.080675,Duck
BKDN170794811-1A,222.913207,426.048914,Duck
BKDN170794972-1A,235.876492,517.277471,Duck
BKDN170795140-1A,265.995767,423.017741,Duck
BKDN170795141-1A,281.602603,442.254024,Duck
BKDN170795142-1A,223.092884,521.553931,Duck
BKDN170795145-1A,364.476346,502.129173,Duck
BKDN170795146-1A,194.290696,539.65294,Duck
BKDN170795147-1A,303.221424,518.379488,Duck
BKDN170795149-1A,167.620562,457.486649,Duck
BKDN170795572-1A,328.037167,543.45393,Duck
BKDN170795573-1A,275.617143,572.534398,Duck
BKDN170795574-1A,278.258321,393.967836,Duck
BKDN170795575-1A,206.660591,603.576506,Duck
BKDN170795576-1A,276.336293,698.725465,Duck
BKDN170795577-1A,161.6026,457.184279,Duck
BKDN170795578-1A,153.574831,389.944576,Duck
BKDN170795737-1A,311.387401,745.550653,Duck
BKDN170795738-1A,157.841593,424.708981,Duck
BKDN170795739-1A,262.932583,590.93343,Duck
BKDN170795740-1A,203.682244,634.176221,Duck
BKDN170795742-1A,175.060688,491.377265,Duck
BKDN170795743-1A,250.76321,515.335368,Duck
BKDN170795744-1A,248.101281,546.616911,Duck
BKDN170795745-1A,188.664979,709.724602,Duck
BKDN170795836-1A,275.467829,437.255661,Duck
BKDN170795837-1A,258.168629,405.500408,Duck
BKDN170795838-1A,271.804621,411.412728,Duck
BKDN170795907-1A,141.295166,424.574195,Duck
BKDN170795910-1A,277.208448,414.030722,Duck
BKDN170795911-1A,182.720496,461.338255,Duck
BKDN170795912-1A,333.665449,684.24391,Duck
BKDN170795916-1A,156.700611,467.410478,Duck
BKDN170795999-1A,160.275811,377.405191,Duck
BKDN170796000-1A,223.44966,323.275551,Duck
BKDN170796004-1A,170.250439,449.081887,Duck
BKDN170796006-1A,216.391673,508.557089,Duck
BKDN170796077-1A,232.758865,352.117631,Duck
BKDN170796080-1A,283.379395,529.056587,Duck
BKDN170796085-1A,267.723872,553.805195,Duck
BKDN170796086-1A,338.786583,573.563166,Duck
BKDN170796173-1A,271.365135,378.213017,Duck
BKDN170796245-1A,200.091816,545.78236,Duck
BKDN170796247-1A,228.738367,502.990159,Duck
BKDN170796249-1A,243.589481,537.217121,Duck
BKDN170796250-1A,202.052705,395.325091,Duck
BKDN170796251-1A,299.404397,465.402709,Duck
BKDN170796252-1A,469.270987,612.277919,Duck
BKDN170796253-1A,271.905575,657.383316,Duck
BKDN170796254-1A,439.585374,783.808544,Duck
BKDN170796413-1A,251.200026,440.779484,Duck
BKDN170796417-1A,283.008472,463.937364,Duck
