Sample,V1,V2,group
BKDN170793833-1A,0.20185366378104944,-0.143545704,Feces
BKDN170793835-1A,-0.092385895,-0.363172165,Feces
BKDN170793836-1A,-0.130245596,-0.3291945,Feces
BKDN170793837-1A,-0.202003884,-0.451388339,Feces
BKDN170793838-1A,0.04980484516652481,-0.258496065,Feces
BKDN170793839-1A,-0.223243899,-0.400322289,Feces
BKDN170793840-1A,-0.224626621,-0.381008634,Feces
BKDN170793891-1A,-0.22880865,-0.439467354,Feces
BKDN170793892-1A,0.20758356995642696,-0.133563653,Feces
BKDN170793893-1A,-0.181327358,-0.409501333,Feces
BKDN170793894-1A,-0.235009653,-0.450147497,Feces
BKDN170793895-1A,0.10306761423327895,-0.276520701,Feces
BKDN170793896-1A,-0.237057167,-0.445666675,Feces
BKDN170793898-1A,-0.034968077,-0.372278222,Feces
BKDN170793899-1A,-0.269129573,-0.480118567,Feces
BKDN170793901-1A,-0.276888094,-0.463166531,Feces
BKDN170793902-1A,-0.189198562,-0.42110405,Feces
BKDN170793903-1A,-0.229813683,-0.465184038,Feces
BKDN170793904-1A,-0.233710585,-0.433453757,Feces
BKDN170793906-1A,0.2148749171314884,-0.147133259,Feces
BKDN170793907-1A,-0.066499813,-0.364881311,Feces
BKDN170793908-1A,-0.224462687,-0.409594352,Feces
BKDN170793909-1A,-0.212310275,-0.408682139,Feces
BKDN170793993-1A,-0.25989087,-0.421907517,Feces
BKDN170793994-1A,-0.237804465,-0.408715845,Feces
BKDN170793995-1A,-0.247216635,-0.401500151,Feces
BKDN170793998-1A,0.15102670584967307,-0.07444878,Feces
BKDN170794001-1A,0.27780168699336777,0.043426230363971315,Feces
BKDN170794002-1A,0.21945113605581212,-0.058529636,Feces
BKDN170794054-1A,-0.15345316,-0.38580921,Feces
BKDN170794056-1A,0.3009320936552337,0.07699489799439406,Feces
BKDN170794057-1A,0.004858527080641091,-0.350438949,Feces
BKDN170794058-1A,-0.169489924,-0.414693684,Feces
BKDN170794064-1A,-0.188717137,-0.434937828,Feces
BKDN170794065-1A,-0.026808494,-0.372521032,Feces
BKDN170794066-1A,-0.047699354,-0.377705526,Feces
BKDN170794067-1A,-0.230235308,-0.423251124,Feces
BKDN170794068-1A,0.31070824857485724,0.09929945337796676,Feces
BKDN170794148-1A,-0.236587509,-0.415517668,Feces
BKDN170794149-1A,0.019492668979596922,-0.28885657,Feces
BKDN170794152-1A,-0.202909334,-0.459540625,Feces
BKDN170794156-1A,-0.075586883,-0.130650598,Feces
BKDN170794158-1A,-0.260455365,-0.356053506,Feces
BKDN170794159-1A,0.13429580059516436,-0.078378538,Feces
BKDN170794160-1A,0.1856797259574864,-0.084474592,Feces
BKDN170794161-1A,0.27776670920119956,0.057116902801927334,Feces
BKDN170794163-1A,0.013137724720704605,-0.203643236,Feces
BKDN170794164-1A,0.21018133993149038,-0.017348443,Feces
BKDN170794165-1A,0.24591667694569438,0.003523659360079504,Feces
BKDN170794228-1A,0.23453959280406186,-0.051428403,Feces
BKDN170794322-1A,-0.113812838,-0.325282134,Feces
BKDN170794326-1A,-0.23240647,-0.401034157,Feces
BKDN170794327-1A,-0.070841949,-0.362288846,Feces
BKDN170794329-1A,-0.212164014,-0.393224053,Feces
BKDN170794330-1A,0.1509711255741516,-0.123120501,Feces
BKDN170794331-1A,0.224161322369052,-0.092313499,Feces
BKDN170794385-1A,0.24762070418908258,-0.027893417,Feces
BKDN170794387-1A,0.23781230859455077,-0.031056821,Feces
BKDN170794392-1A,-0.169719325,-0.426470676,Feces
BKDN170794393-1A,0.27975580874971484,0.025436824984160132,Feces
BKDN170794394-1A,0.09810091139205931,-0.145251023,Feces
BKDN170794480-1A,0.2796332500085983,0.06306622872416255,Feces
BKDN170794548-1A,0.257316160802528,-0.038419602,Feces
BKDN170794551-1A,0.2936814869640267,0.06603560086046323,Feces
BKDN170794553-1A,0.09751239016997858,-0.172934087,Feces
BKDN170794554-1A,-0.004992834,-0.347067994,Feces
BKDN170794805-1A,0.039562238500429246,-0.142283495,Feces
BKDN170794806-1A,-1.36E-04,-0.122857862,Feces
BKDN170794809-1A,0.04809714035270948,-0.238227223,Feces
BKDN170794811-1A,0.012461748967930687,-0.270682617,Feces
BKDN170794972-1A,-0.033218545,-0.282934386,Feces
BKDN170795140-1A,0.17647797920484015,-0.101784095,Feces
BKDN170795141-1A,-0.039855768,-0.214732304,Feces
BKDN170795142-1A,-0.026941089,-0.292248294,Feces
BKDN170795145-1A,0.27781115640530646,0.07469802464546603,Feces
BKDN170795146-1A,-0.028478145,-0.351343697,Feces
BKDN170795147-1A,0.26142502876819845,0.0017559128900449521,Feces
BKDN170795149-1A,-0.025845568,-0.311608693,Feces
BKDN170795572-1A,0.23650935555073477,-0.084053855,Feces
BKDN170795573-1A,0.13395240089214486,-0.233612439,Feces
BKDN170795574-1A,0.2945866326887631,0.03220705750000571,Feces
BKDN170795575-1A,-0.240042891,-0.476700767,Feces
BKDN170795576-1A,-0.247561138,-0.488338259,Feces
BKDN170795577-1A,-0.229503418,-0.468101085,Feces
BKDN170795578-1A,-0.116244589,-0.291361392,Feces
BKDN170795737-1A,-0.234564452,-0.463628161,Feces
BKDN170795738-1A,-0.26144692,-0.489047032,Feces
BKDN170795739-1A,-0.219627329,-0.479698108,Feces
BKDN170795740-1A,-0.238664358,-0.479692052,Feces
BKDN170795742-1A,-0.196102525,-0.46193811,Feces
BKDN170795743-1A,0.010199037581719876,-0.321903407,Feces
BKDN170795744-1A,-0.038693352,-0.386215033,Feces
BKDN170795745-1A,-0.273536361,-0.464802286,Feces
BKDN170795836-1A,-0.018419156,-0.205757731,Feces
BKDN170795837-1A,0.2576213016602393,-0.019944925,Feces
BKDN170795838-1A,0.0022398910924320043,-0.1661295,Feces
BKDN170795907-1A,-0.229374434,-0.411115006,Feces
BKDN170795910-1A,0.3141793692346771,0.07946659408980448,Feces
BKDN170795911-1A,-0.22609368,-0.492740849,Feces
BKDN170795912-1A,-0.227045359,-0.416200902,Feces
BKDN170795916-1A,-0.175905469,-0.366429056,Feces
BKDN170795999-1A,-0.03893102,-0.322431935,Feces
