Sample,ARG_Count,gut_locations,Total_Abundance,Abundance_log10
BKDN170793833-1A,162,Feces,441.901441,2.6463070932839243
BKDN170793835-1A,189,Feces,658.820015,2.8194254853108953
BKDN170793836-1A,173,Feces,1046.293932,3.0200685872476285
BKDN170793837-1A,170,Feces,704.1987839999999,2.848311554758105
BKDN170793838-1A,144,Feces,695.521369,2.842934444947236
BKDN170793839-1A,198,Feces,623.870757,2.7957902008224704
BKDN170793840-1A,142,Feces,1048.07208,3.020805328871165
BKDN170793891-1A,123,Feces,613.069582,2.7882175850930726
BKDN170793892-1A,148,Feces,383.87041,2.5853145225061005
BKDN170793893-1A,141,Feces,809.053478,2.908513691018955
BKDN170793894-1A,174,Feces,730.413938,2.8641632321010313
BKDN170793895-1A,160,Feces,528.56959,2.7239230382247257
BKDN170793896-1A,162,Feces,684.130114,2.8357730567860644
BKDN170793898-1A,175,Feces,455.285118,2.659236304240821
BKDN170793899-1A,116,Feces,762.816721,2.8829891614457117
BKDN170793901-1A,114,Feces,782.468445,2.894021509498486
BKDN170793902-1A,89,Feces,540.697454,2.733756794390324
BKDN170793903-1A,188,Feces,663.850855,2.822724231596099
BKDN170793904-1A,134,Feces,496.273193,2.696595047919189
BKDN170793906-1A,147,Feces,651.939262,2.814872784023795
BKDN170793907-1A,185,Feces,613.347037,2.78841376800962
BKDN170793908-1A,134,Feces,652.978518,2.8155634827779563
BKDN170793909-1A,105,Feces,557.803883,2.747259415265362
BKDN170793993-1A,134,Feces,801.222945,2.904295079416233
BKDN170793994-1A,120,Feces,695.4538670000001,2.8428923541111857
BKDN170793995-1A,154,Feces,676.181092,2.8307048233962835
BKDN170793998-1A,201,Feces,417.124082,2.6213051816105004
BKDN170794001-1A,140,Feces,439.782379,2.6442242245550984
BKDN170794002-1A,172,Feces,462.78677,2.6663183557768586
BKDN170794054-1A,168,Feces,813.171448,2.910715868132461
BKDN170794056-1A,66,Feces,356.438875,2.5532017845429986
BKDN170794057-1A,140,Feces,468.443445,2.67158327923502
BKDN170794058-1A,125,Feces,647.787508,2.812102479213431
BKDN170794064-1A,127,Feces,457.124012,2.660983055377485
BKDN170794065-1A,135,Feces,496.55994,2.69684540677661
BKDN170794066-1A,144,Feces,621.770968,2.7943283586628125
BKDN170794067-1A,133,Feces,644.241436,2.8097222490584093
BKDN170794068-1A,107,Feces,458.337286,2.662131700037582
BKDN170794148-1A,112,Feces,704.466853,2.848476612849572
BKDN170794149-1A,125,Feces,558.341294,2.7476768827903073
BKDN170794152-1A,140,Feces,587.675777,2.7698761657057136
BKDN170794156-1A,30,Feces,137.139456,2.1403177414003776
BKDN170794158-1A,192,Feces,612.086754,2.787521933111656
BKDN170794159-1A,184,Feces,376.594836,2.577026046240332
BKDN170794160-1A,160,Feces,490.295779,2.6913430328812438
BKDN170794161-1A,159,Feces,407.445917,2.61113455902404
BKDN170794163-1A,184,Feces,355.795651,2.552419552099229
BKDN170794164-1A,148,Feces,407.467604,2.6111576178771227
BKDN170794165-1A,189,Feces,415.874797,2.6200056397780425
BKDN170794228-1A,141,Feces,477.828791,2.680180255762167
BKDN170794322-1A,122,Feces,528.338913,2.7237338212158853
BKDN170794326-1A,165,Feces,594.111463,2.7745983156986704
BKDN170794327-1A,125,Feces,657.650029,2.8186547152818178
BKDN170794329-1A,149,Feces,380.351791,2.5813257903722757
BKDN170794330-1A,124,Feces,556.53816,2.746274597478527
BKDN170794331-1A,114,Feces,410.713132,2.61459471947303
BKDN170794385-1A,149,Feces,403.15091,2.6065435610079675
BKDN170794387-1A,116,Feces,438.867356,2.6433217327540417
BKDN170794392-1A,152,Feces,556.791482,2.746471877895892
BKDN170794393-1A,88,Feces,392.878408,2.5953621738950137
BKDN170794394-1A,54,Feces,232.32639700000001,2.3679638747685914
BKDN170794480-1A,90,Feces,358.8475,2.556118489821966
BKDN170794548-1A,147,Feces,427.846406,2.6323017747706516
BKDN170794551-1A,107,Feces,354.33621899999997,2.550639476867761
BKDN170794553-1A,144,Feces,363.9879,2.5622784670582948
BKDN170794554-1A,156,Feces,625.473433,2.796902658496741
BKDN170794805-1A,114,Feces,403.908006,2.607356363894242
BKDN170794806-1A,94,Feces,418.107247,2.622325170509099
BKDN170794809-1A,131,Feces,537.080675,2.7308473947754064
BKDN170794811-1A,145,Feces,426.048914,2.6304776217783137
BKDN170794972-1A,134,Feces,517.277471,2.7145623309058347
BKDN170795140-1A,135,Feces,423.017741,2.62738402795409
BKDN170795141-1A,91,Feces,442.254024,2.6466526869532996
BKDN170795142-1A,109,Feces,521.553931,2.7181311191410114
BKDN170795145-1A,112,Feces,502.129173,2.701679499805573
BKDN170795146-1A,125,Feces,539.65294,2.7329185689694113
BKDN170795147-1A,140,Feces,518.379488,2.715484793918008
BKDN170795149-1A,83,Feces,457.486649,2.66132669365915
BKDN170795572-1A,138,Feces,543.45393,2.7359611369967296
BKDN170795573-1A,163,Feces,572.534398,2.758559470037804
BKDN170795574-1A,107,Feces,393.967836,2.596561730521485
BKDN170795575-1A,126,Feces,603.576506,2.7814512663733777
BKDN170795576-1A,123,Feces,698.725465,2.844927679411268
BKDN170795577-1A,137,Feces,457.184279,2.6610401838043165
BKDN170795578-1A,176,Feces,389.944576,2.592115192067213
BKDN170795737-1A,126,Feces,745.550653,2.8730592796726837
BKDN170795738-1A,76,Feces,424.708981,2.629112812398417
BKDN170795739-1A,121,Feces,590.93343,2.7722728678558717
BKDN170795740-1A,145,Feces,634.176221,2.80289423110388
BKDN170795742-1A,144,Feces,491.377265,2.6922979916333727
BKDN170795743-1A,121,Feces,515.335368,2.712931874419979
BKDN170795744-1A,224,Feces,546.616911,2.738476851150377
BKDN170795745-1A,174,Feces,709.724602,2.8517013489698195
BKDN170795836-1A,73,Feces,437.25566100000003,2.6417275346350473
BKDN170795837-1A,103,Feces,405.500408,2.609060985826913
BKDN170795838-1A,63,Feces,411.412728,2.615332060139282
BKDN170795907-1A,66,Feces,424.574195,2.628975286324421
BKDN170795910-1A,95,Feces,414.03072199999997,2.618080245871697
BKDN170795911-1A,120,Feces,461.338255,2.6649598295143253
BKDN170795912-1A,141,Feces,684.24391,2.8358451845031847
BKDN170795916-1A,209,Feces,467.410478,2.670626601359089
BKDN170795999-1A,123,Feces,377.405191,2.577957085465464
BKDN170796000-1A,73,Feces,323.275551,2.510914205946927
BKDN170796004-1A,137,Feces,449.081887,2.653291535635135
BKDN170796006-1A,89,Feces,508.557089,2.707192847908177
BKDN170796077-1A,122,Feces,352.11763099999996,2.547919402227076
BKDN170796080-1A,145,Feces,529.056587,2.724322235846086
BKDN170796085-1A,117,Feces,553.805195,2.744140519000509
BKDN170796086-1A,107,Feces,573.563166,2.7593377808698243
BKDN170796173-1A,70,Feces,378.213017,2.5788832366677235
BKDN170796245-1A,182,Feces,545.78236,2.7378144951455354
BKDN170796247-1A,160,Feces,502.990159,2.702422056418298
BKDN170796249-1A,174,Feces,537.217121,2.730957508807815
BKDN170796250-1A,138,Feces,395.325091,2.598051568013983
BKDN170796251-1A,91,Feces,465.402709,2.66876106426454
BKDN170796252-1A,106,Feces,612.277919,2.7876573282467785
BKDN170796253-1A,140,Feces,657.383316,2.8184788169476183
BKDN170796254-1A,127,Feces,783.808544,2.8947637224451017
BKDN170796413-1A,120,Feces,440.779484,2.6452055436031503
BKDN170796417-1A,122,Feces,463.937364,2.6673944490159025
BKDN170796418-1A,110,Feces,581.060318,2.7649679922395776
BKDN170796419-1A,99,Feces,689.6617590000001,2.8392654103784487
BKDN170796420-1A,175,Feces,1215.7560680000001,3.0852035207609068
BKDN170796421-1A,160,Feces,393.975953,2.5965706556332684
BKDN170796422-1A,117,Feces,484.65777299999996,2.686330344052957
BKDN170796424-1A,145,Feces,448.091787,2.6523351127487644
CCH108A,93,CC,387.886416,2.589822773285602
CCH111-1A,72,CC,382.954372,2.5842796171643787
CCH112-2A,81,CC,411.156908,2.6150625832799013
CCH119-1A,61,CC,326.21509199999997,2.514833326237569
CCH127-1A,82,CC,420.06169,2.6243457292415213
CCH150-1B,149,CC,501.826478,2.7014181388359586
CCH151-2A,118,CC,474.390108,2.6770501406111116
CCH156-3B,125,CC,400.010968,2.6031562511157835
CCH157-2B,151,CC,500.149037,2.699966900161262
CCH162-1A,163,CC,610.057444,2.7860820391125216
CCH180-3A,120,CC,408.730455,2.6124982459811577
CCH186-1A,163,CC,491.51441700000004,2.6924189477918126
CCH209A,152,CC,538.199279,2.731749302802985
CCH210A,117,CC,417.914982,2.622125892668634
CCH212A,147,CC,404.536658,2.608030117850614
CCH221-1A,132,CC,393.260615,2.5957833950227918
CCH227-3A,149,CC,430.039119,2.634516686390169
CCH247A,142,CC,429.90905399999997,2.634385619316795
CCH250-2A,138,CC,393.974955,2.5965695582843353
CCH251-1A,140,CC,399.519089,2.6026232196706998
CCH258A,138,CC,487.60216099999997,2.6889553834485107
CCH259-3A,105,CC,468.240593,2.671395574955309
CCH263-2A,91,CC,437.224154,2.641696311289083
CCH277-1A,85,CC,382.016091,2.5832170196232282
CCH287A,52,CC,252.857184,2.404589458177539
CCH294-1A,82,CC,373.797124,2.5737962496764606
CCH295-1A,85,CC,469.93389,2.672959944871246
CCH306-2A,87,CC,432.276097,2.636764730512926
CCH323-3A,93,CC,394.93066,2.597619133864459
CCH324-4A,87,CC,405.537312,2.6091004113127836
CCH325-1A,78,CC,402.212993,2.6055345182224063
CCH326A,83,CC,475.151255,2.6777449333450374
CCH328A,133,CC,490.48317000000003,2.6915086507515236
CCH340-2A,71,CC,381.018868,2.5820848133460617
CCH346-1A,80,CC,373.285724,2.5732032625772536
CCH57A,131,CC,467.161054,2.6703952822004045
CCH74-3A,69,CC,315.26820299999997,2.500055530974224
