ARGs,Metric,Value
tet(Q),Log10_Abundance,4.9155280965440085
tet(Q),Occurrence_Frequency,1045
tet(W),Log10_Abundance,4.772640182184961
tet(W),Occurrence_Frequency,1021
lnuC,Log10_Abundance,4.532890476432533
lnuC,Occurrence_Frequency,948
tet(O),Log10_Abundance,4.47146447571621
tet(O),Occurrence_Frequency,1040
APH(3')-IIIa,Log10_Abundance,4.302310830300432
APH(3')-IIIa,Occurrence_Frequency,919
tet(45),Log10_Abundance,4.16682358089788
tet(45),Occurrence_Frequency,1020
tet(M),Log10_Abundance,4.005708479275989
tet(M),Occurrence_Frequency,1010
fexA,Log10_Abundance,3.9758980790899034
fexA,Occurrence_Frequency,969
Mef(En2),Log10_Abundance,3.83021557235711
Mef(En2),Occurrence_Frequency,761
SAT-4,Log10_Abundance,3.803492284156369
SAT-4,Occurrence_Frequency,860
tet(O/W/32/O),Log10_Abundance,3.78595394083841
tet(O/W/32/O),Occurrence_Frequency,778
tet(32),Log10_Abundance,3.781193781705354
tet(32),Occurrence_Frequency,919
tet(44),Log10_Abundance,3.773056727512827
tet(44),Occurrence_Frequency,897
tetB(P),Log10_Abundance,3.7687519254938358
tetB(P),Occurrence_Frequency,898
ErmB,Log10_Abundance,3.756022270884334
ErmB,Occurrence_Frequency,897
tet(W/N/W),Log10_Abundance,3.687285492952192
tet(W/N/W),Occurrence_Frequency,908
vanYB,Log10_Abundance,3.605232333877707
vanYB,Occurrence_Frequency,802
ErmF,Log10_Abundance,3.585004797138207
ErmF,Occurrence_Frequency,767
poxtA,Log10_Abundance,3.5839704115077233
poxtA,Occurrence_Frequency,870
FosXCC,Log10_Abundance,3.570880084880891
FosXCC,Occurrence_Frequency,764
cfrE,Log10_Abundance,3.5385705703319985
cfrE,Occurrence_Frequency,692
tet(40),Log10_Abundance,3.5283981918552643
tet(40),Occurrence_Frequency,833
nimA,Log10_Abundance,3.4810803251294944
nimA,Occurrence_Frequency,737
vanYG,Log10_Abundance,3.454266162757215
vanYG,Occurrence_Frequency,800
EstT,Log10_Abundance,3.4459925455477087
EstT,Occurrence_Frequency,701
qacEdelta1,Log10_Abundance,3.3839634283372253
qacEdelta1,Occurrence_Frequency,498
ErmA,Log10_Abundance,3.372450411327171
ErmA,Occurrence_Frequency,758
sul2,Log10_Abundance,3.350777277308191
sul2,Occurrence_Frequency,801
lnuB,Log10_Abundance,3.325337444969999
lnuB,Occurrence_Frequency,646
tet(A),Log10_Abundance,3.3087885150678518
tet(A),Occurrence_Frequency,752
