ARG_type,Stomach,small_intestine,large_intestine,Feces
BLMT,0,0,1,1
OXA-10,1,1,1,1
bacA,1,0,1,1
OXA-58,0,0,0,1
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,0,1,1,1
ANT(2'')-Ia,1,1,1,1
CARB-3,1,1,1,1
CARB-4,0,0,0,1
DfrA37,0,1,1,1
CARB-8,0,0,0,1
CARB-9,0,0,1,0
kdpE,1,1,1,1
Morganella morganii gyrB conferring resistance to fluoroquinolones,0,0,1,1
lsaE,0,1,1,1
Erm(49),0,0,1,1
CDD-2,0,0,1,0
OXA-140,0,0,1,1
aadA11,1,1,1,1
OXA-184,0,0,1,1
aadA15,1,0,1,1
aadA16,1,1,1,1
OmpA,0,0,1,0
aadA17,1,1,1,1
AAC(6')-Ia,0,0,1,1
catA4,0,0,1,1
AAC(6')-Ii,0,1,1,1
mefF,0,1,1,1
catA8,1,1,1,1
tet(X),1,0,1,1
mefH,1,1,1,1
tet(T),1,1,1,1
AAC(6')-Il,0,0,1,1
AAC(6')-Im,1,1,1,1
tet(D),0,0,1,0
AAC(6')-Iy,1,0,1,0
clbC,0,0,0,0
abeS,1,0,0,1
rsmA,0,0,0,1
APH(4)-Ia,1,0,1,1
qacG,0,1,1,1
qacJ,0,1,1,1
qacL,1,0,1,1
qacEdelta1,1,1,1,1
QnrB6,0,0,1,1
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,1,1,1,1
APH(3'')-Ib,1,1,1,1
NDM-5,0,0,0,1
lnuA,1,1,1,1
lnuB,1,1,1,1
lnuC,1,1,1,1
lnuD,0,0,0,1
lnuE,0,1,1,0
lnuF,1,1,1,1
lnuG,1,1,1,1
ACT-77,0,0,1,0
vanXA,0,0,0,1
vanXB,0,0,1,1
vanTC,1,1,1,1
vanXF,0,0,1,1
ErmA,1,1,1,1
vanHB,0,0,1,0
ErmB,1,1,1,1
vanTG,0,1,1,1
ErmC,1,1,1,1
