SampleID,V1,V2,V3,breed,application,shape_id
CCH108A,0.0037450079216382356,-0.090588062,-0.024387066,LAD,dual_type,LAD-NanChang
CCH111-1A,0.01694952063723002,-0.06882873,-0.093019478,LAD,dual_type,LAD-NanChang
CCH112-2A,-0.041936257,-0.076509248,-0.018875852,LAD,dual_type,LAD-NanChang
CCH119-1A,0.05870761073330027,-0.06830663,-0.029626155,LAD,dual_type,LAD-NanChang
CCH127-1A,-0.015028973,-0.091713178,-0.104446026,LAD,dual_type,LAD-NanChang
CCH150-1B,-0.108491024,-0.103753298,-0.031565354,LAD,dual_type,LAD-NanChang
CCH151-2A,-0.050328347,-0.142385827,-0.154249166,LAD,dual_type,LAD-NanChang
CCH156-3B,-0.018263755,-0.11239943,-0.077134527,LAD,dual_type,LAD-NanChang
CCH157-2B,-0.117804265,-0.103020062,-0.023057638,LAD,dual_type,LAD-NanChang
CCH162-1A,-0.272851905,0.20788510630397644,0.18362060863316781,LAD,dual_type,LAD-NanChang
CCH180-3A,-0.026345669,-0.031402361,-0.003461437,LAD,dual_type,LAD-NanChang
CCH186-1A,-0.080948194,-0.069254029,-0.095075484,LAD,dual_type,LAD-NanChang
CCH209A,-0.08868896,-0.113806885,-0.140940358,LAD,dual_type,LAD-NanChang
CCH210A,-0.021410124,-0.068212338,-0.007258598,LAD,dual_type,LAD-NanChang
CCH212A,7.13687246252703e-4,-0.030325759,-0.00763227,LAD,dual_type,LAD-NanChang
CCH221-1A,-0.009994284,-0.089630332,-0.06758138,LAD,dual_type,LAD-NanChang
CCH227-3A,-0.060992976,-0.034790477,0.04226616493120768,LAD,dual_type,LAD-NanChang
CCH247A,-0.029991824,-0.071680573,-0.075372358,LAD,dual_type,LAD-NanChang
CCH250-2A,1.728093546188691e-4,-0.050335625,-0.027271426,LAD,dual_type,LAD-NanChang
CCH251-1A,-0.042461305,0.04981039477745094,0.07056553313178254,LAD,dual_type,LAD-NanChang
CCH258A,-0.126941575,-0.045790149,0.03242917538962615,LAD,dual_type,LAD-NanChang
CCH259-3A,-0.060940102,-0.006905133,0.0460084209505637,LAD,dual_type,LAD-NanChang
CCH263-2A,-0.054329215,-0.092502115,-0.038101671,LAD,dual_type,LAD-NanChang
CCH277-1A,-0.005959732,-0.095931724,-0.024925679,LAD,dual_type,LAD-NanChang
CCH287A,0.14076359719383394,0.09375146121005454,0.06850774826285055,LAD,dual_type,LAD-NanChang
CCH294-1A,-0.021818984,0.0040907210505593955,0.09182048603134237,LAD,dual_type,LAD-NanChang
CCH295-1A,-0.14577974,0.12288716476276997,0.14575521821211296,LAD,dual_type,LAD-NanChang
CCH306-2A,-0.044145129,-0.063303825,-0.014296946,LAD,dual_type,LAD-NanChang
CCH323-3A,-0.008887069,-0.054934188,-0.019978494,LAD,dual_type,LAD-NanChang
CCH324-4A,-0.029607189,-0.057149045,-0.014088964,LAD,dual_type,LAD-NanChang
CCH325-1A,0.010597574160142878,-0.104947016,-0.087167574,LAD,dual_type,LAD-NanChang
CCH326A,-0.069719941,-0.095636291,-0.073331626,LAD,dual_type,LAD-NanChang
CCH328A,-0.102986439,-0.081214047,-0.043018664,LAD,dual_type,LAD-NanChang
CCH340-2A,0.009168020157854125,-0.093508316,-0.058037074,LAD,dual_type,LAD-NanChang
CCH346-1A,0.02049687828915477,-0.080207481,-0.014342323,LAD,dual_type,LAD-NanChang
CCH57A,-0.045219375,-0.091223203,-0.086206856,LAD,dual_type,LAD-NanChang
CCH74-3A,0.0844961592063232,-0.057165234,-0.029954851,LAD,dual_type,LAD-NanChang
CCH93-1A,0.019339943974971015,-0.09997855,-0.095857288,LAD,dual_type,LAD-NanChang
CCH95-1A,-0.004251458,-0.061679514,-0.101329017,LAD,dual_type,LAD-NanChang
CCS15B,0.08978370936199405,0.03353184928912244,0.10335862108432035,SXD,egg_type,SXD-ZhuJi
CCS16B,0.1477163169229268,0.15594666647353633,0.08932647692921426,SXD,egg_type,SXD-ZhuJi
CCS17A,0.16103597594831187,-0.031975798,0.016236418170665047,SXD,egg_type,SXD-ZhuJi
CCS18A,0.16926044429803563,0.03215444833642007,-0.011579287,SXD,egg_type,SXD-ZhuJi
CCS19A,0.018407312739581242,-0.060094323,0.043683971531340425,SXD,egg_type,SXD-ZhuJi
CCS20A,0.02171856879921763,0.07153135565083756,0.15784316046729258,SXD,egg_type,SXD-ZhuJi
CCS24A,0.10063765510658838,-0.025955497,0.03107479076860168,SXD,egg_type,SXD-ZhuJi
CCS25B,-0.014585557,0.12754230343761216,0.1694835679015491,SXD,egg_type,SXD-ZhuJi
CCS26A,0.23910036638457782,0.01686501321037152,-0.02426853,SXD,egg_type,SXD-ZhuJi
CCS27A,0.2603481781627552,0.11196986619073089,0.008717799164998248,SXD,egg_type,SXD-ZhuJi
CCS28B,0.1256709676829084,-0.056317902,0.003092610690296616,SXD,egg_type,SXD-ZhuJi
CCS29B,0.05247201218419591,0.023946791997130283,0.13372306973442066,SXD,egg_type,SXD-ZhuJi
CCS30A,0.14718675611624918,-0.073889652,-0.037095993,SXD,egg_type,SXD-ZhuJi
CCS34A,0.07487065839744612,-0.13548605,-0.100281946,SXD,egg_type,SXD-ZhuJi
CCY10A,-0.256325142,0.04982668996278873,0.060232239279612874,CVD,meat_type,CVD-XinYang
CCY11A,-0.200539773,-0.0240767,-0.034947087,CVD,meat_type,CVD-XinYang
CCY13A,-0.216983584,0.1623759744895417,0.1453311453085622,CVD,meat_type,CVD-XinYang
CCY17A,-0.165210834,0.006219776991693066,0.03707379637587643,CVD,meat_type,CVD-XinYang
CCY20A,-0.263870954,0.054102985713711915,0.1111657935880282,CVD,meat_type,CVD-XinYang
CCY23A,-0.288136584,0.0443291966483468,0.1126191014124448,CVD,meat_type,CVD-XinYang
CCY24A,-0.171371287,0.04819053575440098,0.11605504650939041,CVD,meat_type,CVD-XinYang
CCY25B,-0.220603696,-0.042892727,-0.028270973,CVD,meat_type,CVD-XinYang
