Sample,V1,V2,Application,Breed_city
BKDN170793833-1A,0.289924318,-0.024947314,egg_type,YXP-ShiShi
BKDN170793835-1A,-0.148904198,-0.220412468,egg_type,YXP-ShiShi
BKDN170793836-1A,-0.165266481,-0.161018484,egg_type,YXP-ShiShi
BKDN170793837-1A,-0.300922908,-0.109858999,egg_type,YXP-ShiShi
BKDN170793838-1A,0.037661868,-0.146746923,egg_type,YXP-ShiShi
BKDN170793839-1A,-0.224225886,-0.18683018,egg_type,YXP-ShiShi
BKDN170793840-1A,-0.282928713,-0.208391479,egg_type,YXP-ShiShi
BKDN170793891-1A,-0.315574715,-0.181699973,egg_type,MWD-ShiShi
BKDN170793892-1A,0.29361693,-0.033720082,egg_type,MWD-ShiShi
BKDN170793893-1A,-0.269873695,-0.149804863,egg_type,MWD-ShiShi
BKDN170793894-1A,-0.336672874,-0.12011668,egg_type,MWD-ShiShi
BKDN170793895-1A,0.108179458,-0.15357817,egg_type,MWD-ShiShi
BKDN170793896-1A,-0.332101986,-0.166598113,egg_type,MWD-ShiShi
BKDN170793898-1A,-0.093437279,-0.111749508,egg_type,MWD-ShiShi
BKDN170793899-1A,-0.34368,0.091179739,egg_type,MWD-ShiShi
BKDN170793901-1A,-0.346788541,0.196575207,dual_type,JRD-ShiShi
BKDN170793902-1A,-0.225547319,0.292384237,dual_type,JRD-ShiShi
BKDN170793903-1A,-0.327732384,0.028253935,dual_type,JRD-ShiShi
BKDN170793904-1A,-0.314366107,-0.183675154,dual_type,JRD-ShiShi
BKDN170793906-1A,0.189235447,-0.082496292,dual_type,JRD-ShiShi
BKDN170793907-1A,-0.135265575,-0.153625421,dual_type,JRD-ShiShi
BKDN170793908-1A,-0.305420462,-0.221220319,dual_type,JRD-ShiShi
BKDN170793909-1A,-0.292591432,-0.236493114,dual_type,JRD-ShiShi
BKDN170793993-1A,-0.320053924,-0.134681588,dual_type,JRD-ShiShi
BKDN170793994-1A,-0.32276472,-0.233669829,egg_type,YXP-ShiShi
BKDN170793995-1A,-0.310763704,-0.231140739,egg_type,YXP-ShiShi
BKDN170793998-1A,0.319745115,0.125220363,egg_type,SXD-ShiShi
BKDN170794001-1A,0.46612482,0.019496781,egg_type,SXD-ShiShi
BKDN170794002-1A,0.397303214,0.036749688,egg_type,SXD-ShiShi
BKDN170794054-1A,-0.227437717,-0.142132402,egg_type,MWD-ShiShi
BKDN170794056-1A,0.477298778,0.037708114,egg_type,MWD-ShiShi
BKDN170794057-1A,-0.054856615,-0.111859068,egg_type,MWD-ShiShi
BKDN170794058-1A,-0.254325173,-0.128028173,egg_type,MWD-ShiShi
BKDN170794064-1A,-0.249021976,-0.146986862,dual_type,JRD-ShiShi
BKDN170794065-1A,-0.103707463,-0.120696939,dual_type,JRD-ShiShi
BKDN170794066-1A,-0.134349576,-0.051463512,dual_type,JRD-ShiShi
BKDN170794067-1A,-0.317184925,-0.20789697,dual_type,JRD-ShiShi
BKDN170794068-1A,0.497408154,-0.021091731,dual_type,JRD-ShiShi
BKDN170794148-1A,-0.313227182,-0.218060526,dual_type,JRD-ShiShi
BKDN170794149-1A,0.06305006,-0.223244728,dual_type,JRD-ShiShi
BKDN170794152-1A,-0.267352062,0.170738542,egg_type,PTB-ShiShi
BKDN170794156-1A,0.138779901,0.193682088,egg_type,PTB-ShiShi
BKDN170794158-1A,-0.21553807,-0.011494642,egg_type,SXD-ShiShi
BKDN170794159-1A,0.342935306,0.065528361,egg_type,SXD-ShiShi
BKDN170794160-1A,0.354773128,0.049164662,egg_type,SXD-ShiShi
BKDN170794161-1A,0.4584771,0.100708809,egg_type,SXD-ShiShi
BKDN170794163-1A,0.140647494,0.14819047,egg_type,SXD-ShiShi
BKDN170794164-1A,0.428461985,0.011955901,egg_type,SXD-ShiShi
BKDN170794165-1A,0.419021214,0.109191431,egg_type,SXD-ShiShi
BKDN170794228-1A,0.389625591,0.002196226,dual_type,LCW-ShiShi
BKDN170794322-1A,-0.13940471,0.340216298,egg_type,PTB-ShiShi
BKDN170794326-1A,-0.283225102,-0.227470913,egg_type,TWD-ShiShi
BKDN170794327-1A,-0.139498802,-0.086494477,egg_type,TWD-ShiShi
BKDN170794329-1A,-0.235364681,-0.185334049,egg_type,TWD-ShiShi
BKDN170794330-1A,0.302962554,-0.111873058,egg_type,TWD-ShiShi
BKDN170794331-1A,0.364978628,0.007226187,egg_type,TWD-ShiShi
BKDN170794385-1A,0.348377479,0.087254126,dual_type,LCW-ShiShi
BKDN170794387-1A,0.422566184,-0.045343363,dual_type,LCW-ShiShi
BKDN170794392-1A,-0.236766157,-0.084392445,dual_type,LCW-ShiShi
BKDN170794393-1A,0.423047004,0.099234282,dual_type,LCW-ShiShi
BKDN170794394-1A,0.215216389,0.026772499,dual_type,LCW-ShiShi
BKDN170794480-1A,0.4626526,0.064432958,egg_type,PTB-ShiShi
BKDN170794548-1A,0.402074444,0.05863642,dual_type,LCW-ShiShi
BKDN170794551-1A,0.46736631,0.050331536,dual_type,LCW-ShiShi
BKDN170794553-1A,0.181501098,0.067948582,dual_type,LCW-ShiShi
BKDN170794554-1A,-0.097632918,-0.148780372,dual_type,LCW-ShiShi
BKDN170794805-1A,0.252283603,-0.224084085,egg_type,JYP-ShiShi
BKDN170794806-1A,0.244307713,-0.247595664,egg_type,JYP-ShiShi
BKDN170794809-1A,0.146700597,-0.208254666,egg_type,JYP-ShiShi
BKDN170794811-1A,0.102139917,-0.22905136,egg_type,JYP-ShiShi
BKDN170794972-1A,0.04414733,-0.296388938,egg_type,JYP-ShiShi
BKDN170795140-1A,0.364612171,-0.063271749,egg_type,JYP-ShiShi
BKDN170795141-1A,0.154730767,-0.23567113,egg_type,JYP-ShiShi
BKDN170795142-1A,0.030870722,-0.313148663,egg_type,JYP-ShiShi
BKDN170795145-1A,0.43732649,0.060871536,dual_type,CHP-ShiShi
BKDN170795146-1A,-0.0859308,-0.127840997,dual_type,CHP-ShiShi
BKDN170795147-1A,0.431016999,7.89E-04,dual_type,CHP-ShiShi
BKDN170795149-1A,0.025198155,-0.244087658,dual_type,CHP-ShiShi
BKDN170795572-1A,0.345027294,-0.036437957,dual_type,ZSP-ShiShi
BKDN170795573-1A,0.105331155,0.098165947,dual_type,ZSP-ShiShi
BKDN170795574-1A,0.41510887,0.056038677,dual_type,ZSP-ShiShi
BKDN170795575-1A,-0.326393888,0.1210727,dual_type,ZSP-ShiShi
BKDN170795576-1A,-0.333867668,0.12947077,dual_type,ZSP-ShiShi
BKDN170795577-1A,-0.276564013,0.114670314,dual_type,ZSP-ShiShi
BKDN170795578-1A,0.005088585,0.146339321,dual_type,ZSP-ShiShi
BKDN170795737-1A,-0.301962488,0.216876903,dual_type,ZSP-ShiShi
BKDN170795738-1A,-0.323911121,0.045522339,dual_type,ZSP-ShiShi
BKDN170795739-1A,-0.310881834,0.159733446,dual_type,ZSP-ShiShi
BKDN170795740-1A,-0.335853436,-0.013883235,dual_type,ZSP-ShiShi
BKDN170795742-1A,-0.270098977,-0.061686374,dual_type,ZSP-ShiShi
BKDN170795743-1A,0.006955145,0.28066762,dual_type,ZSP-ShiShi
BKDN170795744-1A,-0.083058659,0.110238254,dual_type,ZSP-ShiShi
BKDN170795745-1A,-0.341949215,-0.075184159,dual_type,ZSP-ShiShi
BKDN170795836-1A,0.149000384,-0.279968203,dual_type,CHP-ShiShi
BKDN170795837-1A,0.369329358,0.029646627,dual_type,CHP-ShiShi
BKDN170795838-1A,0.204668643,-0.267737002,dual_type,CHP-ShiShi
BKDN170795907-1A,-0.246343802,0.219518459,dual_type,LSD-ShiShi
BKDN170795910-1A,0.482596139,0.037944686,dual_type,LSD-ShiShi
BKDN170795911-1A,-0.305462069,0.046657101,dual_type,LSD-ShiShi
BKDN170795912-1A,-0.264130438,0.251704576,dual_type,LSD-ShiShi
BKDN170795916-1A,-0.116461072,0.101355548,dual_type,LSD-ShiShi
BKDN170795999-1A,-0.069684965,-0.099622133,dual_type,CHP-ShiShi
BKDN170796000-1A,0.251225515,-0.21363618,dual_type,CHP-ShiShi
BKDN170796004-1A,-0.042860923,-0.109431047,dual_type,CHP-ShiShi
BKDN170796006-1A,0.018652873,-0.286117023,dual_type,CHP-ShiShi
BKDN170796077-1A,0.42478026,0.023534147,dual_type,LSD-ShiShi
BKDN170796080-1A,0.027384235,0.056344786,dual_type,LSD-ShiShi
BKDN170796085-1A,-0.247474526,0.260623213,egg_type,SPD-ShiShi
BKDN170796086-1A,-0.126279461,0.342114964,egg_type,SPD-ShiShi
BKDN170796173-1A,0.257692857,-0.252005522,dual_type,CHP-ShiShi
BKDN170796245-1A,-0.173089267,0.144271141,egg_type,SPD-ShiShi
BKDN170796247-1A,-0.299132145,0.217566325,egg_type,SPD-ShiShi
BKDN170796249-1A,-0.127378846,0.256454256,egg_type,SPD-ShiShi
BKDN170796250-1A,-0.155102364,0.373349666,egg_type,SPD-ShiShi
BKDN170796251-1A,-0.186640984,0.385792309,egg_type,SPD-ShiShi
BKDN170796252-1A,0.309001199,0.303806558,egg_type,SPD-ShiShi
BKDN170796253-1A,-0.240173008,0.065213964,egg_type,SPD-ShiShi
BKDN170796254-1A,0.064051891,0.303444685,egg_type,SPD-ShiShi
BKDN170796413-1A,0.376124939,-0.028638891,egg_type,MWD-ShiShi
BKDN170796417-1A,-0.230321739,0.371059994,egg_type,SPD-ShiShi
BKDN170796418-1A,-0.189231289,0.372972935,egg_type,SPD-ShiShi
BKDN170796419-1A,0.280010796,0.336673662,egg_type,SPD-ShiShi
BKDN170796420-1A,-0.228696701,0.215581319,egg_type,SPD-ShiShi
BKDN170796421-1A,-0.1587558,0.2252574,egg_type,SPD-ShiShi
BKDN170796422-1A,-0.191219602,0.390782764,egg_type,SPD-ShiShi
BKDN170796424-1A,-0.155690042,0.285756796,egg_type,SPD-ShiShi
