Sample2,Sample1,Distance,Group1,Group2,GroupType
CCH108A,SHCC82A,0.328739932,SRD,LAD,between_breed
CCH108A,SHCC114A,0.194375485,SRD,LAD,between_breed
CCH108A,SRR29449917,0.323030824,MAL,LAD,between_breed
CCH108A,SRR29449916,0.330770198,MAL,LAD,between_breed
CCH108A,SHCC234B,0.206405548,SRD,LAD,between_breed
CCH108A,CCH127-1A,0.165714443,LAD,LAD,within_breed
CCH108A,SHCC32A,0.211560756,SRD,LAD,between_breed
CCH108A,SRR29536164,0.526287629,MSD,LAD,between_breed
CCH108A,SRR29536165,0.536226548,MSD,LAD,between_breed
CCH108A,SHCC250A,0.200844974,SRD,LAD,between_breed
CCH108A,SHCC140A,0.251691861,SRD,LAD,between_breed
CCH108A,SHCC220A,0.430515079,SRD,LAD,between_breed
CCH108A,SHCC147A,0.215268702,SRD,LAD,between_breed
CCH108A,SHCC58A,0.189235231,SRD,LAD,between_breed
CCH108A,SHCC288A,0.245089353,SRD,LAD,between_breed
CCH108A,SHCC148A,0.21073345,SRD,LAD,between_breed
CCH108A,SHCC151A,0.21353993,SRD,LAD,between_breed
CCH108A,SHCC229A,0.194609076,SRD,LAD,between_breed
CCH108A,SRR29536177,0.562113471,PKD,LAD,between_breed
CCH108A,SHCC297B,0.204714665,SRD,LAD,between_breed
CCH108A,SHCC222A,0.208171454,SRD,LAD,between_breed
CCH108A,CCY23A,0.407453018,CVD,LAD,between_breed
CCH108A,SRR29536186,0.309046916,MAL,LAD,between_breed
CCH108A,SHCC153A,0.282603184,SRD,LAD,between_breed
CCH108A,SRR28497700,0.394555014,MSD,LAD,between_breed
CCH108A,SHCC118A,0.859054629,SRD,LAD,between_breed
CCH108A,CCH287A,0.278220836,LAD,LAD,within_breed
CCH108A,CCY49A,0.574265182,CVD,LAD,between_breed
CCH108A,SHCC160B,0.363104612,SRD,LAD,between_breed
CCH108A,SHCC261A,0.211498359,SRD,LAD,between_breed
CCH108A,SHCC119A,0.238979954,SRD,LAD,between_breed
CCH108A,SHCC216A,0.197881251,SRD,LAD,between_breed
CCH108A,SHCC6A,0.25705567,SRD,LAD,between_breed
CCH108A,SHCC267A,0.299634122,SRD,LAD,between_breed
CCH108A,SHCC270A,0.19199881,SRD,LAD,between_breed
CCH108A,SHCC168A,0.194941825,SRD,LAD,between_breed
CCH108A,SRR29449362,0.330869898,PKD,LAD,between_breed
CCH108A,SRR29449363,0.292375187,PKD,LAD,between_breed
CCH108A,SHCC204B,0.203237437,SRD,LAD,between_breed
CCH108A,SHCC41A,0.178474296,SRD,LAD,between_breed
CCH108A,SHCC174A,0.271480599,SRD,LAD,between_breed
