Sample2,Sample1,Distance,Group1,Group2,GroupType
BKDN170793833-1A,BKDN170796420-1A,0.761573728,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170796421-1A,0.596946425,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170793837-1A,0.638202038,YXP,YXP,within_breed
BKDN170793833-1A,BKDN170796422-1A,0.740744148,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170794394-1A,0.358924984,LCW,YXP,between_breed
BKDN170793833-1A,BKDN170795578-1A,0.583113801,ZSP,YXP,between_breed
BKDN170793833-1A,BKDN170794480-1A,0.250928006,PTB,YXP,between_breed
BKDN170793833-1A,BKDN170794551-1A,0.272218699,LCW,YXP,between_breed
BKDN170793833-1A,BKDN170793895-1A,0.311903687,MWD,YXP,between_breed
BKDN170793833-1A,BKDN170796085-1A,0.673526866,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170793899-1A,0.728636036,MWD,YXP,between_breed
BKDN170793833-1A,BKDN170795745-1A,0.707095024,ZSP,YXP,between_breed
BKDN170793833-1A,BKDN170795577-1A,0.65358191,ZSP,YXP,between_breed
BKDN170793833-1A,BKDN170795836-1A,0.516829391,CHP,YXP,between_breed
BKDN170793833-1A,BKDN170794811-1A,0.426853304,JYP,YXP,between_breed
BKDN170793833-1A,BKDN170794002-1A,0.280889385,SXD,YXP,between_breed
BKDN170793833-1A,BKDN170793906-1A,0.310760276,JRD,YXP,between_breed
BKDN170793833-1A,BKDN170794152-1A,0.647756545,PTB,YXP,between_breed
BKDN170793833-1A,BKDN170796419-1A,0.413472331,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170794548-1A,0.232188129,LCW,YXP,between_breed
BKDN170793833-1A,BKDN170795739-1A,0.674172089,ZSP,YXP,between_breed
BKDN170793833-1A,BKDN170796253-1A,0.59671582,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170794066-1A,0.511693548,JRD,YXP,between_breed
BKDN170793833-1A,BKDN170793998-1A,0.40238218,SXD,YXP,between_breed
BKDN170793833-1A,BKDN170796249-1A,0.588565569,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170796250-1A,0.683436227,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170796251-1A,0.726749721,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170795738-1A,0.667432398,ZSP,YXP,between_breed
BKDN170793833-1A,BKDN170796417-1A,0.747330056,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170793904-1A,0.654853855,JRD,YXP,between_breed
BKDN170793833-1A,BKDN170793891-1A,0.658387455,MWD,YXP,between_breed
BKDN170793833-1A,BKDN170795911-1A,0.64028792,LSD,YXP,between_breed
BKDN170793833-1A,BKDN170796418-1A,0.730020537,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170795742-1A,0.593039989,ZSP,YXP,between_breed
BKDN170793833-1A,BKDN170794161-1A,0.336907162,SXD,YXP,between_breed
BKDN170793833-1A,BKDN170793994-1A,0.692377957,YXP,YXP,within_breed
BKDN170793833-1A,BKDN170794067-1A,0.670163912,JRD,YXP,between_breed
BKDN170793833-1A,BKDN170795743-1A,0.505981649,ZSP,YXP,between_breed
BKDN170793833-1A,BKDN170794805-1A,0.47526439,JYP,YXP,between_breed
BKDN170793833-1A,BKDN170794054-1A,0.643301047,MWD,YXP,between_breed
BKDN170793833-1A,BKDN170795838-1A,0.525711136,CHP,YXP,between_breed
BKDN170793833-1A,BKDN170795147-1A,0.297499747,CHP,YXP,between_breed
BKDN170793833-1A,BKDN170794159-1A,0.355503747,SXD,YXP,between_breed
BKDN170793833-1A,BKDN170793840-1A,0.714694402,YXP,YXP,within_breed
BKDN170793833-1A,BKDN170796424-1A,0.601662684,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170795916-1A,0.608856639,LSD,YXP,between_breed
BKDN170793833-1A,BKDN170793892-1A,0.141950153,MWD,YXP,between_breed
BKDN170793833-1A,BKDN170796004-1A,0.62329417,CHP,YXP,between_breed
BKDN170793833-1A,BKDN170795146-1A,0.476754258,CHP,YXP,between_breed
BKDN170793833-1A,BKDN170793835-1A,0.55265369,YXP,YXP,within_breed
BKDN170793833-1A,BKDN170794327-1A,0.534201896,TWD,YXP,between_breed
BKDN170793833-1A,BKDN170793898-1A,0.448852265,MWD,YXP,between_breed
BKDN170793833-1A,BKDN170795572-1A,0.274971103,ZSP,YXP,between_breed
BKDN170793833-1A,BKDN170794326-1A,0.663046429,TWD,YXP,between_breed
BKDN170793833-1A,BKDN170796245-1A,0.652137407,SPD,YXP,between_breed
BKDN170793833-1A,BKDN170795574-1A,0.296130897,ZSP,YXP,between_breed
BKDN170793833-1A,BKDN170794160-1A,0.35213052,SXD,YXP,between_breed
BKDN170793833-1A,BKDN170794387-1A,0.219262832,LCW,YXP,between_breed
