Sample,Breed,Application,Total_Abundance
CCH108A,LAD,dual_type,446.110485
CCH111-1A,LAD,dual_type,442.225288
CCH112-2A,LAD,dual_type,493.570895
CCH119-1A,LAD,dual_type,382.23478
CCH127-1A,LAD,dual_type,475.56937800000003
CCH150-1B,LAD,dual_type,597.337395
CCH151-2A,LAD,dual_type,534.576847
CCH156-3B,LAD,dual_type,465.443291
CCH157-2B,LAD,dual_type,600.084215
CCH162-1A,LAD,dual_type,798.01312
CCH180-3A,LAD,dual_type,467.06690100000003
CCH186-1A,LAD,dual_type,566.4853410000001
CCH209A,LAD,dual_type,591.972988
CCH210A,LAD,dual_type,473.431866
CCH212A,LAD,dual_type,467.557523
CCH221-1A,LAD,dual_type,445.653216
CCH227-3A,LAD,dual_type,510.635321
CCH247A,LAD,dual_type,492.02696899999995
CCH250-2A,LAD,dual_type,442.095217
CCH251-1A,LAD,dual_type,467.891285
CCH258A,LAD,dual_type,594.633207
CCH259-3A,LAD,dual_type,553.969268
CCH263-2A,LAD,dual_type,517.506209
CCH277-1A,LAD,dual_type,470.97734299999996
CCH287A,LAD,dual_type,288.094339
CCH294-1A,LAD,dual_type,470.69527
CCH295-1A,LAD,dual_type,602.891634
CCH306-2A,LAD,dual_type,524.084154
CCH323-3A,LAD,dual_type,461.365306
CCH324-4A,LAD,dual_type,477.552504
CCH325-1A,LAD,dual_type,471.240708
CCH326A,LAD,dual_type,539.256357
CCH328A,LAD,dual_type,571.743813
CCH340-2A,LAD,dual_type,450.89524
CCH346-1A,LAD,dual_type,462.481982
CCH57A,LAD,dual_type,533.1610919999999
CCH74-3A,LAD,dual_type,367.3532
CCH93-1A,LAD,dual_type,436.486015
CCH95-1A,LAD,dual_type,457.116216
CCS15B,SXD,egg_type,435.174611
CCS16B,SXD,egg_type,286.605816
CCS17A,SXD,egg_type,351.927073
CCS18A,SXD,egg_type,334.687365
CCS19A,SXD,egg_type,484.361588
CCS20A,SXD,egg_type,489.629091
CCS24A,SXD,egg_type,380.032847
CCS25B,SXD,egg_type,534.20507
CCS26A,SXD,egg_type,235.270709
CCS27A,SXD,egg_type,241.60623
CCS28B,SXD,egg_type,374.8057
CCS29B,SXD,egg_type,428.767173
CCS30A,SXD,egg_type,366.43278300000003
CCS34A,SXD,egg_type,419.86449899999997
CCY10A,CVD,meat_type,777.941788
CCY11A,CVD,meat_type,661.732611
CCY13A,CVD,meat_type,612.581558
CCY17A,CVD,meat_type,629.38186
CCY20A,CVD,meat_type,807.786284
CCY23A,CVD,meat_type,898.938202
CCY24A,CVD,meat_type,644.010635
CCY25B,CVD,meat_type,762.207068
CCY26A,CVD,meat_type,893.081749
CCY27A,CVD,meat_type,617.991577
CCY28A,CVD,meat_type,578.950104
CCY30A,CVD,meat_type,613.906822
CCY33B,CVD,meat_type,627.338515
CCY34B,CVD,meat_type,735.56477
CCY35B,CVD,meat_type,753.156056
CCY36B,CVD,meat_type,727.840826
CCY37A,CVD,meat_type,599.57799
CCY39A,CVD,meat_type,821.447492
CCY41B,CVD,meat_type,612.391528
CCY42A,CVD,meat_type,938.873481
CCY43A,CVD,meat_type,667.15655
CCY44A,CVD,meat_type,565.572556
CCY46B,CVD,meat_type,562.8658350000001
CCY47A,CVD,meat_type,865.882461
CCY48A,CVD,meat_type,735.482009
CCY49A,CVD,meat_type,940.198906
CCY50A,CVD,meat_type,839.5056979999999
CCY6A,CVD,meat_type,697.6492089999999
CCY8A,CVD,meat_type,822.703061
CCY9B,CVD,meat_type,695.337169
SHCC100A,SRD,dual_type,355.772719
SHCC101A,SRD,dual_type,372.281957
SHCC102A,SRD,dual_type,458.006573
SHCC103A,SRD,dual_type,429.605958
SHCC104A,SRD,dual_type,413.012526
SHCC105A,SRD,dual_type,507.504935
SHCC106A,SRD,dual_type,533.639775
SHCC107A,SRD,dual_type,286.128207
SHCC108A,SRD,dual_type,431.723055
