Sample,total_abundance,Breed
BKDN170793833-1A,441.901441,YXP
BKDN170793835-1A,658.820015,YXP
BKDN170793836-1A,1046.293932,YXP
BKDN170793837-1A,704.1987839999999,YXP
BKDN170793838-1A,695.521369,YXP
BKDN170793839-1A,623.870757,YXP
BKDN170793840-1A,1048.07208,YXP
BKDN170793891-1A,613.069582,MWD
BKDN170793892-1A,383.87041,MWD
BKDN170793893-1A,809.053478,MWD
BKDN170793894-1A,730.413938,MWD
BKDN170793895-1A,528.56959,MWD
BKDN170793896-1A,684.130114,MWD
BKDN170793898-1A,455.285118,MWD
BKDN170793899-1A,762.816721,MWD
BKDN170793901-1A,782.468445,JRD
BKDN170793902-1A,540.697454,JRD
BKDN170793903-1A,663.850855,JRD
BKDN170793904-1A,496.273193,JRD
BKDN170793906-1A,651.939262,JRD
BKDN170793907-1A,613.347037,JRD
BKDN170793908-1A,652.978518,JRD
BKDN170793909-1A,557.803883,JRD
BKDN170793993-1A,801.222945,JRD
BKDN170793994-1A,695.4538670000001,YXP
BKDN170793995-1A,676.181092,YXP
BKDN170793998-1A,417.124082,SXD
BKDN170794001-1A,439.782379,SXD
BKDN170794002-1A,462.78677,SXD
BKDN170794054-1A,813.171448,MWD
BKDN170794056-1A,356.438875,MWD
BKDN170794057-1A,468.443445,MWD
BKDN170794058-1A,647.787508,MWD
BKDN170794064-1A,457.124012,JRD
BKDN170794065-1A,496.55994,JRD
BKDN170794066-1A,621.770968,JRD
BKDN170794067-1A,644.241436,JRD
BKDN170794068-1A,458.337286,JRD
BKDN170794148-1A,704.466853,JRD
BKDN170794149-1A,558.341294,JRD
BKDN170794152-1A,587.675777,PTB
BKDN170794156-1A,137.139456,PTB
BKDN170794158-1A,612.086754,SXD
BKDN170794159-1A,376.594836,SXD
BKDN170794160-1A,490.295779,SXD
BKDN170794161-1A,407.445917,SXD
BKDN170794163-1A,355.795651,SXD
BKDN170794164-1A,407.467604,SXD
BKDN170794165-1A,415.874797,SXD
BKDN170794228-1A,477.828791,LCW
BKDN170794322-1A,528.338913,PTB
BKDN170794326-1A,594.111463,TWD
BKDN170794327-1A,657.650029,TWD
BKDN170794329-1A,380.351791,TWD
BKDN170794330-1A,556.53816,TWD
BKDN170794331-1A,410.713132,TWD
BKDN170794385-1A,403.15091,LCW
BKDN170794387-1A,438.867356,LCW
BKDN170794392-1A,556.791482,LCW
BKDN170794393-1A,392.878408,LCW
BKDN170794394-1A,232.32639700000001,LCW
BKDN170794480-1A,358.8475,PTB
BKDN170794548-1A,427.846406,LCW
BKDN170794551-1A,354.33621899999997,LCW
BKDN170794553-1A,363.9879,LCW
BKDN170794554-1A,625.473433,LCW
BKDN170794805-1A,403.908006,JYP
BKDN170794806-1A,418.107247,JYP
BKDN170794809-1A,537.080675,JYP
BKDN170794811-1A,426.048914,JYP
BKDN170794972-1A,517.277471,JYP
BKDN170795140-1A,423.017741,JYP
BKDN170795141-1A,442.254024,JYP
BKDN170795142-1A,521.553931,JYP
BKDN170795145-1A,502.129173,CHP
BKDN170795146-1A,539.65294,CHP
BKDN170795147-1A,518.379488,CHP
BKDN170795149-1A,457.486649,CHP
BKDN170795572-1A,543.45393,ZSP
BKDN170795573-1A,572.534398,ZSP
BKDN170795574-1A,393.967836,ZSP
BKDN170795575-1A,603.576506,ZSP
BKDN170795576-1A,698.725465,ZSP
BKDN170795577-1A,457.184279,ZSP
BKDN170795578-1A,389.944576,ZSP
BKDN170795737-1A,745.550653,ZSP
BKDN170795738-1A,424.708981,ZSP
BKDN170795739-1A,590.93343,ZSP
BKDN170795740-1A,634.176221,ZSP
BKDN170795742-1A,491.377265,ZSP
BKDN170795743-1A,515.335368,ZSP
BKDN170795744-1A,546.616911,ZSP
BKDN170795745-1A,709.724602,ZSP
BKDN170795836-1A,437.25566100000003,CHP
BKDN170795837-1A,405.500408,CHP
BKDN170795838-1A,411.412728,CHP
BKDN170795907-1A,424.574195,LSD
BKDN170795910-1A,414.03072199999997,LSD
BKDN170795911-1A,461.338255,LSD
BKDN170795912-1A,684.24391,LSD
BKDN170795916-1A,467.410478,LSD
BKDN170795999-1A,377.405191,CHP
BKDN170796000-1A,323.275551,CHP
BKDN170796004-1A,449.081887,CHP
BKDN170796006-1A,508.557089,CHP
BKDN170796077-1A,352.11763099999996,LSD
BKDN170796080-1A,529.056587,LSD
BKDN170796085-1A,553.805195,SPD
BKDN170796086-1A,573.563166,SPD
BKDN170796173-1A,378.213017,CHP
BKDN170796245-1A,545.78236,SPD
BKDN170796247-1A,502.990159,SPD
BKDN170796249-1A,537.217121,SPD
BKDN170796250-1A,395.325091,SPD
BKDN170796251-1A,465.402709,SPD
BKDN170796252-1A,612.277919,SPD
BKDN170796253-1A,657.383316,SPD
BKDN170796254-1A,783.808544,SPD
BKDN170796413-1A,440.779484,MWD
BKDN170796417-1A,463.937364,SPD
BKDN170796418-1A,581.060318,SPD
BKDN170796419-1A,689.6617590000001,SPD
BKDN170796420-1A,1215.7560680000001,SPD
BKDN170796421-1A,393.975953,SPD
BKDN170796422-1A,484.65777299999996,SPD
BKDN170796424-1A,448.091787,SPD
