Breed,Best_Hit_ARO,Total_Abundance
CHP,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),0
CHP,AAC(3)-IIc,0.007591083333333333
CHP,AAC(3)-IVa,0
CHP,AAC(3)-VIIa,0
CHP,AAC(6')-IIa,0.015484333333333333
CHP,AAC(6')-Ia,0
CHP,AAC(6')-Iaj,0
CHP,AAC(6')-Ib',0.012959
CHP,AAC(6')-Ib-cr3,0
CHP,AAC(6')-Ib-cr6,0.01382675
CHP,AAC(6')-Ib7,0.0032995
CHP,AAC(6')-Ib8,0
CHP,AAC(6')-Ib9,0
CHP,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,0
CHP,AAC(6')-Ii,0.8229714166666666
CHP,AAC(6')-Iid,0
CHP,AAC(6')-Il,0
CHP,AAC(6')-Im,0.03087908333333333
CHP,AAC(6')-Iy,0
CHP,ACI-1,0.0017675
CHP,ACT-56,0
CHP,ACT-77,0
CHP,ADC-43,0
CHP,ANT(2'')-Ia,0.016432166666666668
CHP,ANT(3'')-IIa,0.0335305
CHP,ANT(3'')-IIb,0.00690525
CHP,ANT(4')-Ia,0.05774833333333333
CHP,ANT(4')-Ib,0
CHP,ANT(6)-Ia,5.83686525
CHP,ANT(6)-Ib,0.6520121666666666
CHP,ANT(9)-Ia,0.0024399166666666666
CHP,ANT(9)-Ib,0
CHP,APH(2'')-IIIa,0
CHP,APH(2'')-IIa,0
CHP,APH(2'')-Ie,0
CHP,APH(2'')-If,0.14228158333333332
CHP,APH(2'')-Ig,0
CHP,APH(3'')-Ib,1.1122070833333333
CHP,APH(3')-IIIa,6.16612625
CHP,APH(3')-IIa,0
CHP,APH(3')-Ia,0.05100158333333333
CHP,APH(3')-Ib,0.0021615
CHP,APH(3')-VIIa,0
CHP,APH(3')-VIa,0
CHP,APH(4)-Ia,0
CHP,APH(6)-Ic,0
CHP,APH(6)-Id,0.060719333333333333
CHP,Acinetobacter baumannii AbaQ,0
CHP,Acinetobacter baumannii AmvA,0
CHP,AcrE,0.09001641666666667
CHP,AcrS,0.08061241666666667
CHP,ArnT,0.14052766666666666
CHP,BLMT,0.045892666666666665
CHP,BRO-2,0
CHP,BRP(MBL),0
CHP,BcI,0
CHP,BcIII,0
CHP,Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,0.0018859999999999999
CHP,CARB-3,0
CHP,CARB-4,0
CHP,CARB-8,0
CHP,CARB-9,0
CHP,CDD-2,0
