MAG	p	p.adj	p.format	p.signif	method	MAG_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	Abundance_mean	live_rate	Group
MAG8727	9.19541592913878e-07	9.2e-07	9.2e-07	****	Kruskal-Wallis	SHCC119A_bin.77	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	0.244504135	0.922558923	g__Phocaeicola
MAG19359	5.06304243902486e-06	5.1e-06	5.1e-06	****	Kruskal-Wallis	SRR28497699_bin.22	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.194895286	0.865319865	g__Phocaeicola
MAG23062	5.45252845745023e-06	5.5e-06	5.5e-06	****	Kruskal-Wallis	SRR29536188_bin.85	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.080991879	0.821548822	g__Phocaeicola
MAG4606	5.88595193345448e-06	5.9e-06	5.9e-06	****	Kruskal-Wallis	CCS30A_bin.79	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.123486754	0.888888889	g__Phocaeicola
MAG23	6.81754979523256e-06	6.8e-06	6.8e-06	****	Kruskal-Wallis	BKDN170793833_1A_bin.54	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.173189529	0.824915825	g__Phocaeicola
MAG7661	6.8676254037854e-06	6.9e-06	6.9e-06	****	Kruskal-Wallis	FM17B_bin.72	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.075817508	0.730639731	g__Phocaeicola
MAG15091	8.61608958867071e-06	8.6e-06	8.6e-06	****	Kruskal-Wallis	SHCC297B_bin.47	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.43360399	0.919191919	g__Phocaeicola
MAG14398	9.91209797317535e-06	9.9e-06	9.9e-06	****	Kruskal-Wallis	SHCC27A_bin.19	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.31269798	0.895622896	g__Phocaeicola
MAG20354	1.03432641621868e-05	1e-05	1e-05	****	Kruskal-Wallis	SRR29449364_bin.15	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	0.092803215	0.855218855	g__Phocaeicola
MAG4455	1.03036937679154e-05	1e-05	1e-05	****	Kruskal-Wallis	CCS26A_bin.28	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	0.058755451	0.784511785	g__Phocaeicola
