MAG	p.adj	live_rate	Group
MAG8727	9.2e-07	0.922558923	MAGs from Phocaeicola
MAG19359	5.1e-06	0.865319865	MAGs from Phocaeicola
MAG23062	5.5e-06	0.821548822	MAGs from Phocaeicola
MAG4606	5.9e-06	0.888888889	MAGs from Phocaeicola
MAG23	6.8e-06	0.824915825	MAGs from Phocaeicola
MAG7661	6.9e-06	0.730639731	MAGs from Phocaeicola
MAG15091	8.6e-06	0.919191919	MAGs from Phocaeicola
MAG14398	9.9e-06	0.895622896	MAGs from Phocaeicola
MAG20354	1e-05	0.855218855	MAGs from Phocaeicola
MAG4455	1e-05	0.784511785	MAGs from Phocaeicola
MAG1676	1.2e-05	0.895622896	MAGs from Phocaeicola
MAG20371	1.2e-05	0.723905724	MAGs from Phocaeicola
MAG4751	1.2e-05	0.851851852	MAGs from Phocaeicola
MAG8709	1.3e-05	0.925925926	MAGs from Phocaeicola
MAG1371	1.4e-05	0.599326599	MAGs from Phocaeicola
MAG22939	1.4e-05	0.922558923	MAGs from other families
MAG18382	1.5e-05	0.2996633	MAGs from other families
MAG4282	1.5e-05	0.606060606	MAGs from Phocaeicola
MAG16831	1.6e-05	0.777777778	MAGs from Phocaeicola
MAG7408	1.7e-05	0.939393939	MAGs from Phocaeicola
MAG11234	1.8e-05	0.30976431	MAGs from other families
MAG18202	1.8e-05	0.838383838	MAGs from Phocaeicola
MAG20200	1.8e-05	0.801346801	MAGs from Phocaeicola
MAG2311	1.8e-05	0.919191919	MAGs from Phocaeicola
MAG7600	1.9e-05	0.774410774	MAGs from Phocaeicola
MAG21658	2e-05	0.720538721	MAGs from Phocaeicola
MAG22298	2e-05	0.922558923	MAGs from Phocaeicola
MAG584	2e-05	0.774410774	MAGs from Phocaeicola
MAG20345	2.1e-05	0.952861953	MAGs from Phocaeicola
MAG4375	2.2e-05	0.966329966	MAGs from Phocaeicola
MAG17064	2.3e-05	0.774410774	MAGs from Phocaeicola
MAG4562	2.3e-05	0.939393939	MAGs from Phocaeicola
MAG16763	2.4e-05	0.750841751	MAGs from Phocaeicola
MAG20245	2.4e-05	0.932659933	MAGs from Phocaeicola
MAG2234	2.5e-05	0.414141414	MAGs from Phocaeicola
MAG22073	2.7e-05	0.491582492	MAGs from Phocaeicola
MAG2272	2.7e-05	0.892255892	MAGs from Phocaeicola
MAG1421	2.8e-05	0.717171717	MAGs from Phocaeicola
MAG12430	3e-05	0.888888889	MAGs from Phocaeicola
MAG4484	3e-05	0.905723906	MAGs from Phocaeicola
MAG5982	3e-05	0.929292929	MAGs from Phocaeicola
MAG226	3.1e-05	0.878787879	MAGs from Phocaeicola
MAG516	3.2e-05	0.861952862	MAGs from Phocaeicola
MAG10395	3.4e-05	0.96969697	MAGs from Phocaeicola
MAG3590	3.7e-05	0.952861953	MAGs from Phocaeicola
MAG11237	3.9e-05	0.962962963	MAGs from Phocaeicola
MAG22946	3.9e-05	0.986531987	MAGs from Phocaeicola
MAG5836	4.2e-05	0.939393939	MAGs from Phocaeicola
MAG12193	4.4e-05	0.750841751	MAGs from other families
MAG1768	4.5e-05	0.838383838	MAGs from Phocaeicola
MAG18298	4.5e-05	0.612794613	MAGs from Phocaeicola
MAG3388	4.5e-05	0.757575758	MAGs from Phocaeicola
MAG18076	4.6e-05	0.717171717	MAGs from Phocaeicola
MAG978	4.7e-05	0.791245791	MAGs from Phocaeicola
MAG20149	4.9e-05	0.973063973	MAGs from Phocaeicola
MAG4976	5e-05	0.95959596	MAGs from Phocaeicola
MAG4216	5.1e-05	0.686868687	MAGs from Phocaeicola
MAG19354	5.4e-05	0.791245791	MAGs from Phocaeicola
MAG22453	5.4e-05	0.96969697	MAGs from Phocaeicola
MAG1965	5.6e-05	0.858585859	MAGs from Phocaeicola
MAG9118	5.7e-05	0.915824916	MAGs from Phocaeicola
MAG5663	5.8e-05	0.946127946	MAGs from Phocaeicola
MAG2701	5.9e-05	0.973063973	MAGs from Phocaeicola
MAG13598	6e-05	0.478114478	MAGs from other families
MAG3153	6e-05	0.707070707	MAGs from Phocaeicola
MAG314	6.1e-05	0.64983165	MAGs from Phocaeicola
MAG5213	6.4e-05	0.929292929	MAGs from Phocaeicola
MAG21500	6.8e-05	0.909090909	MAGs from Phocaeicola
MAG22992	6.8e-05	0.966329966	MAGs from Phocaeicola
MAG666	6.8e-05	0.895622896	MAGs from Phocaeicola
MAG8988	6.9e-05	0.228956229	MAGs from other families
MAG20996	7.1e-05	0.781144781	MAGs from Phocaeicola
MAG22166	7.1e-05	0.804713805	MAGs from Phocaeicola
MAG23021	7.1e-05	0.434343434	MAGs from other families
MAG3019	7.1e-05	0.949494949	MAGs from Phocaeicola
MAG7181	7.6e-05	0.919191919	MAGs from Phocaeicola
MAG11658	7.7e-05	0.97979798	MAGs from Phocaeicola
MAG20509	7.7e-05	0.888888889	MAGs from Phocaeicola
MAG20279	7.9e-05	0.457912458	MAGs from other families
MAG7412	7.9e-05	0.383838384	MAGs from other families
MAG14955	8e-05	0.562289562	MAGs from other genus in Bacteroidaceae
MAG18101	8e-05	0.400673401	MAGs from other genus in Bacteroidaceae
MAG2988	8.1e-05	0.572390572	MAGs from other genus in Bacteroidaceae
MAG19863	8.2e-05	0.569023569	MAGs from other families
MAG22711	8.3e-05	0.865319865	MAGs from other families
MAG10965	8.7e-05	0.673400673	MAGs from other families
MAG19437	8.7e-05	0.96969697	MAGs from Phocaeicola
MAG2989	9e-05	0.589225589	MAGs from Phocaeicola
MAG15519	9.1e-05	0.946127946	MAGs from Phocaeicola
MAG20769	9.1e-05	0.909090909	MAGs from Phocaeicola
MAG9778	9.5e-05	0.771043771	MAGs from other families
MAG17526	9.6e-05	0.936026936	MAGs from Phocaeicola
MAG16481	9.7e-05	0.777777778	MAGs from other families
MAG20544	9.7e-05	0.929292929	MAGs from Phocaeicola
MAG15012	9.9e-05	0.966329966	MAGs from Phocaeicola
MAG15297	0.00011	0.424242424	MAGs from other families
MAG22560	0.00011	0.912457912	MAGs from Phocaeicola
MAG3827	0.00011	0.387205387	MAGs from other genus in Bacteroidaceae
MAG4244	0.00011	0.95959596	MAGs from Phocaeicola
MAG8627	0.00011	0.407407407	MAGs from other families
MAG11512	0.00012	0.878787879	MAGs from Phocaeicola
MAG11910	0.00012	0.902356902	MAGs from Phocaeicola
MAG2774	0.00012	0.69023569	MAGs from Phocaeicola
MAG1616	0.00013	0.976430976	MAGs from Phocaeicola
MAG1660	0.00013	0.774410774	MAGs from Phocaeicola
MAG20115	0.00013	0.912457912	MAGs from Phocaeicola
MAG21323	0.00013	0.730639731	MAGs from other families
MAG249	0.00013	0.872053872	MAGs from Phocaeicola
MAG6752	0.00013	0.32996633	MAGs from Phocaeicola
MAG7538	0.00013	0.936026936	MAGs from Phocaeicola
MAG13385	0.00014	0.744107744	MAGs from other families
MAG20482	0.00014	0.734006734	MAGs from other families
MAG7383	0.00014	0.983164983	MAGs from Phocaeicola
MAG15382	0.00015	0.909090909	MAGs from other genus in Bacteroidaceae
MAG17632	0.00015	0.831649832	MAGs from other genus in Bacteroidaceae
MAG19228	0.00015	0.946127946	MAGs from Phocaeicola
MAG22097	0.00015	0.898989899	MAGs from other families
MAG23229	0.00015	0.878787879	MAGs from Phocaeicola
MAG3049	0.00015	0.993265993	MAGs from Phocaeicola
MAG4491	0.00015	0.962962963	MAGs from Phocaeicola
MAG4561	0.00015	0.868686869	MAGs from other genus in Bacteroidaceae
MAG16537	0.00016	0.558922559	MAGs from other families
