traits	p	p.adj	p.format	p.signif	method	ARG_ID	Drug.Class	Resistance.Mechanism	live.rate
ARG373	8.08511038003862e-07	8.1e-07	8.1e-07	****	Kruskal-Wallis	tet(Q)	tetracycline antibiotic	antibiotic target protection	1
ARG235	5.58430684263469e-05	5.6e-05	5.6e-05	****	Kruskal-Wallis	cfrA	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration	0.838383838
ARG97	6.15603966690942e-05	6.2e-05	6.2e-05	****	Kruskal-Wallis	ErmF	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	0.996632997
ARG85	0.000109762666547956	0.00011	0.00011	***	Kruskal-Wallis	EreD	macrolide antibiotic	antibiotic inactivation	1
ARG143	0.000214828108912263	0.00021	0.00021	***	Kruskal-Wallis	Mef(En2)	macrolide antibiotic	antibiotic efflux	0.996632997
ARG380	0.000739782377673972	0.00074	0.00074	***	Kruskal-Wallis	tet(X)	glycylcycline; tetracycline antibiotic	antibiotic inactivation	0.986531987
ARG237	0.00243525454142836	0.0024	0.0024	**	Kruskal-Wallis	cfrE	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic	antibiotic target alteration	0.996632997
ARG336	0.00392179436727594	0.0039	0.0039	**	Kruskal-Wallis	poxtA	tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	0.996632997
ARG353	0.00498873613957348	0.005	0.005	**	Kruskal-Wallis	sul2	sulfonamide antibiotic	antibiotic target replacement	0.996632997
ARG113	0.0075869637877576	0.0076	0.0076	**	Kruskal-Wallis	EstT	macrolide antibiotic; glycylcycline; tetracycline antibiotic	antibiotic inactivation	0.98989899
ARG369	0.0116657130432443	0.012	0.012	*	Kruskal-Wallis	tet(M)	tetracycline antibiotic	antibiotic target protection	1
ARG206	0.0252486731072379	0.025	0.025	*	Kruskal-Wallis	adeF	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	1
ARG191	0.0337441879238616	0.034	0.034	*	Kruskal-Wallis	aad(6)	aminoglycoside antibiotic	antibiotic inactivation	0.828282828
ARG321	0.0365806378168846	0.037	0.037	*	Kruskal-Wallis	nimA	nitroimidazole antibiotic	antibiotic inactivation	0.996632997
ARG371	0.0442275980509043	0.044	0.044	*	Kruskal-Wallis	tet(O/32/O)	tetracycline antibiotic	antibiotic target protection	0.986531987
ARG327	0.0727859428699538	0.073	0.073	ns	Kruskal-Wallis	nimG	nitroimidazole antibiotic	antibiotic inactivation	0.993265993
ARG118	0.0860766541207235	0.086	0.086	ns	Kruskal-Wallis	FosB3	phosphonic acid antibiotic	antibiotic inactivation	0.740740741
ARG283	0.0917046555998202	0.092	0.092	ns	Kruskal-Wallis	lnuB	lincosamide antibiotic	antibiotic inactivation	0.612794613
ARG415	0.0953332862748574	0.095	0.095	ns	Kruskal-Wallis	vanWI	glycopeptide antibiotic	antibiotic target alteration	0.939393939
ARG413	0.100378091494809	0.1	0.1	ns	Kruskal-Wallis	vanWB	glycopeptide antibiotic	antibiotic target alteration	0.996632997
ARG396	0.109466545429142	0.11	0.11	ns	Kruskal-Wallis	vanHF	glycopeptide antibiotic	antibiotic target alteration	0.902356902
ARG14	0.117164972954107	0.12	0.12	ns	Kruskal-Wallis	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	aminoglycoside antibiotic	antibiotic inactivation	0.131313131
ARG87	0.117352214701306	0.12	0.12	ns	Kruskal-Wallis	Erm(35)	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	0.993265993
ARG177	0.131452980246258	0.13	0.13	ns	Kruskal-Wallis	SAT-4	nucleoside antibiotic	antibiotic inactivation	0.98989899
ARG272	0.13811838701212	0.14	0.14	ns	Kruskal-Wallis	fexA	phenicol antibiotic	antibiotic efflux	1
ARG337	0.138408089784989	0.14	0.14	ns	Kruskal-Wallis	qacEdelta1	disinfecting agents and antiseptics	antibiotic efflux	0.31986532
ARG95	0.137204971703945	0.14	0.14	ns	Kruskal-Wallis	ErmB	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	0.97979798
ARG188	0.146494808069269	0.15	0.15	ns	Kruskal-Wallis	Vibrio anguillarum chloramphenicol acetyltransferase	phenicol antibiotic	antibiotic inactivation	0.98989899
ARG37	0.158480034873478	0.16	0.16	ns	Kruskal-Wallis	APH(2'')-If	aminoglycoside antibiotic	antibiotic inactivation	0.973063973
ARG329	0.168151728085495	0.17	0.17	ns	Kruskal-Wallis	nimI	nitroimidazole antibiotic	antibiotic inactivation	0.915824916
ARG427	0.182080428630032	0.18	0.18	ns	Kruskal-Wallis	vanYB	glycopeptide antibiotic	antibiotic target alteration	0.996632997
ARG392	0.193716713834957	0.19	0.19	ns	Kruskal-Wallis	vanG	glycopeptide antibiotic	antibiotic target alteration	0.97979798
ARG284	0.205034735104242	0.21	0.21	ns	Kruskal-Wallis	lnuC	lincosamide antibiotic	antibiotic inactivation	1
ARG426	0.288091262074734	0.29	0.29	ns	Kruskal-Wallis	vanYA	glycopeptide antibiotic	antibiotic target alteration	0.996632997
ARG18	0.297884470426982	0.3	0.3	ns	Kruskal-Wallis	AAC(6')-Im	aminoglycoside antibiotic	antibiotic inactivation	0.831649832
ARG378	0.327583221186502	0.33	0.33	ns	Kruskal-Wallis	tet(W)	tetracycline antibiotic	antibiotic target protection	1
ARG339	0.339928453790916	0.34	0.34	ns	Kruskal-Wallis	qacJ	disinfecting agents and antiseptics	antibiotic efflux	0.922558923
ARG39	0.374522059457863	0.37	0.37	ns	Kruskal-Wallis	APH(3'')-Ib	aminoglycoside antibiotic	antibiotic inactivation	0.96969697
ARG414	0.372410527768409	0.37	0.37	ns	Kruskal-Wallis	vanWG	glycopeptide antibiotic	antibiotic target alteration	0.986531987
ARG230	0.380609941089324	0.38	0.38	ns	Kruskal-Wallis	catP	phenicol antibiotic	antibiotic inactivation	0.34006734
