genus	r_value	p.fdr
g__	0.03453004	0.749837698
g__43-108	-0.050945478	0.618063943
g__51-20	0.07322213	0.443268635
g__Acetatifactor	-0.15291656	0.066602344
g__Acinetobacter	-0.010611197	0.930195188
g__Acutalibacter	-0.142502438	0.091238637
g__Adamsella	-0.042715956	0.685557668
g__Aeromicrobium	0.040967705	0.699919855
g__AF33-28	-0.125693362	0.145893313
g__Agathobaculum	-0.000794401	0.995113233
g__Agrococcus	0.032710586	0.764501272
g__Akkermansia	0.000928715	0.994310799
g__Alangreenwoodia	-0.099003754	0.272636012
g__Alectryobacillus	-0.005994917	0.961761559
g__Aliarcobacter	0.017376969	0.880857962
g__Aliicoccus	-0.069723273	0.468729631
g__Alistipes	0.003532284	0.978250006
g__Alistipes_A	-0.018448669	0.873687874
g__Alloclostridium	-0.000314866	0.997979831
g__Alloprevotella	-0.086402686	0.349729755
g__Amedibacterium	-0.121391121	0.162152294
g__Anaerobiospirillum	-0.00351173	0.978293466
g__Anaerobutyricum	-0.150466695	0.071742125
g__Anaerofilum	-0.179592679	0.027242164
g__Anaeromassilibacillus	-0.008411783	0.945753642
g__Anaeroplasma	-0.037317241	0.728740388
g__Anaerosporobacter	0.048250313	0.639702126
g__Anaerostipes	-0.062094157	0.528133733
g__Anaerotardibacter	-0.100437466	0.265093583
g__Anaerotignum	-0.087153155	0.344587356
g__Anaerovibrio	-0.035532216	0.741818043
g__Aphodocola	-0.015328268	0.897274867
g__Aphodomorpha	-0.00655067	0.95756834
g__Aphodosoma	0.009360311	0.93852963
g__Aphodousia	-0.073819672	0.438994388
g__Aphodovivens	-0.082103611	0.378871606
g__Aquirickettsiella	0.020264732	0.860655413
g__Arachnia	-0.043772119	0.677361668
g__Avanaerovorax	-0.078550816	0.403760153
g__Aveggerthella	-0.113929408	0.196111495
g__Avelusimicrobium	-0.002530379	0.984801393
g__Avibacterium	0.006433565	0.958251495
g__Avibacteroides	-0.140649265	0.096180598
g__Avigastranaerophilus	0.064635909	0.508731267
g__Avilachnospira	-0.083123167	0.370953894
g__Avimicrobium	-0.224969422	0.004257657
g__Avimonas	-0.126363639	0.143288071
g__Avimuribaculum	-0.026327585	0.81206761
g__Avirikenella	0.055310807	0.58162296
g__Avoscillospira	0.009379133	0.938332072
g__Avoscillospira_A	-0.005787319	0.96316592
g__Bacteroides	-0.13846307	0.102582533
g__Barnesiella	-0.078960218	0.400784343
g__Barnesiella_A	0.070544939	0.463117576
g__Bifidobacterium	0.010694145	0.929615844
g__Bilophila	0.005741575	0.963500803
g__Blautia	-0.147969941	0.077351236
g__Blautia_A	-0.176513774	0.030345935
g__Borkfalkia	-0.149700261	0.073437864
g__Brachybacterium	-0.007385082	0.953205197
g__Brachyspira	0.240864692	0.002032635
g__Brevibacterium	-0.034454309	0.750352177
g__Bulleidia	-0.108052383	0.224602148
g__Bullifex	-0.00987528	0.935711777
g__Butyricicoccus	-0.21767999	0.005870548
g__Butyricicoccus_A	-0.066124652	0.496118631
g__CAAEEV01	-0.12355806	0.15363964
g__CAAFZY01	0.038642719	0.718885368
g__Caccenecus	-0.128413009	0.135689664
g__Caccocola	0.056314714	0.573895926
g__Caccomorpha	-0.043911866	0.676208796
g__Caccoplasma	0.035280147	0.743941679
g__Caccopulliclostridium	-0.094504476	0.298681501
g__Caccosoma	-0.104434154	0.243323949
g__Caccousia	-0.124073737	0.15194966
g__Caccovicinus	-0.090787749	0.320859921
g__Caccovivens	0.056264203	0.57398564
g__CACZQA01	-0.010276412	0.932650463
g__CACZYB01	0.043997803	0.67536395
g__CAG-1193	-0.106085897	0.234549851
g__CAG-1782	-0.010969684	0.927810157
g__CAG-196	-0.040761304	0.701383107
g__CAG-217	0.074742528	0.43196097
g__CAG-245	-0.132705482	0.120933239
g__CAG-266	-0.034834786	0.74760578
g__CAG-267	-0.01008838	0.933954325
g__CAG-269	-0.084096037	0.364920661
g__CAG-273	-0.149725799	0.073385922
g__CAG-307	-0.033620237	0.756847936
g__CAG-41	-0.032538947	0.766106688
g__CAG-448	-0.121447848	0.161999914
g__CAG-449	-0.053649394	0.596292282
g__CAG-452	0.021217189	0.853033232
g__CAG-465	0.060417902	0.541950554
g__CAG-557	-0.005884878	0.962495653
g__CAG-605	-0.046073139	0.657853915
g__CAG-793	-0.067053271	0.489463573
g__CAG-877	0.008270037	0.947084677
