genus	Homogentisic acid	Catechin	3-Methoxybenzenepropanoic acid	Acesulfame	Tartaric acid	Mannose	Tryptophol	Umbelliferone	Quinaldic acid	Isocitric acid	"3,3-Dimethylglutaric acid"	Oxindole-3-acetic acid	"2,4'-Dihydroxyacetophenone"	"3,5-Diiodo-L-tyrosine"	Ribulose	Arabinose	Arabinonic acid	Inosine	Syringic acid	Guanosine (G)	Heptacosanoic acid	Butyrylcarnitine(C4)	4-Hydroxycinnamic acid	Vanillymandelic Acid	3-Phenylbutyric acid	Ascorbic acid	Quinolinic acid	Indoleacetic acid	"3,4-Dihydro-2H-1-benzopyran-2-one"	Cysteic acid	"1,2,3-Propanetricarboxylic acid"	"2,3-Diaminopropionic acid"	Glutaric acid	Lactulose	Vanillic acid	Mandelic acid
g__	0.640421747478779	0.411695410652356	0.991544522316757	0.0417391089314738	0.195112011807882	0.721545824012808	0.103837504146355	0.0800401052627277	0.594362492179592	0.857965300012856	0.982890363886555	0.00441489717143439	0.725767806405757	0.587546566512292	0.970839761570641	0.97986880272521	0.343952963420255	0.480452418804129	0.929827698753329	0.602175730328056	0.632866101505591	0.404904383485449	0.83901983282869	0.126826700661888	0.657704871029314	0.658584285987962	0.883312145699949	0.643937903090611	0.77199605492718	0.554776873810065	0.00866861772499439	0.749837698079613	0.0152622786235953	0.58592976455474	0.851737136843275	0.443891098305671
g__43-108	0.0523064043819957	0.0134710095880743	0.0363720635101771	0.00358043302582648	0.897970014795224	0.506989416893507	0.00130923477079683	0.000242204630382804	0.00176179499675118	0.121207721377655	0.00373038923389526	9.12691672136964e-06	0.0223234866592461	0.00823465083681217	0.764461183217548	0.78055674470357	0.65930437536288	0.0126587211533012	0.00049663407103131	0.00052575626249937	0.00192165036981804	0.956317875497141	0.0673846559963393	0.0442590375593764	0.0916968373724403	0.0245396864755934	0.199158542881081	0.0214791731967471	0.876196809592063	0.910313494823047	0.00191953184270055	0.618063942712676	0.303683766576156	0.0616860218450014	0.0257375066285787	0.0107676161475157
g__51-20	0.661317578178925	0.723005281640128	0.582123286664772	0.0359036357843246	0.471280459545585	0.910550156065459	0.084876282251725	0.00639505062740439	0.394553744989015	0.417879532762037	0.450193643589053	0.00443923814172289	0.805807676009454	0.779756620936527	0.48546474466623	0.572436082742596	0.170113770235018	0.958828307184939	0.796141045595446	0.948492997056078	0.548868078446794	0.818709848995183	0.481242473071788	0.163791052040409	0.61246405185492	0.951415793437289	0.95217193896626	0.187323386803093	0.35396372163143	0.197806262628848	0.17046028467271	0.443268634785941	0.000560110539414157	0.622679686358264	0.644004110934486	0.968839668428164
g__Acetatifactor	0.0676463383581447	0.0271195127916453	0.871463494038508	0.136214562352512	0.410272076195255	0.699919854700502	0.0668579639104406	0.217511420793694	0.109769114926713	0.0682033219972852	0.019815150662087	0.0296321179073606	0.0643588462517737	0.305872186069432	0.274294750995108	0.307142980219106	0.880134395351477	0.341976147725617	0.0206880130998645	0.0352320052366518	0.0359784412678622	0.511203639834633	0.183757872554283	0.0676478497135042	0.191003077626169	0.307771012933007	0.236258067900084	0.284972878958108	0.450862553121736	0.99701078321378	0.239002328264487	0.066602344458835	0.583992700352665	0.606072353304861	0.124457679220189	0.439811414579081
g__Acinetobacter	0.712542803060541	0.702079396507198	0.767442247145596	0.627166335670631	0.831917514596504	0.958458334482539	0.400654977452139	0.983615097479537	0.998909011409317	0.780144105020025	0.848494625600244	0.954887862840883	0.825067030018221	0.739012564077035	0.682388767787629	0.772932693705163	0.666694382423492	0.734752935091191	0.759808566646373	0.478165635087245	0.931484958195069	0.622277733451104	0.889520956235333	0.994081776289443	0.84297848905994	0.550803453285301	0.926624528236389	0.673362555579366	0.687987686399624	0.729640412194551	0.477019983068814	0.930195187515579	0.626695378741406	0.93603571168958	0.842769288113023	0.311381558299072
g__Acutalibacter	0.000563571879819527	0.0295963192829821	0.162087513282207	0.0498834735320473	0.23431419831103	0.54649886576261	0.000764902086014179	0.0251061393697442	7.22456453077804e-07	0.00203759956941414	1.17741761341378e-06	0.00277010990331849	0.000544595572873057	0.000506365769433492	0.203676695641976	0.294369282171916	0.93926332141301	0.0110389065687016	5.17147941177798e-07	1.62320149974036e-05	0.0242949159360571	0.461079792491586	0.000173780426031154	0.00827991331563167	0.000503949473740397	0.00987274266131769	0.00218503438938443	0.452241194401147	0.177559402782313	0.454632550810003	0.256841539675912	0.0912386368205316	0.678314442421418	0.0181366433893008	0.000139286636310238	0.00422374480017204
g__Adamsella	0.0868233221875137	0.0196861525296867	0.0728270532100706	0.199924831170393	0.207575524291553	0.139588602218428	0.801726603195579	0.898475219312181	5.4995572720759e-07	0.0138119000923841	0.0014112537093386	0.797783076160986	0.0611109337361593	0.00684833140750666	0.0248441052793188	0.0318882017047264	0.772232174701221	0.0293815251034689	0.0563583552270384	0.00795186121345553	0.148525304590977	0.561576506321492	0.443385255248263	0.853775158015415	0.0189210717855297	0.372041721628091	0.111764323058252	0.0742159775872856	0.326446542130841	0.981534691372163	0.687736127031605	0.685557668391497	0.00531232282661153	0.197210804308001	0.0936414132120659	0.0439376765773078
g__Aeromicrobium	0.753945645492691	0.96278163460257	0.875402377139271	0.821200971374793	0.965389868756622	0.869438274274356	0.849583961893234	0.645527797751798	0.363714914447078	0.948590713450298	0.627499324879062	0.592136198473489	0.424206350106611	0.914898362612558	0.852660755862827	0.804110028707324	0.962314792796795	0.940059920208563	0.816120297226717	0.738295365415967	0.929148596328417	0.531144343882467	0.847055214656049	0.786887015616713	0.447364925133147	0.880637824218302	0.339803930097343	0.790487692657272	0.962635884996829	0.627413332527633	0.876763769088348	0.699919854700502	0.982481682152702	0.821669145632299	0.719594936243317	0.97061499866748
g__AF33-28	0.0492137075395312	0.452334869860921	0.490061007799122	0.430221055964786	0.670575619572269	0.813039008164193	0.0388884688094901	0.302345685020731	0.0890412812365416	0.567280955743258	0.00265642527930139	0.0223359090535189	0.19671797424585	0.108107134596108	0.829066731979144	0.868686361280304	0.484901648853259	0.119068653659732	0.0309939947568661	0.050582086784357	0.22652662521155	0.351376912250226	0.131174298445422	0.131194225840295	0.0851514033570801	0.511365978312739	0.646609179400715	0.655570767231059	0.337228113517332	0.990026655877325	0.314800775654954	0.145893312962995	0.982114826855625	0.0558299229605658	0.10931365998853	0.173610417814055
g__Agathobaculum	0.15101862158513	0.568714956947059	0.478813037789107	0.90781664692256	0.723563799797989	0.728626816194487	0.320286050892425	0.724372989588721	0.168837303430993	0.574444870771183	0.194295416942608	0.367651610165559	0.307069178153895	0.309170298337675	0.985005503496589	0.877614166831316	0.276607058225982	0.687784237210359	0.115527676210823	0.0575926241463162	0.748980864533299	0.447865580511272	0.364787326026863	0.871141361853538	0.749378461904119	0.921705301264367	0.546708237470693	0.926711043048332	0.082434693517094	0.97571192824811	0.310796416547436	0.995113232772193	0.963816331508406	0.687267881742996	0.498563838871631	0.980071724503988
