Homogentisic acid	Catechin	3-Methoxybenzenepropanoic acid	Acesulfame	Tartaric acid	Mannose	Tryptophol	Umbelliferone	Quinaldic acid	Isocitric acid	3,3-Dimethylglutaric acid	Oxindole-3-acetic acid	2,4'-Dihydroxyacetophenone	3,5-Diiodo-L-tyrosine	Ribulose	Arabinose	Arabinonic acid	Inosine	Syringic acid	Guanosine (G)	Heptacosanoic acid	Butyrylcarnitine(C4)	4-Hydroxycinnamic acid	Vanillymandelic Acid	3-Phenylbutyric acid	Ascorbic acid	Quinolinic acid	Indoleacetic acid	3,4-Dihydro-2H-1-benzopyran-2-one	Cysteic acid	1,2,3-Propanetricarboxylic acid	2,3-Diaminopropionic acid	Glutaric acid	Lactulose	Vanillic acid	Mandelic acid
g__	-0.0481602021671708	-0.0775043140912478	-0.00132077821526108	0.167079451842836	-0.114145120729081	-0.0382872216725142	0.138062524308627	0.146906934986891	-0.0538705380443873	-0.0205963892436246	-0.00280398127454794	0.223981959723753	0.0377002060180945	-0.0546476080310667	-0.00472166747611457	0.00329730852808291	-0.0872377942981281	0.0682890555254392	0.0106528717935283	0.0529532085372907	0.0491202544017508	-0.0783949957982601	-0.0230448810313105	0.130875433021041	-0.04609987533822	0.0459620154495155	0.0170330677941168	0.0477281383571499	-0.0317611235271239	-0.0588287927000562	0.208665458876352	0.0345300399215675	0.194926474589046	-0.0548152745842091	-0.0213867555514355	0.0731118871958777
g__43-108	0.160323272084015	0.198100397212619	0.171332373765691	0.228638525374581	0.0152445538234832	0.0648691247292147	0.249686050900927	0.279752710640083	0.243801866284987	0.132614263115259	0.227779374266655	0.332205310988601	0.185197308243267	0.209917621089086	0.0327169209975342	0.0305495576047048	-0.0458610075944096	0.199592686924317	0.267393020759376	0.266123313844715	0.242034353643468	-0.00676653015123888	0.152514776099634	0.165413789107902	0.142307253381272	0.182546038235701	0.113200619206149	0.186150319972886	0.0181310116597889	-0.0134794504549699	0.242062166271122	-0.0509454783948938	0.0936394741707365	0.155298457354442	0.181186773640465	0.203475168512256
g__51-20	-0.0456584054029073	-0.038010369662675	0.0552422656554964	0.17178705488018	-0.0693999614251246	0.013444014237248	0.14500274796117	0.215731833354342	-0.0798222938084885	-0.0766774113500281	-0.072219901172209	0.223874944752441	-0.0271759240352671	-0.0306645731898921	-0.0676128803315974	-0.0565087591195941	-0.119542895947264	-0.00635485988759806	-0.0284928074006424	-0.00806673184205691	0.0595804990835275	-0.0255750275349217	-0.0681794630700656	0.121000977630854	0.0515582625119113	-0.00773333213494366	-0.00757369978718444	0.11567380669042	0.0857920229187968	-0.113515781138765	0.119451563779722	0.0732221302673596	0.264999475873697	-0.0503777728920882	-0.0477145915465066	0.00499215161790136
g__Acetatifactor	0.152402455933071	0.179716914966943	0.0188039904192173	0.128278648648242	0.0776575945593212	0.0410204000028487	0.152800828632782	0.109527133047194	0.136167846260833	0.152099096264515	0.188202513683461	0.177189629502223	0.154036269243505	0.0933201881457699	0.0987447886227332	0.0930329543570425	0.0174809075973743	0.0875511612721818	0.187106066600229	0.172333540065471	0.171712004881201	-0.0642648015196485	0.116382463254716	0.152397384058422	0.114970961000857	0.0929313050315552	0.105802071657191	0.0968894046601917	-0.0721082251247163	-0.000472606501392891	0.105302722544012	-0.152916559590684	0.0550279956246204	0.0524431838716365	0.131594859645404	0.0736888056971795
g__Acinetobacter	0.0394207909401754	0.0406698013447422	0.0323596420225131	0.049879143921473	-0.0239121329601326	-0.00640299575449769	-0.078978918495077	0.0026974984137726	0.000150292899134304	-0.0306053411965433	-0.0218157916864088	0.00713113893823458	0.0247518303870411	-0.0360625220215882	0.0430900106845577	0.0315641064359575	0.0450049495200793	0.0366377810493091	-0.0332069569380364	0.068567248344704	0.010453130260479	0.0504414064577305	0.0162290418496233	0.000982086358136231	-0.0225335880067084	-0.0593449890216794	-0.011111309508412	0.0442664413088159	0.0424085101246901	0.0372311788752015	-0.0687175412438383	-0.0106111969302582	-0.0499412938795767	0.00981827232448068	0.0225568911545538	-0.0923679428024382
g__Acutalibacter	0.26487091822641	0.177254793678858	0.121413695420311	0.161812239460349	0.106141987675574	0.0598577230419334	0.259484235056828	0.181938408338544	0.367139702060039	0.240809454347813	0.359936766693351	0.234084919489033	0.265531899375746	0.266824215640343	0.112173525342618	0.0952412049228726	-0.00928561958827108	0.202820068641099	0.373223703538763	0.323587538301187	0.182848549807933	-0.0708519740246865	0.285438180678601	0.209784384100845	0.266998155830793	0.205557025084606	0.239207186004974	0.0719418865726174	-0.117834298945851	0.0716315194639241	0.101912063195715	-0.142502437974466	-0.043592068101399	0.190589992261913	0.289452799383258	0.225161663577015
g__Adamsella	0.144194159540379	0.188358371239644	0.14994582286583	-0.1130363616431	0.111378418424211	0.127325252205622	0.0277604229843661	0.0151847657023888	0.371576541534831	0.197413836196043	0.24823241067162	-0.0282303078044467	0.155612720274337	0.214214187689133	0.182232837158048	0.175114815272113	0.031690368752313	0.177477738119194	0.15810334232885	0.210741015643676	0.124994014466393	0.0579032592824263	0.0731903761337436	0.0211130965062321	0.189423792470754	0.0829793242142714	0.135507000040419	0.149387000063286	0.0898698069613933	0.00301978183202118	-0.0424423146533834	-0.0427159559482458	-0.219814741053226	0.113643610401133	0.141554176599836	0.165653219847535
g__Aeromicrobium	-0.0340322991350344	0.00583722136600055	-0.0182421449112502	-0.0253226628764412	-0.00547775406154063	0.0190418620287503	0.0217048865504365	0.0475238574238494	0.0843527445395524	-0.00805503245202231	0.0498274148583977	0.0541047434090193	0.0758595412428089	-0.0127841666356859	0.0212728664732341	0.0274184400434446	0.00591306869025793	-0.00919774042226959	0.0259096621109936	0.0361577719576062	0.0107790658193575	-0.0617310520237552	0.0220132367582107	0.0297566195160052	0.0726025165364137	0.0174143735658465	0.0879193835738602	-0.0293048122596944	0.00587019646885617	-0.0498472020375062	-0.0180409605521785	0.0409677054125651	-0.0028872792182492	0.025195674731495	0.0385536695613276	-0.00476211443877995
g__AF33-28	0.16225750893323	0.0719171415565347	0.0669622225146676	0.0750108804611376	-0.0446157120054658	-0.0262168004658951	0.169386549275413	0.0938882754279415	0.143388714412203	0.0572213197940817	0.23502648535981	0.185180498223644	0.113753739539625	0.136690054737366	0.0242945223149406	0.0191224076223528	-0.0676865760380937	0.13328209719294	0.175913767322185	0.161370986939397	0.107693767980187	-0.0861423117142984	0.129607205921915	0.129595213890936	0.144885614328838	0.0642482201618291	0.0473729638587828	0.0463700747495279	-0.0882755607806188	0.00165134708069524	0.091811877471446	-0.125693362329906	0.00295847845737251	0.158410731884843	0.136326296464345	0.118727768928469
g__Agathobaculum	0.124330794824101	-0.0569736128556899	0.068476929507062	0.0138030795050492	-0.0379458658380672	-0.037384401770978	0.0908829296505805	0.0378495152381087	0.119852969330321	0.0561860405878096	0.114339319217368	0.0837240514849171	0.093056689966385	0.0927054973268067	0.00248718821981246	-0.0179221877910112	-0.0983062050731224	0.0424337445059983	0.134358544444736	0.157374003220326	-0.034693676028721	-0.0725355334194505	0.0841625640085204	-0.0188588598271342	0.034611482830499	0.0118374246407067	0.0598146397889659	-0.0111010573875052	-0.145930760968355	-0.00383255109094097	0.0924499670511041	-0.00079440090443208	-0.00567607708630999	-0.0425087108013937	0.06580065817183	0.00325055469012924
