id	Group	time	values
P.plebeius	0ug/ml	0h	-5e-04
P.plebeius	0ug/ml	0h	-0.0039
P.plebeius	0ug/ml	0h	-0.0079
P.plebeius	0ug/ml	0h	-0.0068
P.plebeius	0ug/ml	0h	-0.0085
P.plebeius	0ug/ml	0h	-0.0077
P.plebeius	0ug/ml	0h	-0.0079
P.plebeius	0ug/ml	0h	-0.0042
P.plebeius	0ug/ml	0h	-0.0055
P.plebeius	0ug/ml	0h	-0.007
P.plebeius	0ug/ml	0h	-0.0068
P.plebeius	0ug/ml	0h	3e-04
P.plebeius	10ug/ml	0h	-0.007633333
P.plebeius	10ug/ml	0h	-0.006233333
P.plebeius	10ug/ml	0h	-0.002433333
P.plebeius	10ug/ml	0h	-0.005633333
P.plebeius	10ug/ml	0h	-0.007433333
P.plebeius	10ug/ml	0h	-0.005333333
P.plebeius	10ug/ml	0h	-0.004633333
P.plebeius	10ug/ml	0h	-0.006333333
P.plebeius	10ug/ml	0h	0.001366667
P.plebeius	10ug/ml	0h	-0.002033333
P.plebeius	10ug/ml	0h	-0.005633333
P.plebeius	10ug/ml	0h	0.001466667
P.plebeius	50ug/ml	0h	-0.008866667
P.plebeius	50ug/ml	0h	-0.009366667
P.plebeius	50ug/ml	0h	-0.010066667
P.plebeius	50ug/ml	0h	-0.006266667
P.plebeius	50ug/ml	0h	-0.005466667
P.plebeius	50ug/ml	0h	-0.005566667
P.plebeius	50ug/ml	0h	-0.010366667
P.plebeius	50ug/ml	0h	-0.009566667
P.plebeius	50ug/ml	0h	-0.009666667
P.plebeius	50ug/ml	0h	-0.008266667
P.plebeius	50ug/ml	0h	-0.002766667
P.plebeius	50ug/ml	0h	-0.009866667
P.plebeius	100ug/ml	0h	0.008666667
P.plebeius	100ug/ml	0h	-0.018333333
P.plebeius	100ug/ml	0h	0.006466667
P.plebeius	100ug/ml	0h	-0.007733333
P.plebeius	100ug/ml	0h	-0.009933333
P.plebeius	100ug/ml	0h	-0.008233333
P.plebeius	100ug/ml	0h	-0.003233333
P.plebeius	100ug/ml	0h	0.005066667
P.plebeius	100ug/ml	0h	-0.000633333
P.plebeius	100ug/ml	0h	-0.004833333
P.plebeius	100ug/ml	0h	-0.007333333
P.plebeius	100ug/ml	0h	0.001366667
P.plebeius	250ug/ml	0h	-0.009266667
P.plebeius	250ug/ml	0h	-0.006566667
P.plebeius	250ug/ml	0h	-0.007266667
P.plebeius	250ug/ml	0h	-0.035066667
P.plebeius	250ug/ml	0h	-0.010566667
P.plebeius	250ug/ml	0h	-0.008366667
P.plebeius	250ug/ml	0h	-0.008166667
P.plebeius	250ug/ml	0h	-0.013766667
P.plebeius	250ug/ml	0h	-0.007566667
P.plebeius	250ug/ml	0h	-0.002866667
P.plebeius	250ug/ml	0h	-0.001466667
P.plebeius	250ug/ml	0h	-0.001166667
P.plebeius	0ug/ml	10h	0.001333333
P.plebeius	0ug/ml	10h	0.001633333
P.plebeius	0ug/ml	10h	-0.006066667
P.plebeius	0ug/ml	10h	-0.000966667
P.plebeius	0ug/ml	10h	-0.007466667
P.plebeius	0ug/ml	10h	-0.005666667
P.plebeius	0ug/ml	10h	-0.005066667
P.plebeius	0ug/ml	10h	-0.002966667
P.plebeius	0ug/ml	10h	-0.003066667
P.plebeius	0ug/ml	10h	0.000533333
P.plebeius	0ug/ml	10h	-0.006266667
P.plebeius	0ug/ml	10h	-0.001466667
P.plebeius	10ug/ml	10h	-0.007366667
P.plebeius	10ug/ml	10h	-0.006366667
P.plebeius	10ug/ml	10h	-0.003866667
P.plebeius	10ug/ml	10h	-0.003966667
P.plebeius	10ug/ml	10h	-0.009766667
P.plebeius	10ug/ml	10h	-0.005666667
P.plebeius	10ug/ml	10h	0.001733333
P.plebeius	10ug/ml	10h	-0.006066667
P.plebeius	10ug/ml	10h	-0.002866667
P.plebeius	10ug/ml	10h	-0.000466667
P.plebeius	10ug/ml	10h	-0.005966667
P.plebeius	10ug/ml	10h	-0.001166667
P.plebeius	50ug/ml	10h	-0.000233333
P.plebeius	50ug/ml	10h	-0.002233333
