id	Group	time	OD_value
L.johnsonii	0ug/ml	0	0.0111
L.johnsonii	250ug/ml	0	0.0178
L.johnsonii	500ug/ml	0	0.02
L.johnsonii	1000ug/ml	0	0.0255
L.johnsonii	0ug/ml	2	0.0387
L.johnsonii	250ug/ml	2	0.041
L.johnsonii	500ug/ml	2	0.0426
L.johnsonii	1000ug/ml	2	0.0418
L.johnsonii	0ug/ml	4	0.1612
L.johnsonii	250ug/ml	4	0.1631
L.johnsonii	500ug/ml	4	0.3114
L.johnsonii	1000ug/ml	4	0.3495
L.johnsonii	0ug/ml	6	0.3652
L.johnsonii	250ug/ml	6	0.4099
L.johnsonii	500ug/ml	6	0.4231
L.johnsonii	1000ug/ml	6	0.4386
L.johnsonii	0ug/ml	8	0.3512
L.johnsonii	250ug/ml	8	0.3998
L.johnsonii	500ug/ml	8	0.4166
L.johnsonii	1000ug/ml	8	0.412
L.johnsonii	0ug/ml	10	0.37
L.johnsonii	250ug/ml	10	0.427
L.johnsonii	500ug/ml	10	0.4135
L.johnsonii	1000ug/ml	10	0.4083
L.johnsonii	0ug/ml	15	0.3655
L.johnsonii	250ug/ml	15	0.3952
L.johnsonii	500ug/ml	15	0.4026
L.johnsonii	1000ug/ml	15	0.3994
L.johnsonii	0ug/ml	21	0.3561
L.johnsonii	250ug/ml	21	0.4077
L.johnsonii	500ug/ml	21	0.4081
L.johnsonii	1000ug/ml	21	0.4053
L.johnsonii	0ug/ml	27	0.3271
L.johnsonii	250ug/ml	27	0.3761
L.johnsonii	500ug/ml	27	0.3566
L.johnsonii	1000ug/ml	27	0.3751
L.johnsonii	0ug/ml	30	0.3379
L.johnsonii	250ug/ml	30	0.3766
L.johnsonii	500ug/ml	30	0.3549
L.johnsonii	1000ug/ml	30	0.3765
L.johnsonii	0ug/ml	0	0.0215
L.johnsonii	250ug/ml	0	0.0116
L.johnsonii	500ug/ml	0	0.0199
L.johnsonii	1000ug/ml	0	0.0283
L.johnsonii	0ug/ml	2	0.0295
L.johnsonii	250ug/ml	2	0.0476
L.johnsonii	500ug/ml	2	0.0444
L.johnsonii	1000ug/ml	2	0.0447
L.johnsonii	0ug/ml	4	0.1741
L.johnsonii	250ug/ml	4	0.2217
L.johnsonii	500ug/ml	4	0.2803
L.johnsonii	1000ug/ml	4	0.3259
L.johnsonii	0ug/ml	6	0.3607
L.johnsonii	250ug/ml	6	0.396
L.johnsonii	500ug/ml	6	0.4266
L.johnsonii	1000ug/ml	6	0.4336
L.johnsonii	0ug/ml	8	0.3596
L.johnsonii	250ug/ml	8	0.4376
L.johnsonii	500ug/ml	8	0.409
L.johnsonii	1000ug/ml	8	0.4136
L.johnsonii	0ug/ml	10	0.3781
L.johnsonii	250ug/ml	10	0.415
L.johnsonii	500ug/ml	10	0.4017
L.johnsonii	1000ug/ml	10	0.4045
L.johnsonii	0ug/ml	15	0.3395
L.johnsonii	250ug/ml	15	0.4109
L.johnsonii	500ug/ml	15	0.4003
L.johnsonii	1000ug/ml	15	0.4
L.johnsonii	0ug/ml	21	0.3523
L.johnsonii	250ug/ml	21	0.3902
L.johnsonii	500ug/ml	21	0.4067
L.johnsonii	1000ug/ml	21	0.4065
L.johnsonii	0ug/ml	27	0.3258
L.johnsonii	250ug/ml	27	0.3764
L.johnsonii	500ug/ml	27	0.3725
L.johnsonii	1000ug/ml	27	0.3849
L.johnsonii	0ug/ml	30	0.3332
L.johnsonii	250ug/ml	30	0.3738
L.johnsonii	500ug/ml	30	0.3632
L.johnsonii	1000ug/ml	30	0.3737
L.johnsonii	0ug/ml	0	0.0096
L.johnsonii	250ug/ml	0	0.0096
L.johnsonii	500ug/ml	0	0.0229
L.johnsonii	1000ug/ml	0	0.0212
L.johnsonii	0ug/ml	2	0.0308
L.johnsonii	250ug/ml	2	0.0401
L.johnsonii	500ug/ml	2	0.0428
L.johnsonii	1000ug/ml	2	0.0484
L.johnsonii	0ug/ml	4	0.1611
L.johnsonii	250ug/ml	4	0.2241
L.johnsonii	500ug/ml	4	0.326
L.johnsonii	1000ug/ml	4	0.3354
L.johnsonii	0ug/ml	6	0.3623
L.johnsonii	250ug/ml	6	0.4141
L.johnsonii	500ug/ml	6	0.4266
L.johnsonii	1000ug/ml	6	0.4047
L.johnsonii	0ug/ml	8	0.3354
L.johnsonii	250ug/ml	8	0.4007
L.johnsonii	500ug/ml	8	0.4146
L.johnsonii	1000ug/ml	8	0.4154
L.johnsonii	0ug/ml	10	0.3574
L.johnsonii	250ug/ml	10	0.4047
L.johnsonii	500ug/ml	10	0.4273
L.johnsonii	1000ug/ml	10	0.4202
L.johnsonii	0ug/ml	15	0.3501
L.johnsonii	250ug/ml	15	0.4239
L.johnsonii	500ug/ml	15	0.4167
L.johnsonii	1000ug/ml	15	0.429
L.johnsonii	0ug/ml	21	0.3539
L.johnsonii	250ug/ml	21	0.3912
L.johnsonii	500ug/ml	21	0.3885
L.johnsonii	1000ug/ml	21	0.4162
L.johnsonii	0ug/ml	27	0.3186
L.johnsonii	250ug/ml	27	0.3798
L.johnsonii	500ug/ml	27	0.3739
L.johnsonii	1000ug/ml	27	0.3776
L.johnsonii	0ug/ml	30	0.3268
L.johnsonii	250ug/ml	30	0.3804
L.johnsonii	500ug/ml	30	0.369
L.johnsonii	1000ug/ml	30	0.386
