id	Group	time	OD_value
P.plebeius	0ug/ml	0h	0.0027
P.plebeius	0ug/ml	0h	3e-04
P.plebeius	0ug/ml	0h	-0.0019
P.plebeius	0ug/ml	0h	-0.0038
P.plebeius	0ug/ml	0h	-8.00E-04
P.plebeius	0ug/ml	0h	-5.00E-04
P.plebeius	0ug/ml	0h	0.0067
P.plebeius	0ug/ml	0h	0.0088
P.plebeius	0ug/ml	0h	0.0059
P.plebeius	0ug/ml	0h	0.0091
P.plebeius	0ug/ml	0h	0.0107
P.plebeius	0ug/ml	0h	0.0117
P.plebeius	250ug/ml	0h	0.0063
P.plebeius	250ug/ml	0h	0.0064
P.plebeius	250ug/ml	0h	0.0064
P.plebeius	250ug/ml	0h	0.0035
P.plebeius	250ug/ml	0h	0.0037
P.plebeius	250ug/ml	0h	7e-04
P.plebeius	250ug/ml	0h	0.0046
P.plebeius	250ug/ml	0h	0.0037
P.plebeius	250ug/ml	0h	0.0083
P.plebeius	250ug/ml	0h	0.0067
P.plebeius	250ug/ml	0h	0.0048
P.plebeius	250ug/ml	0h	0.0055
P.plebeius	500ug/ml	0h	0.0031
P.plebeius	500ug/ml	0h	-0.0019
P.plebeius	500ug/ml	0h	0.0035
P.plebeius	500ug/ml	0h	0.004
P.plebeius	500ug/ml	0h	-0.0032
P.plebeius	500ug/ml	0h	-2.00E-04
P.plebeius	500ug/ml	0h	0.003
P.plebeius	500ug/ml	0h	0.0037
P.plebeius	500ug/ml	0h	0.006
P.plebeius	500ug/ml	0h	0.003
P.plebeius	500ug/ml	0h	0.0059
P.plebeius	500ug/ml	0h	0.0034
P.plebeius	1000ug/ml	0h	0.0013
P.plebeius	1000ug/ml	0h	0.0013
P.plebeius	1000ug/ml	0h	-6.00E-04
P.plebeius	1000ug/ml	0h	-0.0036
P.plebeius	1000ug/ml	0h	-0.002
P.plebeius	1000ug/ml	0h	-0.0036
P.plebeius	1000ug/ml	0h	-0.0025
P.plebeius	1000ug/ml	0h	0.0011
P.plebeius	1000ug/ml	0h	-0.005
P.plebeius	1000ug/ml	0h	0.0014
P.plebeius	1000ug/ml	0h	-5.00E-04
P.plebeius	1000ug/ml	0h	-0.0017
P.plebeius	0ug/ml	12h	0.0017
P.plebeius	0ug/ml	12h	0.004
P.plebeius	0ug/ml	12h	0.002
P.plebeius	0ug/ml	12h	-0.0018
P.plebeius	0ug/ml	12h	-0.0032
P.plebeius	0ug/ml	12h	0.0015
P.plebeius	0ug/ml	12h	0.0043
P.plebeius	0ug/ml	12h	0.0081
P.plebeius	0ug/ml	12h	0.0067
P.plebeius	0ug/ml	12h	0.0046
P.plebeius	0ug/ml	12h	0.0034
P.plebeius	0ug/ml	12h	0.0115
P.plebeius	250ug/ml	12h	-0.0092
P.plebeius	250ug/ml	12h	0.006
P.plebeius	250ug/ml	12h	0.0063
P.plebeius	250ug/ml	12h	0.0084
P.plebeius	250ug/ml	12h	0.0118
P.plebeius	250ug/ml	12h	0.0081
P.plebeius	250ug/ml	12h	0.0039
P.plebeius	250ug/ml	12h	0.0082
P.plebeius	250ug/ml	12h	0.0081
P.plebeius	250ug/ml	12h	0.0118
P.plebeius	250ug/ml	12h	0.0086
P.plebeius	250ug/ml	12h	0.0105
P.plebeius	500ug/ml	12h	-2.00E-04
P.plebeius	500ug/ml	12h	0.0154
