Sample_id	Day	Group	Richness	Shannon
HB001	0d	Control	185	3.57336907018158
HB002	0d	0.03%DAPr	191	3.60386391196269
HB004	0d	0.02%DAPr	117	1.53134332119565
HB005	0d	0.03%DAPr	272	3.6239016656217
HB006	0d	Control	227	3.85424177388795
HB007	0d	0.03%DAPr	94	1.53039533325845
HB010	0d	0.02%DAPr	142	1.57025532080003
HB011	0d	0.02%DAPr	327	4.06412960513944
HB013	0d	Control	99	1.15163053689403
HB014	0d	0.02%DAPr	217	3.68729881785817
HB016	0d	Control	263	3.98874336597367
HB018	0d	0.02%DAPr	167	1.82102080028618
HB020	0d	0.03%DAPr	273	3.94857318494166
HB021	0d	0.02%DAPr	175	2.77222209953628
HB022	0d	0.03%DAPr	269	3.65691455847416
HB026	0d	0.02%DAPr	216	3.64685908837692
HB027	0d	Control	180	2.80252711632276
HB028	0d	0.02%DAPr	232	3.08484181374055
HB029	0d	0.03%DAPr	263	3.83720259864379
HB030	0d	0.03%DAPr	364	4.55386256991662
HB031	0d	0.02%DAPr	247	3.28149909900777
HB032	0d	0.03%DAPr	214	2.90579498950152
HB033	0d	0.02%DAPr	218	3.47057709466502
HB034	0d	0.02%DAPr	232	3.20237851205361
HB035	0d	Control	298	3.8209621652603
HB036	0d	Control	192	3.38304406420752
HB037	0d	0.02%DAPr	262	4.06514479663363
HB038	0d	Control	274	4.01701675924442
HB039	0d	Control	270	3.8411728566217
HB040	0d	0.03%DAPr	119	1.96388207325497
HB041	0d	0.03%DAPr	135	1.70717660356383
HB042	0d	0.02%DAPr	211	3.29319787896272
HB043	0d	Control	265	3.58433542574445
HB044	0d	0.02%DAPr	267	3.12888726393644
HB045	0d	0.03%DAPr	286	3.8626018497611
HB046	0d	0.02%DAPr	280	3.99876759219972
HB048	0d	Control	65	1.30627152682003
HB049	0d	0.03%DAPr	236	3.65607438753219
HB050	0d	Control	189	3.38059329344199
HB052	0d	0.02%DAPr	201	3.61421571284497
HB053	0d	0.03%DAPr	226	4.02192362047577
HB054	0d	0.03%DAPr	372	4.59520525677161
HB055	0d	Control	234	3.79726224740512
HB057	0d	Control	263	4.14408657618395
HB058	0d	0.02%DAPr	266	4.12981274107394
HB059	0d	0.02%DAPr	329	4.20064837681497
HB060	0d	Control	216	3.65051678323148
HB061	0d	0.02%DAPr	237	3.95203522448438
HB062	0d	0.03%DAPr	274	4.15370596577605
HB064	0d	Control	122	1.70385055296795
HB066	0d	0.02%DAPr	304	4.39903665977273
HB068	0d	Control	296	4.47789089073199
HB070	0d	0.03%DAPr	226	3.7745307122975
HB073	0d	Control	259	4.35647959837481
HB074	0d	Control	231	3.92370561477471
HB075	0d	0.03%DAPr	205	3.61097123568953
HB076	0d	0.03%DAPr	254	3.87743915824691
HB077	0d	Control	268	3.88812689613427
HB078	0d	Control	216	2.45973390051978
HB079	0d	Control	176	3.50006633816751
HB080	0d	0.03%DAPr	229	4.17242369870014
HB081	0d	0.03%DAPr	299	4.37720947486505
HB082	0d	0.02%DAPr	264	4.15355622414224
HB085	0d	0.02%DAPr	246	3.97885512221079
HB086	0d	0.03%DAPr	217	3.12046100793798
HB087	0d	Control	155	2.35118964868737
HB088	0d	Control	236	4.02503401243358
HB089	0d	0.03%DAPr	256	4.10988428657128
HB090	0d	0.03%DAPr	229	3.99487592262572
HB091	0d	0.02%DAPr	234	3.87989895297951
HB094	0d	0.03%DAPr	249	3.88016178388309
HB095	0d	Control	175	3.24707188021817
HB096	0d	0.03%DAPr	287	4.18999365227054
HB098	0d	0.02%DAPr	310	4.39469190058682
HB099	0d	0.02%DAPr	377	4.58790327865727
HB14D001	14d	Control	458	4.50268634362579
HB14D002	14d	0.03%DAPr	228	2.68190700266214
HB14D004	14d	0.02%DAPr	42	0.945544428021004
HB14D005	14d	0.03%DAPr	35	0.761589049359468
HB14D006	14d	Control	440	4.87981269442045
HB14D007	14d	0.03%DAPr	83	0.857469603932831
HB14D010	14d	0.02%DAPr	46	0.650474924903109
HB14D011	14d	0.02%DAPr	31	0.747271906808489
HB14D013	14d	Control	651	5.37531005461468
HB14D014	14d	0.02%DAPr	71	1.02841535109698
HB14D016	14d	Control	484	4.58192560767983
HB14D018	14d	0.02%DAPr	24	0.50877037346189
HB14D020	14d	0.03%DAPr	45	0.623223612829833
HB14D021	14d	0.02%DAPr	334	3.99360866083259
HB14D022	14d	0.03%DAPr	35	1.08355125967361
HB14D026	14d	0.02%DAPr	209	2.58219635604718
HB14D027	14d	Control	646	5.41785773499573
HB14D028	14d	0.02%DAPr	76	1.0431746785336
HB14D029	14d	0.03%DAPr	28	0.605262362674613
HB14D030	14d	0.03%DAPr	69	0.763373975829175
HB14D031	14d	0.02%DAPr	224	2.73077580644509
HB14D032	14d	0.03%DAPr	26	0.81641731451193
HB14D033	14d	0.02%DAPr	40	0.529079847246016
HB14D034	14d	0.02%DAPr	28	0.450627872561581
HB14D035	14d	Control	553	5.05270135921475
HB14D036	14d	Control	523	5.1032993305661
HB14D037	14d	0.02%DAPr	365	4.60382162938969
HB14D038	14d	Control	498	5.19939619936881
HB14D039	14d	Control	492	4.99920638612616
HB14D040	14d	0.03%DAPr	26	0.342044659500458
HB14D041	14d	0.03%DAPr	102	0.867226167858937
HB14D042	14d	0.02%DAPr	258	3.64754192668761
HB14D043	14d	Control	487	4.95048353459685
HB14D044	14d	0.02%DAPr	105	0.849373845751999
HB14D045	14d	0.03%DAPr	196	3.07627758892484
HB14D046	14d	0.02%DAPr	239	3.50704371681089
HB14D048	14d	Control	461	5.02004173065892
HB14D049	14d	0.03%DAPr	359	4.52108939558089
HB14D050	14d	Control	539	4.55114607029054
HB14D052	14d	0.02%DAPr	25	0.259296982107218
HB14D053	14d	0.03%DAPr	79	0.567211258594764
HB14D054	14d	0.03%DAPr	49	0.348297609075368
HB14D055	14d	Control	560	5.24307987612062
HB14D057	14d	Control	332	3.98127319554545
HB14D058	14d	0.02%DAPr	367	4.3568092580058
HB14D059	14d	0.02%DAPr	25	0.734305750531614
HB14D060	14d	Control	626	5.42071870473253
HB14D061	14d	0.02%DAPr	43	0.430574275374751
HB14D062	14d	0.03%DAPr	290	4.01012478737364
HB14D064	14d	Control	361	4.62580223924652
HB14D066	14d	0.02%DAPr	23	0.344126508718492
HB14D068	14d	Control	404	4.54161321400463
HB14D070	14d	0.03%DAPr	180	1.79033239041374
HB14D073	14d	Control	122	2.22971933743006
HB14D074	14d	Control	526	5.04590973876469
HB14D075	14d	0.03%DAPr	28	0.579709488431972
HB14D076	14d	0.03%DAPr	133	0.823686837990108
HB14D077	14d	Control	253	3.97940531447974
HB14D078	14d	Control	301	3.51225296898492
HB14D079	14d	Control	357	3.38514697957245
HB14D080	14d	0.03%DAPr	38	0.665411600664553
HB14D081	14d	0.03%DAPr	78	0.753332353450099
HB14D082	14d	0.02%DAPr	96	0.808834121391716
HB14D085	14d	0.02%DAPr	67	0.555653926137883
HB14D086	14d	0.03%DAPr	66	0.813324192892937
HB14D087	14d	Control	478	4.7445383883457
HB14D088	14d	Control	507	4.94017094187618
HB14D089	14d	0.03%DAPr	175	1.61625774429618
HB14D090	14d	0.03%DAPr	176	2.44902402781296
HB14D091	14d	0.02%DAPr	27	0.48285801927825
HB14D094	14d	0.03%DAPr	385	4.07153731951692
HB14D095	14d	Control	465	4.89254202370528
HB14D096	14d	0.03%DAPr	51	0.594406774729733
HB14D098	14d	0.02%DAPr	209	2.17760522343113
HB14D099	14d	0.02%DAPr	49	0.499552563796611
