Sample_id	g__Streptococcus	g__Staphylococcus	g__Corynebacterium	g__Aerococcus	g__Phocaeicola	g__Enterococcus_E	g__Microaceticoccus	g__Gleimia	g__Anaerococcus	g__Jeotgalicoccus	Others
HB001	0.199943036	0.149846514	0.066616032	0.168011646	0.0023102	0.031045286	0.046836925	0.028355328	0.010443368	0.032311149	0.264280515
HB002	0.167686624	0.107842861	0.209171155	0.044079077	0.015933895	0.02543783	0.06779661	0.062353704	0.089934854	0.002058716	0.207704673
HB004	0.784031906	0.0119397	0.056011237	0.005994933	0.004565179	0.017608548	0.012993202	0.00612035	0.003110342	0.001931422	0.09569318
HB005	0.273552111	0.10188242	0.073460286	0.118804521	0.010756685	0.023502919	0.045081878	0.052580948	0.02523011	0.017774766	0.257373358
HB006	0.083033884	0.203882793	0.086579043	0.201591704	0.008513204	0.013939467	0.041553117	0.010611359	0.08018811	0.019076329	0.25103099
HB007	0.757566013	0.025833423	0.007324829	0.024975882	0.000142924	0.056526244	0.015292815	0.009504413	0.002822739	0.003394433	0.096616286
HB010	0.751365498	0.026911698	0.010326582	0.055331133	0.003043924	0.027110833	0.003868912	0.006144743	0.003982704	0.009160218	0.102753755
HB011	0.204392994	0.094735433	0.107666828	0.084932332	0.057848336	0.015942587	0.069960018	0.061913445	0.025996621	0.00997039	0.266641016
HB013	0.848407038	0.02253923	0.01363132	0.011031859	0.002662863	0.010873356	0.007956887	0.00722777	0.004628309	0.001838643	0.069202726
HB014	0.127703241	0.242510568	0.048643019	0.187526803	0.018960975	0.009526435	0.024597194	0.011456227	0.020155609	0.011976965	0.296942964
HB016	0.103985571	0.188331371	0.099877251	0.157093114	0.004884892	0.010546356	0.032966758	0.027580851	0.007490168	0.025927503	0.341316165
HB018	0.737081081	0.030582583	0.020516517	0.031207207	0.007927928	0.01354955	0.002546547	0.004084084	0.002978979	0.006486486	0.143039039
HB020	0.194201347	0.002927659	0.000755525	0.001448089	0.260970849	0.004249827	0.000849965	0.001164767	0.000692564	0.000503683	0.532235724
HB021	0.449611976	0.020309318	0.046122516	0.004265507	0.022951181	0.148302053	0.03767406	0.027244207	0.02391436	0.000330233	0.219274589
HB022	0.318966474	0.099356128	0.023146092	0.080650533	0.099439387	0.013432504	0.016013544	0.002775311	0.005828153	0.00946381	0.330928064
HB026	0.260527098	0.110299217	0.071906272	0.028831864	0.07200535	0.022540375	0.031928069	0.052561181	0.0124839	0.003542059	0.333374616
HB027	0.451079958	0.080444131	0.067713015	0.066911247	0.01044729	0.007944799	0.025000607	0.02174494	0.020845988	0.005345125	0.242522899
HB028	0.422676846	0	0	0	0.097694759	0.004249747	0	0	0	0	0.475378647
HB029	0.200598924	0.23177937	0.095240986	0.081805674	0.010197888	0.010501396	0.026263607	0.018979402	0.045809558	0.009388531	0.269434665
HB030	0.071418841	0.019889653	0.064930863	0.002877869	0.212723929	0.007731081	0.022103399	0.017846196	0.007731081	0.000391663	0.572355425
HB031	0.373491887	0.041050415	0.026681531	0.097881828	0.074767744	0.011123498	0.023510467	0.005227301	0.006243032	0.007085346	0.33293695
HB032	0.43508507	0.084719713	0.038557985	0.13905142	0.016987084	0.010488851	0.009976542	0.003370453	0.020357538	0.006713943	0.234691401
HB033	0.237917882	0.158783935	0.063921921	0.171124074	0.007650886	0.016356293	0.030715728	0.021696208	0.012317702	0.035562037	0.243953332
HB034	0.295986585	0.006663284	0.003883238	0.005626282	0.281976039	0.005030558	0.001390023	0.000992873	0.000617788	0.00028683	0.3975465
HB035	0.120633824	0.043154441	0.026294201	0.017702172	0.303117309	0.010167955	0.003605198	0.003756314	0.031129917	0.001100989	0.43933768
HB036	0.159964293	0.152017244	0.078164123	0.067190664	0.016721461	0.024211283	0.023449237	0.011648414	0.009667095	0.006749548	0.450216639
HB037	0.129814675	0.02323825	0.040870272	0.003630977	0.234067275	0.009905304	0.014523906	0.034276419	0.001074769	0	0.508598153
HB038	0.185363516	0.096184565	0.060905481	0.033590434	0.172584547	0.00556798	0.04212496	0.037378486	0.03217562	0.005248505	0.328875907
HB039	0.123857354	0.159629067	0.084693495	0.228705478	0.0123571	0.013722769	0.013106016	0.019493821	0.02315029	0.020925571	0.300359039
HB040	0.595676321	0.028480286	0.013677881	0.038050213	0.001767109	0.017854684	0.00945518	0.005875063	0.003373571	0.006265204	0.279524487
HB041	0.710989441	0.047259329	0.027067081	0.058168495	0.000535167	0.012411749	0.005331083	0.004693	0.007656999	0.005042916	0.12084474
HB042	0.183563558	0.184712802	0.074498051	0.242963697	0.000585889	0.005227933	0.013971201	0.012776889	0.009261554	0.040967168	0.231471258
