Sample_id	Day	Group
HB001	0d	Control
HB002	0d	0.03%DAPr
HB004	0d	0.02%DAPr
HB005	0d	0.03%DAPr
HB006	0d	Control
HB007	0d	0.03%DAPr
HB010	0d	0.02%DAPr
HB011	0d	0.02%DAPr
HB013	0d	Control
HB014	0d	0.02%DAPr
HB016	0d	Control
HB018	0d	0.02%DAPr
HB020	0d	0.03%DAPr
HB021	0d	0.02%DAPr
HB022	0d	0.03%DAPr
HB026	0d	0.02%DAPr
HB027	0d	Control
HB028	0d	0.02%DAPr
HB029	0d	0.03%DAPr
HB030	0d	0.03%DAPr
HB031	0d	0.02%DAPr
HB032	0d	0.03%DAPr
HB033	0d	0.02%DAPr
HB034	0d	0.02%DAPr
HB035	0d	Control
HB036	0d	Control
HB037	0d	0.02%DAPr
HB038	0d	Control
HB039	0d	Control
HB040	0d	0.03%DAPr
HB041	0d	0.03%DAPr
HB042	0d	0.02%DAPr
HB043	0d	Control
HB044	0d	0.02%DAPr
HB045	0d	0.03%DAPr
HB046	0d	0.02%DAPr
HB048	0d	Control
HB049	0d	0.03%DAPr
HB050	0d	Control
HB052	0d	0.02%DAPr
HB053	0d	0.03%DAPr
HB054	0d	0.03%DAPr
HB055	0d	Control
HB057	0d	Control
HB058	0d	0.02%DAPr
HB059	0d	0.02%DAPr
HB060	0d	Control
HB061	0d	0.02%DAPr
HB062	0d	0.03%DAPr
HB064	0d	Control
HB066	0d	0.02%DAPr
HB068	0d	Control
HB070	0d	0.03%DAPr
HB073	0d	Control
HB074	0d	Control
HB075	0d	0.03%DAPr
HB076	0d	0.03%DAPr
HB077	0d	Control
HB078	0d	Control
HB079	0d	Control
HB080	0d	0.03%DAPr
HB081	0d	0.03%DAPr
HB082	0d	0.02%DAPr
HB085	0d	0.02%DAPr
HB086	0d	0.03%DAPr
HB087	0d	Control
HB088	0d	Control
HB089	0d	0.03%DAPr
HB090	0d	0.03%DAPr
HB091	0d	0.02%DAPr
HB094	0d	0.03%DAPr
HB095	0d	Control
HB096	0d	0.03%DAPr
HB098	0d	0.02%DAPr
HB099	0d	0.02%DAPr
HB14D001	14d	Control
HB14D002	14d	0.03%DAPr
HB14D004	14d	0.02%DAPr
HB14D005	14d	0.03%DAPr
HB14D006	14d	Control
HB14D007	14d	0.03%DAPr
HB14D010	14d	0.02%DAPr
HB14D011	14d	0.02%DAPr
HB14D013	14d	Control
HB14D014	14d	0.02%DAPr
HB14D016	14d	Control
HB14D018	14d	0.02%DAPr
HB14D020	14d	0.03%DAPr
HB14D021	14d	0.02%DAPr
HB14D022	14d	0.03%DAPr
HB14D026	14d	0.02%DAPr
HB14D027	14d	Control
HB14D028	14d	0.02%DAPr
HB14D029	14d	0.03%DAPr
HB14D030	14d	0.03%DAPr
HB14D031	14d	0.02%DAPr
HB14D032	14d	0.03%DAPr
HB14D033	14d	0.02%DAPr
HB14D034	14d	0.02%DAPr
HB14D035	14d	Control
HB14D036	14d	Control
HB14D037	14d	0.02%DAPr
HB14D038	14d	Control
HB14D039	14d	Control
HB14D040	14d	0.03%DAPr
HB14D041	14d	0.03%DAPr
HB14D042	14d	0.02%DAPr
HB14D043	14d	Control
HB14D044	14d	0.02%DAPr
HB14D045	14d	0.03%DAPr
HB14D046	14d	0.02%DAPr
HB14D048	14d	Control
HB14D049	14d	0.03%DAPr
HB14D050	14d	Control
HB14D052	14d	0.02%DAPr
HB14D053	14d	0.03%DAPr
HB14D054	14d	0.03%DAPr
HB14D055	14d	Control
HB14D057	14d	Control
HB14D058	14d	0.02%DAPr
HB14D059	14d	0.02%DAPr
HB14D060	14d	Control
HB14D061	14d	0.02%DAPr
HB14D062	14d	0.03%DAPr
HB14D064	14d	Control
HB14D066	14d	0.02%DAPr
HB14D068	14d	Control
HB14D070	14d	0.03%DAPr
HB14D073	14d	Control
HB14D074	14d	Control
HB14D075	14d	0.03%DAPr
HB14D076	14d	0.03%DAPr
HB14D077	14d	Control
HB14D078	14d	Control
HB14D079	14d	Control
HB14D080	14d	0.03%DAPr
HB14D081	14d	0.03%DAPr
HB14D082	14d	0.02%DAPr
HB14D085	14d	0.02%DAPr
HB14D086	14d	0.03%DAPr
HB14D087	14d	Control
HB14D088	14d	Control
HB14D089	14d	0.03%DAPr
HB14D090	14d	0.03%DAPr
HB14D091	14d	0.02%DAPr
HB14D094	14d	0.03%DAPr
HB14D095	14d	Control
HB14D096	14d	0.03%DAPr
HB14D098	14d	0.02%DAPr
HB14D099	14d	0.02%DAPr
