Sample_id	Day	Group	RA
HB001	0d	Control	0
HB002	0d	0.03%DAPr	0
HB004	0d	0.02%DAPr	0
HB005	0d	0.03%DAPr	0
HB006	0d	Control	0
HB007	0d	0.03%DAPr	0
HB010	0d	0.02%DAPr	0
HB011	0d	0.02%DAPr	0
HB013	0d	Control	0
HB014	0d	0.02%DAPr	0
HB016	0d	Control	0
HB018	0d	0.02%DAPr	0
HB020	0d	0.03%DAPr	0
HB021	0d	0.02%DAPr	0
HB022	0d	0.03%DAPr	0
HB026	0d	0.02%DAPr	0
HB027	0d	Control	0
HB028	0d	0.02%DAPr	0
HB029	0d	0.03%DAPr	0
HB030	0d	0.03%DAPr	0
HB031	0d	0.02%DAPr	0
HB032	0d	0.03%DAPr	0
HB033	0d	0.02%DAPr	0
HB034	0d	0.02%DAPr	0
HB035	0d	Control	0
HB036	0d	Control	0
HB037	0d	0.02%DAPr	0
HB038	0d	Control	0
HB039	0d	Control	0
HB040	0d	0.03%DAPr	0
HB041	0d	0.03%DAPr	0
HB042	0d	0.02%DAPr	0
HB043	0d	Control	0
HB044	0d	0.02%DAPr	0
HB045	0d	0.03%DAPr	0
HB046	0d	0.02%DAPr	0
HB048	0d	Control	0
HB049	0d	0.03%DAPr	0
HB050	0d	Control	0
HB052	0d	0.02%DAPr	0
HB053	0d	0.03%DAPr	0
HB054	0d	0.03%DAPr	0
HB055	0d	Control	0
HB057	0d	Control	0
HB058	0d	0.02%DAPr	0
HB059	0d	0.02%DAPr	0
HB060	0d	Control	0
HB061	0d	0.02%DAPr	0
HB062	0d	0.03%DAPr	0
HB064	0d	Control	0
HB066	0d	0.02%DAPr	0
HB068	0d	Control	0
HB070	0d	0.03%DAPr	0
HB073	0d	Control	0
HB074	0d	Control	0
HB075	0d	0.03%DAPr	0
HB076	0d	0.03%DAPr	0
HB077	0d	Control	0
HB078	0d	Control	0
HB079	0d	Control	0
HB080	0d	0.03%DAPr	0
HB081	0d	0.03%DAPr	0
HB082	0d	0.02%DAPr	0
HB085	0d	0.02%DAPr	0
HB086	0d	0.03%DAPr	0
HB087	0d	Control	0
HB088	0d	Control	0
HB089	0d	0.03%DAPr	0
HB090	0d	0.03%DAPr	0.00579581858034058
HB091	0d	0.02%DAPr	0
HB094	0d	0.03%DAPr	0
HB095	0d	Control	0
HB096	0d	0.03%DAPr	0
HB098	0d	0.02%DAPr	0
HB099	0d	0.02%DAPr	0
HB14D001	14d	Control	0.0112831686250097
HB14D002	14d	0.03%DAPr	0.00109445817882159
HB14D004	14d	0.02%DAPr	0.00896923247806287
HB14D005	14d	0.03%DAPr	0.0128663965216363
HB14D006	14d	Control	0.00455203807159114
HB14D007	14d	0.03%DAPr	0.010932636035363
HB14D010	14d	0.02%DAPr	0.0105390672319806
HB14D011	14d	0.02%DAPr	0.0168599576006983
HB14D013	14d	Control	0.00337569222614348
HB14D014	14d	0.02%DAPr	0.0380324806724433
HB14D016	14d	Control	0.00105857971403438
HB14D018	14d	0.02%DAPr	0.00405408939921011
HB14D020	14d	0.03%DAPr	0.00722053579322743
HB14D021	14d	0.02%DAPr	0.00137712593816705
HB14D022	14d	0.03%DAPr	0.00630547606344279
HB14D026	14d	0.02%DAPr	0.00669302591463415
HB14D027	14d	Control	0.0203266961534163
HB14D028	14d	0.02%DAPr	0.00894169219656779
HB14D029	14d	0.03%DAPr	0.00558443563744917
HB14D030	14d	0.03%DAPr	0.00356090083716543
HB14D031	14d	0.02%DAPr	0.00127177218689522
HB14D032	14d	0.03%DAPr	0.000636152549381342
HB14D033	14d	0.02%DAPr	0.014968171130355
HB14D034	14d	0.02%DAPr	0.0157534024101082
HB14D035	14d	Control	0.0207977434349052
HB14D036	14d	Control	0.00142875983646195
HB14D037	14d	0.02%DAPr	0
HB14D038	14d	Control	0.000660984519046791
HB14D039	14d	Control	0.00253344944976645
HB14D040	14d	0.03%DAPr	0.00726519337016575
HB14D041	14d	0.03%DAPr	0.000364135458390521
HB14D042	14d	0.02%DAPr	0.00193118669451779
HB14D043	14d	Control	0.00645871778082029
HB14D044	14d	0.02%DAPr	0.00342454689367751
HB14D045	14d	0.03%DAPr	0.000185666542888971
HB14D046	14d	0.02%DAPr	0.00129544166464254
HB14D048	14d	Control	0.00184644559223495
HB14D049	14d	0.03%DAPr	0
HB14D050	14d	Control	0.00085127849418293
HB14D052	14d	0.02%DAPr	0.0015450439743285
HB14D053	14d	0.03%DAPr	0.000698285012010502
HB14D054	14d	0.03%DAPr	0.00106804209648849
HB14D055	14d	Control	0.00463999568372495
HB14D057	14d	Control	0.0136266068543038
HB14D058	14d	0.02%DAPr	0
HB14D059	14d	0.02%DAPr	0.00540918754541296
HB14D060	14d	Control	0.00109415490930032
HB14D061	14d	0.02%DAPr	0.0119315197983405
HB14D062	14d	0.03%DAPr	0.000464442805234544
HB14D064	14d	Control	0.00112425457033923
HB14D066	14d	0.02%DAPr	0.000842773219641573
HB14D068	14d	Control	0.00170842824601367
HB14D070	14d	0.03%DAPr	0.0040855354659249
HB14D073	14d	Control	0.00031636670416198
HB14D074	14d	Control	0.00439976194524741
HB14D075	14d	0.03%DAPr	0.00103814582327378
HB14D076	14d	0.03%DAPr	0.000724675190227237
HB14D077	14d	Control	0.0372672594894817
HB14D078	14d	Control	0.0045478968375806
HB14D079	14d	Control	0.000810936051899907
HB14D080	14d	0.03%DAPr	0.00141316703019877
HB14D081	14d	0.03%DAPr	0.0031938844965705
HB14D082	14d	0.02%DAPr	0.00809481108068152
HB14D085	14d	0.02%DAPr	0.00648778905417304
HB14D086	14d	0.03%DAPr	0.00657960924767098
HB14D087	14d	Control	0.0184870678979585
HB14D088	14d	Control	0.006230469
HB14D089	14d	0.03%DAPr	0.00335460106557916
HB14D090	14d	0.03%DAPr	0.00567677842824197
HB14D091	14d	0.02%DAPr	0.00320806599450046
HB14D094	14d	0.03%DAPr	0.00150672937918677
HB14D095	14d	Control	0.00455169707671179
HB14D096	14d	0.03%DAPr	0.00203176948651644
HB14D098	14d	0.02%DAPr	0.00587368376086631
HB14D099	14d	0.02%DAPr	0.00763107189940168
