Sample_id	Day	Group	RA
HB001	0d	Control	0.0023101996898636
HB002	0d	0.03%DAPr	0.0159338954849263
HB004	0d	0.02%DAPr	0.00456517922090952
HB005	0d	0.03%DAPr	0.0107566846673517
HB006	0d	Control	0.00851320390690944
HB007	0d	0.03%DAPr	0.00014292350019652
HB010	0d	0.02%DAPr	0.00304392353208921
HB011	0d	0.02%DAPr	0.0578483363166435
HB013	0d	Control	0.00266286257727057
HB014	0d	0.02%DAPr	0.018960975310911
HB016	0d	Control	0.00488489190610987
HB018	0d	0.02%DAPr	0.00792792792792793
HB020	0d	0.03%DAPr	0.260970849335768
HB021	0d	0.02%DAPr	0.0229511805823105
HB022	0d	0.03%DAPr	0.0994393872113677
HB026	0d	0.02%DAPr	0.0720053502427425
HB027	0d	Control	0.0104472897786632
HB028	0d	0.02%DAPr	0.0976947594692758
HB029	0d	0.03%DAPr	0.0101978875804298
HB030	0d	0.03%DAPr	0.212723928887678
HB031	0d	0.02%DAPr	0.0747677443329617
HB032	0d	0.03%DAPr	0.0169870844231132
HB033	0d	0.02%DAPr	0.00765088624635405
HB034	0d	0.02%DAPr	0.28197603865587
HB035	0d	Control	0.303117309269893
HB036	0d	Control	0.0167214613860524
HB037	0d	0.02%DAPr	0.234067274734213
HB038	0d	Control	0.17258454657478
HB039	0d	Control	0.0123571003766603
HB040	0d	0.03%DAPr	0.00176710882636435
HB041	0d	0.03%DAPr	0.000535166622069448
HB042	0d	0.02%DAPr	0.000585889086689051
HB043	0d	Control	0.021835049213712
HB044	0d	0.02%DAPr	0.127275482153293
HB045	0d	0.03%DAPr	0.0758057882546486
HB046	0d	0.02%DAPr	0.0201468189233279
HB048	0d	Control	0.00268685881778212
HB049	0d	0.03%DAPr	0.381936167395047
HB050	0d	Control	0.0084936914076267
HB052	0d	0.02%DAPr	0.00828122359303701
HB053	0d	0.03%DAPr	0.00330925867774584
HB054	0d	0.03%DAPr	0.145780799711816
HB055	0d	Control	0.0480365431371104
HB057	0d	Control	0.00882053601718874
HB058	0d	0.02%DAPr	0.048625102096379
HB059	0d	0.02%DAPr	0.0306401468329775
HB060	0d	Control	0.010018367006178
HB061	0d	0.02%DAPr	0.00332891863836489
HB062	0d	0.03%DAPr	0.0251228501228501
HB064	0d	Control	0.000571412245364418
HB066	0d	0.02%DAPr	0.00763962065331928
HB068	0d	Control	0.0907978923598043
HB070	0d	0.03%DAPr	0.00227602586093152
HB073	0d	Control	0.0519259713473438
HB074	0d	Control	0.00303174414457258
HB075	0d	0.03%DAPr	0.024765114379085
HB076	0d	0.03%DAPr	0.00633397312859885
HB077	0d	Control	0.0131990521327014
HB078	0d	Control	0.00283840447263735
HB079	0d	Control	0.000874210781932977
HB080	0d	0.03%DAPr	0.0178538275883409
HB081	0d	0.03%DAPr	0.0024549145500897
HB082	0d	0.02%DAPr	0.00495398139828553
HB085	0d	0.02%DAPr	0.00118567161456552
HB086	0d	0.03%DAPr	0.00191728858285573
HB087	0d	Control	0.00066711140760507
HB088	0d	Control	0.00483558994197292
HB089	0d	0.03%DAPr	0.000200830097737314
HB090	0d	0.03%DAPr	0.0520569887034227
HB091	0d	0.02%DAPr	0.00464371858163702
HB094	0d	0.03%DAPr	0
HB095	0d	Control	0.00168693712077926
HB096	0d	0.03%DAPr	0.000780202364988419
HB098	0d	0.02%DAPr	0.0219791370702602
HB099	0d	0.02%DAPr	0.023542600896861
HB14D001	14d	Control	0.157824293829274
HB14D002	14d	0.03%DAPr	0.0389112072517511
HB14D004	14d	0.02%DAPr	0.000360990780850828
HB14D005	14d	0.03%DAPr	0.000147889615191221
HB14D006	14d	Control	0.0026522205293155
HB14D007	14d	0.03%DAPr	0.000298841987299216
HB14D010	14d	0.02%DAPr	7.26832222895215e-05
HB14D011	14d	0.02%DAPr	0
HB14D013	14d	Control	0.055196752639875
HB14D014	14d	0.02%DAPr	0.00614849789861464
HB14D016	14d	Control	0.264585290214847
HB14D018	14d	0.02%DAPr	0
HB14D020	14d	0.03%DAPr	0
HB14D021	14d	0.02%DAPr	0.260689940095022
HB14D022	14d	0.03%DAPr	0
HB14D026	14d	0.02%DAPr	0.0473513719512195
HB14D027	14d	Control	0.0489724879045779
HB14D028	14d	0.02%DAPr	0.00254053650153179
HB14D029	14d	0.03%DAPr	0.000308816717278295
HB14D030	14d	0.03%DAPr	0
HB14D031	14d	0.02%DAPr	0.0407888673854944
HB14D032	14d	0.03%DAPr	0
HB14D033	14d	0.02%DAPr	0
HB14D034	14d	0.02%DAPr	0
HB14D035	14d	Control	0.0278892376147153
HB14D036	14d	Control	0.0130566668132061
HB14D037	14d	0.02%DAPr	0.0200122140273406
HB14D038	14d	Control	0.164619933901548
HB14D039	14d	Control	0.0204787163856121
HB14D040	14d	0.03%DAPr	0
HB14D041	14d	0.03%DAPr	0.0118203971877538
HB14D042	14d	0.02%DAPr	0.00281795609506168
HB14D043	14d	Control	0.0288112387642122
HB14D044	14d	0.02%DAPr	0.0357315930604465
HB14D045	14d	0.03%DAPr	0.553286297809135
HB14D046	14d	0.02%DAPr	0.0372709362264864
HB14D048	14d	Control	0.0100057389525164
HB14D049	14d	0.03%DAPr	0.148684585430715
HB14D050	14d	Control	0.0865676661306765
HB14D052	14d	0.02%DAPr	0
HB14D053	14d	0.03%DAPr	0.00374280766437629
HB14D054	14d	0.03%DAPr	0.000651245180785662
HB14D055	14d	Control	0.0195850980603739
HB14D057	14d	Control	0.000361768323565589
HB14D058	14d	0.02%DAPr	0.20628687955571
HB14D059	14d	0.02%DAPr	0
HB14D060	14d	Control	0.0398694692388905
HB14D061	14d	0.02%DAPr	0.000126037180968386
HB14D062	14d	0.03%DAPr	0.0759500587383548
HB14D064	14d	Control	0.266766057288102
HB14D066	14d	0.02%DAPr	0
HB14D068	14d	Control	0.0838268792710706
HB14D070	14d	0.03%DAPr	0.00678025034770515
HB14D073	14d	Control	0.00193335208098988
HB14D074	14d	Control	0.0155373235844244
HB14D075	14d	0.03%DAPr	9.65717044905843e-05
HB14D076	14d	0.03%DAPr	0.00372690097831151
HB14D077	14d	Control	0.353880687214021
HB14D078	14d	Control	0.0330058335891925
HB14D079	14d	Control	0.0570744516527649
HB14D080	14d	0.03%DAPr	0.000337931246351879
HB14D081	14d	0.03%DAPr	0.00243468244410702
HB14D082	14d	0.02%DAPr	0.000581663071665738
HB14D085	14d	0.02%DAPr	0
HB14D086	14d	0.03%DAPr	0.000482907100746494
HB14D087	14d	Control	0.0222552453738103
HB14D088	14d	Control	0.033515625
HB14D089	14d	0.03%DAPr	0.00567870376460786
HB14D090	14d	0.03%DAPr	0.00337058719176867
HB14D091	14d	0.02%DAPr	0
HB14D094	14d	0.03%DAPr	0.00207684319833853
HB14D095	14d	Control	0.00360996664704728
HB14D096	14d	0.03%DAPr	9.23531584780199e-05
HB14D098	14d	0.02%DAPr	0.00510476515944382
HB14D099	14d	0.02%DAPr	0
