Sample_id	Day	Group	RA
HB001	0d	Control	0.199943036172031
HB002	0d	0.03%DAPr	0.167686623988268
HB004	0d	0.02%DAPr	0.784031906087742
HB005	0d	0.03%DAPr	0.27355211089005
HB006	0d	Control	0.083033883998553
HB007	0d	0.03%DAPr	0.757566012791653
HB010	0d	0.02%DAPr	0.751365498406919
HB011	0d	0.02%DAPr	0.204392993960888
HB013	0d	Control	0.848407037565383
HB014	0d	0.02%DAPr	0.127703240825829
HB016	0d	Control	0.103985570780831
HB018	0d	0.02%DAPr	0.737081081081081
HB020	0d	0.03%DAPr	0.194201347352515
HB021	0d	0.02%DAPr	0.449611976443393
HB022	0d	0.03%DAPr	0.318966474245115
HB026	0d	0.02%DAPr	0.260527097988705
HB027	0d	Control	0.451079958210841
HB028	0d	0.02%DAPr	0.42267684629259
HB029	0d	0.03%DAPr	0.200598923556311
HB030	0d	0.03%DAPr	0.0714188406784279
HB031	0d	0.02%DAPr	0.373491886535365
HB032	0d	0.03%DAPr	0.435085070240246
HB033	0d	0.02%DAPr	0.237917881983397
HB034	0d	0.02%DAPr	0.295986585177504
HB035	0d	Control	0.120633824100859
HB036	0d	Control	0.159964292712665
HB037	0d	0.02%DAPr	0.129814674954976
HB038	0d	Control	0.185363516042171
HB039	0d	Control	0.123857353686205
HB040	0d	0.03%DAPr	0.595676320741727
HB041	0d	0.03%DAPr	0.71098944075088
HB042	0d	0.02%DAPr	0.183563557698808
HB043	0d	Control	0.299875551532979
HB044	0d	0.02%DAPr	0.433126258144116
HB045	0d	0.03%DAPr	0.235534774985389
HB046	0d	0.02%DAPr	0.164641109298532
HB048	0d	Control	0.68676999600302
HB049	0d	0.03%DAPr	0.141603761091246
HB050	0d	Control	0.220624515401424
HB052	0d	0.02%DAPr	0.0236324714100614
HB053	0d	0.03%DAPr	0.103021812121066
HB054	0d	0.03%DAPr	0.0218614913544669
HB055	0d	Control	0.0134826493774405
HB057	0d	Control	0.0595951600135701
HB058	0d	0.02%DAPr	0.0287231146202015
HB059	0d	0.02%DAPr	0.0143649099149717
HB060	0d	Control	0.105832915901375
HB061	0d	0.02%DAPr	0.0280273472455883
HB062	0d	0.03%DAPr	0.0307125307125307
HB064	0d	Control	0.681951944230165
HB066	0d	0.02%DAPr	0.0412156336813871
HB068	0d	Control	0.013580479237235
HB070	0d	0.03%DAPr	0.0446628842855258
HB073	0d	Control	0.0315234962929929
HB074	0d	Control	0.0407799310426822
HB075	0d	0.03%DAPr	0.0436325571895425
HB076	0d	0.03%DAPr	0.0330134357005758
HB077	0d	Control	0.0386255924170616
HB078	0d	Control	0.594452209439845
HB079	0d	Control	0.0323134207544115
HB080	0d	0.03%DAPr	0.0749736988675042
HB081	0d	0.03%DAPr	0.040482485128883
HB082	0d	0.02%DAPr	0.154933339809126
HB085	0d	0.02%DAPr	0.165081970951045
HB086	0d	0.03%DAPr	0.440770213994145
HB087	0d	Control	0.425700466977985
HB088	0d	Control	0.116433420563583
HB089	0d	0.03%DAPr	0.0519703664033561
HB090	0d	0.03%DAPr	0.128034901365706
HB091	0d	0.02%DAPr	0.181240278623115
HB094	0d	0.03%DAPr	0.174557406137839
HB095	0d	Control	0.392131254591462
HB096	0d	0.03%DAPr	0.0717054736072169
HB098	0d	0.02%DAPr	0.0647197304866664
HB099	0d	0.02%DAPr	0.0682696768207824
HB14D001	14d	Control	0.13412185822115
HB14D002	14d	0.03%DAPr	0.431190770498558
