sample-id	forward-absolute-filepath	reverse-absolute-filepath	batch	groups
HF_1	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_1.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_1.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_2	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_2.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_2.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_3	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_3.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_3.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_4	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_4.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_4.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_5	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_5.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_5.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_6	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_6.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_6.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_7	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_7.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_7.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_8	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_8.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_8.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_9	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_9.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_9.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_10	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_10.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_10.338F_806R.R2.raw.fastq.gz	chijunhao	HF
