ARG_type,Renamed_Drug_Class,Kingdom,Phylum,phylum_without_unknown,Class,Order,Family,Genus,genus_without_unknown,Species,orf_count
tet(Q),tetracycline,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,NA,NA,Other,NA,3127
tet(32),tetracycline,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,1920
tet(W),tetracycline,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,1372
tet(32),tetracycline,k_Bacteria,p_unknown,Other,c_unknown,o_unknown,f_unknown,g_unknown,Other,s_uncultured bacterium,1289
lnuC,lincosamide,k_Bacteria,p_Firmicutes,p_Firmicutes,NA,NA,NA,NA,Other,NA,1203
poxtA,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Lactobacillaceae,g_Lactobacillus,g_Lactobacillus,NA,962
cfrE,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,NA,NA,Other,NA,922
vanYB,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,NA,NA,Other,NA,884
tet(W/N/W),tetracycline,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,750
nimA,nitroimidazole,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,NA,676
vanYG,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_unknown,Other,s_[Clostridium] leptum,673
fexA,phenicol,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,NA,NA,NA,Other,NA,662
tet(44),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Clostridiaceae,g_Clostridium,g_Clostridium,NA,653
Erm(52),multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,NA,NA,Other,NA,615
tet(M),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Lactobacillaceae,g_Ligilactobacillus,g_Ligilactobacillus,NA,598
tet(A),tetracycline,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Escherichia,g_Escherichia,s_Escherichia coli,591
Campylobacter coli chloramphenicol acetyltransferase,phenicol,k_Bacteria,p_unknown,Other,c_unknown,o_unknown,f_unknown,g_unknown,Other,s_uncultured bacterium,560
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,aminoglycoside,k_unknown,p_unknown,Other,c_unknown,o_unknown,f_unknown,g_unknown,Other,s_synthetic Mycoplasma genitalium JCVI-1.0,558
ANT(6)-Ib,aminoglycoside,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,533
vanYG,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,NA,533
vanG,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,NA,NA,Other,NA,515
