traits	g__Phocaeicola	s__Phocaeicola_coprocola	MAG8727	MAG19359	MAG21658
BW	0.00771564199951882	0.0739178625482563	0.00356250484874189	-0.010413626	-0.004923701
HM	-0.043148043	0.0202643021947018	-0.073848522	-0.064542095	-0.053834711
LIPID-N-0008	0.0875798757154689	0.00484344184439934	-0.051735024	0.0335503300646015	-0.001269876
LIPID-N-0010	0.0625978105396992	0.0631360680322052	-0.054333344	0.0522877267416458	0.00956340080053854
LIPID-N-0014	-0.029374869	-0.004747528	-0.110018903	0.010655681489227	-0.002692458
LIPID-N-0015	-0.01466104	-0.04718602	-0.01867065	-0.07590375	-0.089588501
LIPID-N-0016	-0.092016824	-0.047197126	0.00583987160706559	-0.070436073	-0.085196339
LIPID-N-0017	-0.078465984	-0.035190888	-0.029238646	-0.030673711	-0.042353384
LIPID-P-0028	-0.006549693	0.0436661673614489	0.0651887585771751	-0.00572202	0.0680937176407187
LIPID-P-0029	0.0317684402430165	0.0569684542364156	0.00135467619225559	0.0343673313428512	0.0396731027668094
LIPID-P-0030	-0.029323931	0.00522379142128936	0.0949962630138095	-0.011218421	0.00382179388370444
LIPID-P-0031	0.0158062530943887	0.00519741681559261	-0.059030004	-0.009814208	-0.008556925
LIPID-P-0032	0.00761254320576354	-0.039691931	-0.078605468	-0.023402326	-0.007255232
LIPID-P-0033	-0.016379554	-0.055365387	-0.137771541	-0.047430318	-0.045343563
LIPID-P-0034	-0.009866127	-0.00216048	0.0934420369195972	-0.021326142	0.0134982528436924
LIPID-P-0035	-0.006175269	-0.061776303	-0.137732525	-0.0335786	-0.037260832
LIPID-P-0036	-0.058701419	-0.035673144	0.00599986386726057	-0.058757055	-0.039055779
LIPID-P-0037	-0.014419967	-0.087175244	-0.126644868	-0.001894368	-0.023079555
LIPID-P-0040	0.02017795916101	-0.073112952	-0.107223986	0.0199522506665036	0.0019211907059856
LIPID-P-0039	-0.002464406	-0.07929664	-0.111279684	0.024134315049129	-0.02122387
LIPID-P-0027	-0.021238496	-0.046450076	-0.043513477	-0.00894972	0.0223084584705265
LIPID-P-0042	0.0147054604681723	-0.094463889	-0.091624614	0.0362874117498292	-0.01270812
LIPID-P-0043	-0.057587016	-0.14032327	-0.123765865	-0.008631268	-0.07804952
LIPID-P-0044	0.00317096757774724	-0.055743192	-0.021428136	0.0266745010477925	0.00208635883048948
LIPID-P-0045	0.0170069915832628	-0.075516743	-0.108473602	0.0121171921931503	-0.006850968
LIPID-P-0046	-0.130204129	-0.09043957	-0.04546322	-0.139559591	-0.094309148
LIPID-P-0047	-0.033676741	-0.086277554	-0.114302127	-0.028331644	-0.041408247
LIPID-P-0048	-0.030168381	-0.064984715	-0.109749599	-0.005078056	-0.042760296
LIPID-P-0038	0.0239356459695443	-0.066347171	-0.111807762	0.0171635128188008	0.00717522149933981
LIPID-P-0026	0.0389076287381372	0.0765124997700903	0.0740300224311753	-0.017306668	0.0342080498087208
LIPID-P-0023	-0.008403781	-0.075888301	-0.109539941	0.00349269783766621	-0.04559576
LIPID-P-0024	-0.002429702	-0.065723204	-0.080745088	0.00458419486718493	-0.057603436
LIPID-P-0003	-0.012441872	0.0200326698076356	0.0261044760067618	-0.031853553	0.0380747619359164
LIPID-P-0004	-0.031327013	0.01893789231503	0.046925390889236	-0.033316835	-0.017769844
LIPID-P-0005	0.0265527468917299	-0.022855447	-0.040365833	-0.003217276	0.0120104832518131
LIPID-P-0006	0.0393268461065071	0.0756287191230588	0.074951961267859	-0.017694205	0.0334364853970865
LIPID-P-0007	-0.05346826	-0.027895541	0.022128846183914	-0.033807453	-0.048104163
LIPID-P-0008	-0.028018157	-0.046689067	-0.051729007	-0.014087076	0.019039252561437
