g__Phocaeicola	s__Phocaeicola_coprocola	MAG8727	MAG19359	MAG21658
Homogentisic acid	3.153281148536e-06	0.000287752643344413	0.0123655680336511	4.11330161795696e-06	2.51180097425481e-05
Catechin	0.00535838270111428	0.0329913238465536	0.469272347386141	0.000758560457550827	0.00115213029145729
3-Methoxybenzenepropanoic acid	0.20766010268094	0.170687139828014	0.617440990384744	0.072362655143647	0.138836820646799
Acesulfame	1.12971018070899e-05	0.000470673325095865	0.000808963908354391	3.33333112553042e-08	3.33333112553042e-08
Tartaric acid	0.000520232072435022	0.0616975798078526	0.272991631914149	0.0011597385112057	0.0161475358936928
Mannose	0.00347391583001758	0.025550678605441	0.275875803637222	0.00862429585865485	0.0136409732265916
Tryptophol	3.48008998695052e-07	3.4411782347739e-05	0.000183715144586232	3.08430521927545e-09	1.40171777955234e-08
Umbelliferone	1.2156089391026e-06	8.81473868407107e-05	0.00232847495815351	9.59074622183415e-10	3.41433589022673e-09
Quinaldic acid	0.000461692430909653	0.0103187856822555	0.343480092083587	0.000296989371618853	0.00613000293446727
Isocitric acid	8.43580649139007e-08	0.000188549999774497	0.0557616627687033	6.89975220961982e-06	3.8559115874266e-05
3,3-Dimethylglutaric acid	4.00812811948225e-06	0.000140849606933527	0.180330494720883	9.29616709478739e-06	0.000125421559269167
Oxindole-3-acetic acid	1.10150277851791e-06	6.32819012888208e-06	6.61492601713074e-05	4.06864239857831e-10	4.06864239857831e-10
2,4'-Dihydroxyacetophenone	8.91135386116966e-09	9.25606810536294e-05	0.0415191433535848	1.5135691892402e-08	8.43580649139007e-08
3,5-Diiodo-L-tyrosine	0.00016692253411966	0.000182132757763801	0.270148546532606	0.000201254517241626	0.000938826872691661
Ribulose	0.000333445459302372	0.120394067699122	0.530751182588734	0.00121979354663114	0.00862429585865485
Arabinose	0.000956523759938505	0.15069371137325	0.391298299465715	0.00249556265912892	0.00848214549724327
Arabinonic acid	0.00128896846622752	0.480797077669266	0.831819377830867	0.0172887761676426	0.0218048805233039
Inosine	0.00825813711655815	0.00620798947111252	0.133359507833626	0.00253102207454549	0.0164021974723785
Syringic acid	2.5302580985793e-09	9.50074175754614e-06	0.0143766871225242	3.5746866249923e-09	7.42933652428891e-08
Guanosine (G)	0.000593036334430492	0.00221353419994426	0.0459043692066062	5.43562917832895e-05	0.000503596764626976
Heptacosanoic acid	0.000104221878913178	3.63115551969127e-05	0.32431402104897	1.13792793753914e-05	0.000104221878913178
Butyrylcarnitine(C4)	0.184119116165356	0.828134049025751	0.513043419621733	0.22826358828586	0.450938461387861
4-Hydroxycinnamic acid	7.42933652428891e-08	0.00157804951374233	0.129006280744547	9.45739658994176e-07	2.77571273458745e-06
Vanillymandelic Acid	4.8246334038838e-07	8.21277648368352e-05	0.00025637219892664	3.09460821091476e-08	1.14855988653339e-07
3-Phenylbutyric acid	0.0190114793101621	0.00816225337180205	0.136005229580939	0.00326991296963925	0.0130151690161532
Ascorbic acid	2.22069275938002e-06	0.00336933188391066	0.203503853011919	3.8559115874266e-05	0.00031915306508433
Quinolinic acid	6.73563114778311e-07	0.00451826623072272	0.0588828551771766	5.10823320170104e-05	7.33242263876389e-05
Indoleacetic acid	0.025550678605441	0.000404238791851698	0.00922386123280724	0.000758560457550827	0.00228885611330349
3,4-Dihydro-2H-1-benzopyran-2-one	0.408578640909118	0.22037699374723	0.559890506231146	0.623371044360756	0.376365141532562
Cysteic acid	0.0147127475643604	0.0769984076413143	0.831819377830867	0.0204380965069063	0.018206413759407
1,2,3-Propanetricarboxylic acid	1.40171777955234e-08	1.87339888243933e-06	6.61492601713074e-05	1.70341664076217e-07	1.34733310807866e-07
2,3-Diaminopropionic acid	3.65635315867951e-06	0.00535838270111428	0.0387851336065713	0.000585184803356697	0.00119002012760377
Glutaric acid	0.0218048805233039	0.00513491670183895	0.000201254517241626	0.000585184803356697	5.7740517930087e-05
Lactulose	0.0101645731426671	0.025550678605441	0.681461862620764	0.00857184835120108	0.0192840405431916
Vanillic acid	6.79998613001599e-08	7.23919180032076e-05	0.0329913238465536	1.00025887989004e-07	9.69603942269281e-07
Mandelic acid	0.00492989802592805	0.00899193238122839	0.415083092902793	0.0123284509491323	0.0178696214085809
