ARG_type,MGE_subtype,Family,gut_locations,Count
AAC(6')-IIa,Tn6300,f_Pseudomonadaceae,Feces,29
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,Tn6072,f_Enterococcaceae,Hindgut,21
ANT(2'')-Ia,Tn1412,f_Enterobacteriaceae,Feces,20
ANT(4')-Ia,repB(pKL0018),f_Staphylococcaceae,Feces,45
APH(3'')-Ib,Tn2,f_Enterobacteriaceae,Hindgut,76
ErmA,Tn6261,f_Enterococcaceae,Feces,116
ErmA,Tn6261,f_Enterococcaceae,Hindgut,97
ErmB,Tn917,f_Enterococcaceae,Feces,20
ErmG,Tn6994,f_Bacteroidaceae,Hindgut,71
ErmX,Tn5432,f_Bifidobacteriaceae,Hindgut,28
SAT-4,Tn6003,f_Lachnospiraceae,Feces,51
SAT-4,Tn6003,f_Lachnospiraceae,Hindgut,24
Vibrio anguillarum chloramphenicol acetyltransferase,repA(pEF418),f_Clostridiaceae,Hindgut,31
aad(6),Tn6003,f_Lachnospiraceae,Feces,61
aad(6),Tn6003,f_Lachnospiraceae,Hindgut,28
catA8,Tn6248,f_Lactobacillaceae,Feces,53
catA8,Tn6248,f_Lactobacillaceae,Hindgut,33
catA8,Tn6248,f_Pasteurellaceae,Hindgut,22
catA8,repA(pEF418),f_Lactobacillaceae,Feces,29
catA8,repB(pAMalpha1),f_Staphylococcaceae,Feces,25
catA8,repB(pLFE1),f_Enterococcaceae,Hindgut,77
catP,Tn4451,f_Clostridiaceae,Hindgut,76
dfrG,Tn6198,f_Staphylococcaceae,Feces,60
fexA,Tn558,f_Campylobacteraceae,Feces,26
fexA,Tn558,f_Staphylococcaceae,Feces,43
fexB,Tn6246,f_Lactobacillaceae,Feces,30
nimJ,Tn6994,f_Bacteroidaceae,Hindgut,141
nimJ,rep(pSGG1),f_Lachnospiraceae,Hindgut,56
poxtA,Tn6246,f_Enterococcaceae,Feces,76
sul2,Tn6300,f_Moraxellaceae,Feces,29
tet(45),rep(pSGG1),f_Campylobacteraceae,Feces,23
tet(45),repB(pAMalpha1),f_Enterococcaceae,Hindgut,20
tet(M),Tn2010,f_Enterococcaceae,Hindgut,32
tet(M),Tn6002,f_Enterococcaceae,Hindgut,26
tet(M),Tn6079,f_Streptococcaceae,Hindgut,29
tet(Q),Tn6994,f_Bacteroidaceae,Feces,43
tet(Q),Tn6994,f_Bacteroidaceae,Hindgut,163
tet(Q),Tn6994,f_Prevotellaceae,Hindgut,95
vatE,repA(pEF418),f_Lactobacillaceae,Feces,21
