ARG_type,MGE_subtype_clean,Total_nomalized_MGE_count
tet(32),Tn6994,0.374672
tet(32),rep(pSGG1),0.164663
tet(32),ICE,0.155616
tet(36),ICE,0.042391
tet(40),rep(pSGG1),4.094253
tet(40),repA(pEF418),0.1734
tet(44),Tn6073,0.6853739999999999
tet(44),Tn6198,0.212179
tet(45),Others,122.360376
tet(45),rep(pSGG1),63.018379
tet(45),Tn6079,54.058666
tet(45),repA(pEF418),53.919144
tet(A),Tn6303,7.353773
tet(A),Tn6168,4.555447
tet(A),Tn1721,1.220222
tet(A),Others,1.2031129999999999
tet(B),Tn10,0.144823
tet(C),Tn6303,1.9736690000000001
tet(C),ColRNAI,0.275634
tet(C),Tn6168,0.185082
tet(K),repC(Cassette),9.651168
tet(K),Others,3.291701
tet(K),repC(pS0385p1),2.1901
tet(K),rep(SAP060B),1.671668
tet(M),Tn6079,218.620113
tet(M),Others,176.561014
tet(M),Tn1116,118.035596
tet(M),Tn6084,40.655807
tet(O),rep(pSGG1),31.612031000000002
tet(O),repA(pEF418),5.579803
tet(O),Others,5.04097
tet(O),Tn6079,3.952429
tet(O/32/O),repA(pEF418),0.116645
tet(O/W/32/O),rep(pSGG1),1.800168
tet(O/W/32/O),repA(pSGG1),0.939935
tet(O/W/32/O),repA(pEF418),0.532024
tet(Q),Tn6994,605.409497
tet(Q),IS4351,1.046026
tet(Q),Tn4551,0.868779
tet(Q),Others,0.408436
tet(S),Tn6000,59.661966
tet(S),repA(pEF418),23.039864
tet(W),ISSag10,0.527704
tet(W),repA(pEF418),0.384989
tet(W),CDS(p121BS),0.26295
tet(W),Others,0.001012
tet(W/N/W),ICE,0.090229
