Sample,total_ARG_number,high_risk_ARG_number
BKDN170793833-1A,150,44
BKDN170793835-1A,110,32
BKDN170793836-1A,129,42
BKDN170793837-1A,112,26
BKDN170793838-1A,99,37
BKDN170793839-1A,147,34
BKDN170793840-1A,105,28
BKDN170793891-1A,93,24
BKDN170793892-1A,149,38
BKDN170793893-1A,129,35
BKDN170793894-1A,121,26
BKDN170793895-1A,155,39
BKDN170793896-1A,119,28
BKDN170793898-1A,139,41
BKDN170793899-1A,96,22
BKDN170793901-1A,88,21
BKDN170793902-1A,54,23
BKDN170793903-1A,144,33
BKDN170793904-1A,113,27
BKDN170793906-1A,143,46
BKDN170793907-1A,149,43
BKDN170793908-1A,110,31
BKDN170793909-1A,87,22
BKDN170793993-1A,123,26
BKDN170793994-1A,90,21
BKDN170793995-1A,105,25
BKDN170793998-1A,142,42
BKDN170794001-1A,111,34
BKDN170794002-1A,141,44
BKDN170794054-1A,131,32
BKDN170794056-1A,65,30
BKDN170794057-1A,109,27
BKDN170794058-1A,102,23
BKDN170794064-1A,106,31
BKDN170794065-1A,110,36
BKDN170794066-1A,115,30
BKDN170794067-1A,111,27
BKDN170794068-1A,82,33
BKDN170794148-1A,93,22
BKDN170794149-1A,84,29
BKDN170794152-1A,87,31
BKDN170794156-1A,11,8
BKDN170794158-1A,126,34
BKDN170794159-1A,143,46
BKDN170794160-1A,136,35
BKDN170794161-1A,130,42
BKDN170794163-1A,122,37
BKDN170794164-1A,125,43
BKDN170794165-1A,137,44
BKDN170794228-1A,132,41
BKDN170794322-1A,69,26
BKDN170794326-1A,131,36
BKDN170794327-1A,78,33
BKDN170794329-1A,81,27
BKDN170794330-1A,95,38
BKDN170794331-1A,112,39
BKDN170794385-1A,138,44
BKDN170794387-1A,127,40
BKDN170794392-1A,101,28
BKDN170794393-1A,83,32
BKDN170794394-1A,29,15
BKDN170794480-1A,93,35
BKDN170794548-1A,141,38
BKDN170794551-1A,83,30
BKDN170794553-1A,126,38
BKDN170794554-1A,135,37
BKDN170794805-1A,55,22
BKDN170794806-1A,41,20
BKDN170794809-1A,76,34
BKDN170794811-1A,96,35
BKDN170794972-1A,79,30
BKDN170795140-1A,106,45
BKDN170795141-1A,41,19
BKDN170795142-1A,70,30
BKDN170795145-1A,103,32
BKDN170795146-1A,115,36
BKDN170795147-1A,159,41
BKDN170795149-1A,40,15
BKDN170795572-1A,142,39
BKDN170795573-1A,175,47
BKDN170795574-1A,84,28
BKDN170795575-1A,103,28
BKDN170795576-1A,104,29
BKDN170795577-1A,106,29
BKDN170795578-1A,120,27
BKDN170795737-1A,104,27
BKDN170795738-1A,39,17
BKDN170795739-1A,90,27
BKDN170795740-1A,120,27
BKDN170795742-1A,110,31
BKDN170795743-1A,72,30
BKDN170795744-1A,180,38
BKDN170795745-1A,142,31
BKDN170795836-1A,34,15
BKDN170795837-1A,89,34
BKDN170795838-1A,32,15
BKDN170795907-1A,31,12
BKDN170795910-1A,109,32
BKDN170795911-1A,94,27
BKDN170795912-1A,103,26
BKDN170795916-1A,177,36
BKDN170795999-1A,87,37
BKDN170796000-1A,44,20
BKDN170796004-1A,126,26
BKDN170796006-1A,47,19
BKDN170796077-1A,99,34
BKDN170796080-1A,118,41
BKDN170796085-1A,66,26
BKDN170796086-1A,61,26
BKDN170796173-1A,42,23
BKDN170796245-1A,135,37
BKDN170796247-1A,117,34
BKDN170796249-1A,111,32
BKDN170796250-1A,87,28
BKDN170796251-1A,57,25
BKDN170796252-1A,99,30
BKDN170796253-1A,110,30
BKDN170796254-1A,93,45
BKDN170796413-1A,103,31
BKDN170796417-1A,67,28
BKDN170796418-1A,69,27
BKDN170796419-1A,97,36
BKDN170796420-1A,116,32
BKDN170796421-1A,90,32
BKDN170796422-1A,83,31
BKDN170796424-1A,86,31
CCH108,104,48
CCH108A,73,32
CCH111-1A,52,26
CCH112-2A,77,35
CCH119-1A,62,29
CCH127-1A,82,29
CCH150-1B,124,41
CCH151-2A,100,41
CCH156-3B,123,43
CCH157-2B,139,45
CCH162-1A,154,47
CCH180-3A,95,37
CCH186-1A,150,47
CCH186-2,178,53
CCH209-3,147,43
CCH209A,150,45
CCH210,198,63
CCH210A,129,40
CCH212-3,143,48
CCH212A,149,41
CCH221-1A,107,38
CCH227-3A,147,47
CCH247,204,62
CCH247A,160,46
CCH250-2A,154,46
CCH251-1A,159,44
CCH258,191,56
CCH258A,135,45
CCH259-3A,100,41
CCH263-2A,117,42
CCH277-1A,66,32
CCH287,43,21
CCH287A,40,23
CCH294-1A,96,40
CCH295-1A,108,40
CCH306-2A,115,41
CCH306-4,133,49
CCH323-3A,99,38
CCH324-4A,96,42
CCH325-1A,66,31
CCH326,108,55
CCH326A,75,32
CCH328,212,67
CCH328A,145,46
CCH340-2A,69,32
CCH346-1A,97,45
CCH57,157,69
CCH57A,107,48
CCH74-3A,50,26
CCH93-1A,61,28
CCH95-1A,62,29
CCS15B,87,28
CCS16B,83,36
CCS17A,66,32
CCS18A,134,41
CCS19A,91,39
CCS20A,94,30
CCS24A,91,43
CCS25B,195,42
CCS26A,45,23
CCS27A,41,20
CCS28B,62,21
