Sample,total_abundance,gut_locations
SRR21163517,2089.615376,CR
SRR29409635,1996.300838,CC
SRR29409639,1720.585665,CC
SRR29409659,1525.532679,CC
SRR29409638,1496.746462,CC
SRR29409658,1483.169313,CC
SRR29536174,1444.648885,CC
SRR29429245,1439.171756,CC
SRR29409660,1415.716241,CC
SRR29409662,1404.440425,CC
SRR29429246,1267.724024,CC
FJY64B,1253.838232,Feces
SRR29409636,1247.679964,CC
BKDN170796420-1A,1215.756068,Feces
SRR29409657,1207.255554,CC
FJY52A,1199.328693,Feces
SRR27680225,1197.534753,IC
SRR21163453,1197.123371,IC
SRR29429278,1190.225447,CC
FJY53A,1188.362886,Feces
SRR29429277,1183.556627,CC
SRR21163423,1166.028387,CC
SRR29409637,1158.086743,CC
SRR29409633,1151.163916,CC
SRR29429282,1097.192176,CC
SRR29536182,1089.092254,CC
SRR29536183,1087.638727,CC
SRR29536164,1076.033977,CC
FJY9B,1067.472614,Feces
SRR29536188,1065.182089,CC
SRR29429241,1055.031353,CC
FJY37A,1049.661787,Feces
BKDN170793840-1A,1048.07208,Feces
BKDN170793836-1A,1046.293932,Feces
SRR29536181,1039.090224,CC
SRR29409650,1036.114335,CC
SRR29536165,1033.821349,CC
SRR29429239,1024.047736,CC
SRR29409656,1022.836187,CC
SRR28497696,1013.614976,CC
SRR29409661,1010.293751,CC
SRR21163513,1002.151341,CR
SRR29536189,981.10317,CC
SRR28497701,976.273341,CC
SRR29354199,976.025439,CC
SRR29536167,973.318156,CC
SRR29354208,966.806309,CC
FJY2A,962.500753,Feces
SRR29354207,955.436188,CC
SRR27680231,953.053286,IC
SRR21163459,952.943274,IC
SRR29449905,951.403538,CC
SRR29536163,949.541351,CC
SRR29429240,948.320727,CC
FJY69A,944.978815,Feces
SRR29536179,941.478234,CC
SRR29354203,940.200409,CC
SRR29449906,935.653504,CC
SRR29354202,924.60094,CC
SRR29429279,919.522508,CC
SRR29536166,918.450402,CC
SRR29429242,907.884352,CC
SRR29536169,901.323757,CC
SRR29429269,898.252933,CC
SRR29536191,893.928598,CC
SRR29429244,884.910701,CC
SRR29354200,883.958531,CC
SRR29429280,874.765287,CC
SRR29536190,874.744689,CC
FJY74A,872.467025,Feces
SRR29409634,869.274616,CC
SRR28497704,866.983283,CC
SRR21163523,866.628485,CR
FJY44A,864.193626,Feces
SRR28497699,859.459501,CC
SRR21163521,859.281691,CR
SRR29472742,858.336292,CC
FJY8A,857.188228,Feces
SRR21163516,856.339393,CR
SRR29449373,853.665209,CC
SRR29429232,828.745548,CC
SRR29429281,828.240404,CC
SRR21163441,822.060057,CC
SRR29472729,813.346473,CC
BKDN170794054-1A,813.171448,Feces
SRR21163440,812.300668,CC
SRR21163435,811.23358,CC
BKDN170793893-1A,809.053478,Feces
SRR29472728,808.138615,CC
FJY1A,804.984625,Feces
SRR29472727,802.21775,CC
SRR28497697,801.635847,CC
BKDN170793993-1A,801.222945,Feces
SRR21163436,796.897115,CC
SRR21163518,796.697564,CR
SRR29449912,795.930095,CC
SRR29449367,794.741311,CC
SRR29536168,793.500346,CC
SRR21163439,790.510286,CC
CCY42A,790.394935,CC
BKDN170796254-1A,783.808544,Feces
BKDN170793901-1A,782.468445,Feces
SRR21163428,780.887575,CC
SRR29536176,762.971389,CC
BKDN170793899-1A,762.816721,Feces
FJY10A,762.774783,Feces
CCY49A,760.996442,CC
SRR21163437,760.905729,CC
FJY75A,758.768259,Feces
SRR29472736,753.13063,CC
CCY47A,750.312739,CC
SRR21163426,746.139223,CC
BKDN170795737-1A,745.550653,Feces
CCY23A,743.905688,CC
SRR29472734,740.356288,CC
FJY4A,736.115447,Feces
SRR29449369,735.419795,CC
SRR29472740,734.724768,CC
FJY29A,733.860658,Feces
SRR29449908,730.895086,CC
BKDN170793894-1A,730.413938,Feces
SRR21163443,724.232738,CC
FJY25B,722.847104,Feces
SRR28497700,722.830256,CC
SRR21163424,719.233963,CC
CCY26A,717.440457,CC
SRR29449911,716.83356,CC
SRR21163527,716.472678,CR
SRR29449378,715.055436,CC
SRR21163447,714.723832,CC
SRR29429243,714.456081,CC
FJY7A,713.90531,Feces
SRR28497698,713.748783,CC
SRR29472735,712.475444,CC
BKDN170795745-1A,709.724602,Feces
SRR29472741,709.587267,CC
CCY39A,709.13283,CC
SRR29449370,707.956375,CC
FJY5A,706.053999,Feces
SRR21163531,704.799879,CR
SRR29472737,704.704988,CC
BKDN170794148-1A,704.466853,Feces
BKDN170793837-1A,704.198784,Feces
FJY26A,702.718877,Feces
SRR29449360,702.508209,CC
BKDN170795576-1A,698.725465,Feces
SRR29449921,698.307607,CC
BKDN170793838-1A,695.521369,Feces
BKDN170793994-1A,695.453867,Feces
BKDN170796419-1A,689.661759,Feces
SRR29354215,688.48642,CC
SRR21163425,686.648824,CC
SRR29472743,685.055842,CC
BKDN170795912-1A,684.24391,Feces
BKDN170793896-1A,684.130114,Feces
FJY12A,680.682924,Feces
BKDN170793995-1A,676.181092,Feces
SRR29472738,674.909758,CC
BKDN170793903-1A,663.850855,Feces
FJY16B,663.448362,Feces
CCY10A,662.637299,CC
BKDN170793835-1A,658.820015,Feces
SRR29429271,658.473094,CC
CCY8A,658.392054,CC
BKDN170794327-1A,657.650029,Feces
BKDN170796253-1A,657.383316,Feces
CCY20A,657.082773,CC
CCY50A,655.462895,CC
SRR29449922,654.398241,CC
SRR21163444,653.653921,CC
BKDN170793908-1A,652.978518,Feces
CCY25B,652.447952,CC
