Sample,total_abundance,gut_locations
SRR21163423,1021.974445,large_intestine
BKDN170796420-1A,954.414652,Feces
SRR21163517,899.927922,large_intestine
SRR29536182,864.648004,large_intestine
SRR27680231,751.290931,small_intestine
SRR21163459,751.202408,small_intestine
SRR29536174,749.667034,large_intestine
SRR29449905,738.715594,large_intestine
SRR29449906,706.431773,large_intestine
SRR29429277,695.278872,large_intestine
SRR29429278,689.543586,large_intestine
SRR29429269,682.936193,large_intestine
SRR21163513,672.901332,large_intestine
SRR21163521,664.569271,large_intestine
SRR29536183,664.265717,large_intestine
FJY9B,659.234496,Feces
SRR29536164,651.438343,large_intestine
SRR29429280,649.549124,large_intestine
SRR29449912,634.81139,large_intestine
BKDN170793840-1A,628.986643,Feces
SRR29429241,622.702468,large_intestine
SRR21163518,621.552964,large_intestine
SRR21163516,616.87507,large_intestine
SRR21163428,616.333841,large_intestine
SRR29536188,612.901941,large_intestine
SRR21163523,607.089439,large_intestine
SRR28497701,606.7792,large_intestine
SRR29429281,602.177268,large_intestine
SRR21163424,601.535244,large_intestine
SRR21163426,599.878453,large_intestine
SRR29536167,597.005953,large_intestine
SRR29449367,595.220656,large_intestine
SRR29429244,588.378576,large_intestine
SRR29536165,582.546261,large_intestine
SRR29536163,570.636516,large_intestine
SRR29429240,570.360667,large_intestine
SRR29536179,570.263071,large_intestine
BKDN170796419-1A,569.258637,Feces
SRR29449373,565.210056,large_intestine
SRR29536169,562.456978,large_intestine
SRR29449921,560.509807,large_intestine
SRR29536189,560.034024,large_intestine
SRR29429232,555.548102,large_intestine
SRR29429242,555.166708,large_intestine
SRR29449908,552.823474,large_intestine
SRR29536191,552.134932,large_intestine
SRR21163440,551.619945,large_intestine
SRR21163425,548.43916,large_intestine
SRR29536190,548.108775,large_intestine
SRR29536181,546.496578,large_intestine
SRR29429279,545.393627,large_intestine
SRR21163439,544.062387,large_intestine
SRR21163436,541.272583,large_intestine
SRR29472727,538.984142,large_intestine
SRR29449911,534.347553,large_intestine
SRR21163422,528.839161,large_intestine
SRR21163437,528.241806,large_intestine
SRR28497704,525.842698,large_intestine
SRR21163441,524.972325,large_intestine
SRR29536166,524.966077,large_intestine
BKDN170796254-1A,522.992365,Feces
SRR29472742,522.10116,large_intestine
SRR29536168,519.113268,large_intestine
SRR21163435,518.046167,large_intestine
SRR29449922,517.232564,large_intestine
FJY26A,514.210902,Feces
SRR29472728,510.661638,large_intestine
SRR29429243,504.230507,large_intestine
SRR28497696,499.831707,large_intestine
SRR21163443,496.808435,large_intestine
SRR29472729,495.895924,large_intestine
SRR21163447,495.078117,large_intestine
SRR29536175,489.118586,large_intestine
BKDN170796418-1A,487.268015,Feces
BKDN170796252-1A,484.584416,Feces
FJY29A,483.958586,Feces
BKDN170793899-1A,483.870506,Feces
SRR29536170,481.863613,large_intestine
SRR29472736,480.833316,large_intestine
SRR21163457,478.405496,small_intestine
SRR27680229,478.309624,small_intestine
SRR29536187,476.479035,large_intestine
SRR29449370,475.308767,large_intestine
FJY15A,473.684174,Feces
SRR29472734,471.084234,large_intestine
FJY8A,470.898685,Feces
SRR28497697,467.068685,large_intestine
SRR29472741,466.77362,large_intestine
SRR29449378,466.287973,large_intestine
SRR21163527,464.102721,large_intestine
BKDN170793836-1A,462.387364,Feces
BKDN170793893-1A,459.048346,Feces
SRR29449360,457.169438,large_intestine
SRR21163531,456.742151,large_intestine
SRR29449907,455.930593,large_intestine
SRR28497699,455.429374,large_intestine
BKDN170793906-1A,454.015615,Feces
SRR21163434,449.127778,large_intestine
FJY52A,448.771514,Feces
FJY21A,441.84491,Feces
SRR29449910,436.70655,large_intestine
SRR28497700,435.348392,large_intestine
SRR29449369,435.255233,large_intestine
SRR27680225,432.722372,small_intestine
SRR21163453,432.582731,small_intestine
FJY30A,431.308153,Feces
SRR29472740,428.454435,large_intestine
BKDN170795737-1A,428.2034,Feces
SRR29472735,428.012769,large_intestine
SRR29449909,426.106605,large_intestine
BKDN170794327-1A,426.018549,Feces
SRR21163429,424.596431,large_intestine
BKDN170795912-1A,424.336042,Feces
SRR29472739,422.338012,large_intestine
SRR21163432,421.493422,large_intestine
FJY24B,419.753577,Feces
SRR21163515,419.404454,large_intestine
BKDN170796086-1A,419.142884,Feces
BKDN170793894-1A,418.959632,Feces
BKDN170794148-1A,418.335904,Feces
SRR29472737,417.312401,large_intestine
BKDN170794058-1A,415.29018,Feces
SRR29449379,415.239187,large_intestine
FJY69A,411.695599,Feces
BKDN170796251-1A,411.433809,Feces
SRR21163444,405.94474,large_intestine
FJY18A,402.751478,Feces
FJY64B,399.650902,Feces
BKDN170794149-1A,397.869565,Feces
BKDN170794809-1A,397.395892,Feces
FJY12A,397.115884,Feces
FJY7A,396.5809,Feces
BKDN170794972-1A,395.343728,Feces
SRR28497698,393.04545,large_intestine
SRR29449361,391.536846,large_intestine
FJY23A,390.833705,Feces
SRR29472743,390.512989,large_intestine
FJY37A,390.071127,Feces
BKDN170793837-1A,388.686078,Feces
SRR21163520,387.401636,large_intestine
SRR21163524,386.573534,large_intestine
SRR21163431,384.52065,large_intestine
BKDN170796417-1A,383.958882,Feces
BKDN170793902-1A,383.730387,Feces
SRR29449918,379.802001,large_intestine
FH247A,378.939851,Feces
SRR29449917,378.655441,large_intestine
SHCC276A,378.417042,large_intestine
SRR29472726,374.803045,large_intestine
FJY22A,374.533641,Feces
BKDN170793838-1A,372.849091,Feces
BKDN170795145-1A,371.912721,Feces
SRR21163446,369.137838,large_intestine
