ARG,Stomach,small_intestine,large_intestine,Feces
emrK,0.048413325,0.020591105,0.127993544,0.078595567
emrY,0.076508727,0.007274452,0.041615942,0.19003255
tet(32),0.159701299,0.108489736,8.096378393,4.539317634
tet(33),0.181481013,0.039779117,0.018887814,0.373814538
tet(36),0.075702468,0.002526109,0.001549319,0.368136471
tet(40),0.065139468,0.087091611,4.110025263,3.572441172
tet(44),0.107995727,0.130148142,7.877713757,4.62166695
tet(45),3.875458558,6.14695582,4.007691301,44.02557922
tet(59),0.004484013,0,7.30E-05,0.014996546
tet(A),0.610629688,0.067437933,2.506118719,1.883168168
tet(B),3.013873364,0.008802912,0.175555349,0.227337483
tet(C),0.048489494,0.005227661,0.018448046,0.028820878
tet(D),0,0,2.60E-04,1.26E-04
tet(K),0.013619312,1.302394318,0.164244785,0.080815605
tet(M),1.750665857,7.256845067,4.094218117,24.25562349
tet(O),3.816720506,3.883309519,23.49968521,59.24777445
tet(O/32/O),0.017457857,0.015971983,1.090888618,0.5333235
tet(O/W/32/O),1.105149221,2.656438322,1.279665817,19.36869866
tet(Q),4.257353688,2.122807146,118.7906801,38.92188582
tet(S),0.167030701,0.837566866,0.172047852,0.820329034
tet(T),0.001488623,0.004935941,0.001344456,0.10867463
tet(W),0.964580221,2.219223155,78.52428654,45.77729014
tet(W/N/W),0.162230117,0.427893427,5.638150918,5.560994143
tet(X1),0,0,0.00159998,0.002327412
tet(X5),0.982200688,0.001351611,0.003239793,0.133450752
tet(Z),0.081554883,0.040399929,0.063321804,1.064350307
tetB(P),1.660466506,2.114345502,0.828288609,19.88972563
