Sample,total_abundance,gut_locations
SRR21163517,1157.928658,large_intestine
SRR21163423,1035.183673,large_intestine
SRR29536182,913.210406,large_intestine
BKDN170796420-1A,897.843552,Feces
SRR29429278,842.426727,large_intestine
SRR29536174,816.008101,large_intestine
SRR29429277,814.12134,large_intestine
SRR29536164,784.901498,large_intestine
SRR29449905,756.333449,large_intestine
SRR29536183,741.390707,large_intestine
SRR29429241,736.512578,large_intestine
SRR29536188,732.536533,large_intestine
SRR29429269,724.17046,large_intestine
SRR29536165,719.564202,large_intestine
SRR29536167,706.236433,large_intestine
SRR29429280,703.771218,large_intestine
SRR29536189,700.488559,large_intestine
SRR29449906,699.627698,large_intestine
SRR29536181,690.298472,large_intestine
SRR29536169,678.195434,large_intestine
SRR29536179,670.994653,large_intestine
SRR29536163,670.539574,large_intestine
FJY52A,669.285394,Feces
SRR28497696,667.857904,large_intestine
SRR29429281,667.379422,large_intestine
SRR29429240,663.393948,large_intestine
SRR29429279,658.753465,large_intestine
SRR28497701,656.846681,large_intestine
SRR29536166,640.50867,large_intestine
SRR29429242,637.772877,large_intestine
SRR21163513,634.788324,large_intestine
SRR21163428,634.655728,large_intestine
SRR21163518,632.64327,large_intestine
SRR29449912,630.104316,large_intestine
SRR29472729,623.491051,large_intestine
SRR21163426,621.142537,large_intestine
SRR29429244,621.134672,large_intestine
SRR21163424,617.369313,large_intestine
SRR28497704,616.653921,large_intestine
SRR29449373,616.381461,large_intestine
SRR29536191,616.091511,large_intestine
SRR29536190,613.785096,large_intestine
FJY9B,611.574011,Feces
SRR29472728,607.208314,large_intestine
SRR21163516,605.97422,large_intestine
FJY64B,600.400289,Feces
SRR21163441,598.684768,large_intestine
SRR29472742,587.961437,large_intestine
SRR21163435,587.947454,large_intestine
SRR29536168,587.506525,large_intestine
SRR29472727,585.004095,large_intestine
SRR29429232,580.390515,large_intestine
SRR21163440,578.891268,large_intestine
SRR28497699,575.897954,large_intestine
SRR21163439,575.221757,large_intestine
SRR27680225,573.936949,small_intestine
SRR21163453,573.7389,small_intestine
SRR29472736,563.667694,large_intestine
SRR21163436,561.312543,large_intestine
SRR28497697,560.817752,large_intestine
SRR21163437,557.876169,large_intestine
FJY69A,555.064812,Feces
SRR29449921,553.139568,large_intestine
SRR21163425,550.550399,large_intestine
SRR29449367,547.693215,large_intestine
SRR21163523,542.481611,large_intestine
SRR29449908,541.595612,large_intestine
SRR21163422,540.45849,large_intestine
BKDN170796419-1A,538.02208,Feces
SRR29429243,536.189905,large_intestine
SRR21163443,535.377904,large_intestine
SRR29449378,535.291374,large_intestine
SRR21163447,535.218871,large_intestine
SRR29472734,524.405947,large_intestine
FJY37A,516.651652,Feces
SRR29449911,516.304441,large_intestine
SRR29449370,516.10117,large_intestine
SRR29472741,515.721252,large_intestine
SRR29449360,507.697294,large_intestine
CCY47A,505.535944,large_intestine
SRR21163527,500.939574,large_intestine
SRR29472737,499.60302,large_intestine
SRR29449369,495.79922,large_intestine
SRR21163531,495.013256,large_intestine
CCY49A,489.0565,large_intestine
SRR28497700,488.680234,large_intestine
SRR29536187,488.661997,large_intestine
SRR29536175,486.916697,large_intestine
SRR29449922,486.110185,large_intestine
SRR29472735,483.269892,large_intestine
SRR29429271,481.856652,large_intestine
SRR29472740,477.686936,large_intestine
SRR29536170,475.18299,large_intestine
SRR21163434,475.043184,large_intestine
SRR29472739,472.688323,large_intestine
SRR29449379,471.721328,large_intestine
BKDN170796252-1A,469.270987,Feces
FJY2A,464.459397,Feces
SRR29472743,463.598677,large_intestine
SRR29449907,462.368774,large_intestine
CCY26A,459.866368,large_intestine
CCY23A,456.938113,large_intestine
SRR27680231,445.135942,small_intestine
SRR21163459,445.091199,small_intestine
SRR29472738,444.803437,large_intestine
SRR21163432,443.45262,large_intestine
SRR29449909,443.062579,large_intestine
FJY1A,441.921056,Feces
FJY29A,440.338795,Feces
BKDN170796254-1A,439.585374,Feces
SRR29449361,438.216352,large_intestine
CCY42A,434.642679,large_intestine
SRR21163444,434.03904,large_intestine
SHCC276A,433.638395,large_intestine
SRR21163429,431.570927,large_intestine
SRR29449910,431.553278,large_intestine
SHCC86A,431.410547,large_intestine
SRR28497698,430.455999,large_intestine
CCY25B,429.37723,large_intestine
SRR21163446,428.91053,large_intestine
CCY48A,428.046508,large_intestine
SRR29472726,427.366837,large_intestine
CCY39A,424.939908,large_intestine
SRR29536177,424.440265,large_intestine
SHCC9A,423.527839,large_intestine
SRR21163515,421.922861,large_intestine
FJY53A,419.234288,Feces
SRR29429272,414.573653,large_intestine
CCY20A,413.17002,large_intestine
SRR29429245,413.144398,large_intestine
SRR28497703,408.423099,large_intestine
CCY10A,407.180062,large_intestine
CCY35B,404.767596,large_intestine
SHCC82A,402.462762,large_intestine
SRR21163431,401.436478,large_intestine
FJY44A,401.281631,Feces
FJY80B,400.163953,Feces
SRR28497702,400.122668,large_intestine
CCY11A,399.238107,large_intestine
SRR29449918,397.967409,large_intestine
SRR29429270,396.202456,large_intestine
CCY8A,394.115089,large_intestine
CCH162-1A,393.99809,large_intestine
CCY36B,393.392296,large_intestine
SRR29449917,392.400957,large_intestine
SRR29449919,391.963912,large_intestine
CCH209A,391.434528,large_intestine
CCY50A,390.884859,large_intestine
SRR21163520,390.768512,large_intestine
FM17B,386.970023,Feces
SRR29449914,385.844944,large_intestine
SHCC167A,385.260469,large_intestine
SRR29536176,383.262757,large_intestine
SRR28497695,383.09848,large_intestine
SRR21163445,380.975272,large_intestine
SRR29449362,379.192146,large_intestine
CCY6A,377.142268,large_intestine
FJY12A,374.054718,Feces
CCH157-2B,373.712697,large_intestine
FJY3A,372.632634,Feces
SRR21163442,371.601159,large_intestine
SRR29449359,371.036973,large_intestine
CCY34B,367.690413,large_intestine
CCH150-1B,367.321827,large_intestine
SRR29429273,367.178428,large_intestine
SHCC235A,366.96948,large_intestine
FJY74A,366.673721,Feces
FM5B,365.80017,Feces
BKDN170795145-1A,364.476346,Feces
CCY9B,363.33073,large_intestine
SHCC69B,362.505775,large_intestine
