Sample2,Sample1,Distance,Group1,Group2,Type
SRR29449914,SRR29536187,0.2568490548513537,MAL,MAL,MAL
SRR29449914,SRR29536183,0.4379679439147849,MAL,MAL,MAL
SRR29449914,SRR29536186,0.24256305378739265,MAL,MAL,MAL
SRR29449914,SRR29449917,0.16979407688516715,MAL,MAL,MAL
SRR29449914,SRR29536182,0.4394256220858772,MAL,MAL,MAL
SRR29449914,SRR29449918,0.108025593927522,MAL,MAL,MAL
SRR29449914,SRR29449920,0.1792214541367479,MAL,MAL,MAL
SRR29449914,SRR29449919,0.11372328554003122,MAL,MAL,MAL
SRR29449914,SRR29449915,0.11395434561357695,MAL,MAL,MAL
SRR29449914,SRR29449916,0.16871335859906197,MAL,MAL,MAL
SRR29449914,SRR29536185,0.29210750338115743,MAL,MAL,MAL
SRR29449915,SRR29449919,0.10704112688610741,MAL,MAL,MAL
SRR29449915,SRR29449918,0.12920077242079642,MAL,MAL,MAL
SRR29449915,SRR29536182,0.46166325541860653,MAL,MAL,MAL
SRR29449915,SRR29536187,0.2525446804475072,MAL,MAL,MAL
SRR29449915,SRR29449917,0.221927320084702,MAL,MAL,MAL
SRR29449915,SRR29449920,0.2017356609130957,MAL,MAL,MAL
SRR29449915,SRR29536185,0.24161377187884064,MAL,MAL,MAL
SRR29449915,SRR29449916,0.12425315221145578,MAL,MAL,MAL
SRR29449915,SRR29536186,0.25522838118416935,MAL,MAL,MAL
SRR29449915,SRR29536183,0.4937191267552974,MAL,MAL,MAL
SRR29449915,SRR29449914,0.11395434561357695,MAL,MAL,MAL
SRR29449916,SRR29449918,0.1374872815949931,MAL,MAL,MAL
SRR29449916,SRR29536182,0.4432085712172678,MAL,MAL,MAL
SRR29449916,SRR29536183,0.5083383088768811,MAL,MAL,MAL
SRR29449916,SRR29536185,0.3106365159303832,MAL,MAL,MAL
SRR29449916,SRR29449919,0.12303280463272727,MAL,MAL,MAL
SRR29449916,SRR29449917,0.2744129921978135,MAL,MAL,MAL
SRR29449916,SRR29449920,0.2565227666444616,MAL,MAL,MAL
SRR29449916,SRR29536187,0.22635120901860414,MAL,MAL,MAL
SRR29449916,SRR29449915,0.12425315221145578,MAL,MAL,MAL
SRR29449916,SRR29536186,0.30969663826872096,MAL,MAL,MAL
SRR29449916,SRR29449914,0.16871335859906197,MAL,MAL,MAL
SRR29449917,SRR29449915,0.221927320084702,MAL,MAL,MAL
SRR29449917,SRR29536185,0.304785960611246,MAL,MAL,MAL
SRR29449917,SRR29536183,0.3997429506050926,MAL,MAL,MAL
SRR29449917,SRR29536187,0.3100566881917218,MAL,MAL,MAL
SRR29449917,SRR29449918,0.17558706356927992,MAL,MAL,MAL
SRR29449917,SRR29449916,0.2744129921978135,MAL,MAL,MAL
SRR29449917,SRR29449919,0.2326703188698816,MAL,MAL,MAL
SRR29449917,SRR29536186,0.19074693784085045,MAL,MAL,MAL
SRR29449917,SRR29449914,0.16979407688516715,MAL,MAL,MAL
SRR29449917,SRR29449920,0.19078428657981036,MAL,MAL,MAL
SRR29449917,SRR29536182,0.448617076369936,MAL,MAL,MAL
SRR29449918,SRR29536186,0.25547073997092506,MAL,MAL,MAL
SRR29449918,SRR29449920,0.17457822187130792,MAL,MAL,MAL
SRR29449918,SRR29449917,0.17558706356927992,MAL,MAL,MAL
SRR29449918,SRR29536183,0.43963295946404174,MAL,MAL,MAL
SRR29449918,SRR29536187,0.2372894665595438,MAL,MAL,MAL
SRR29449918,SRR29449916,0.1374872815949931,MAL,MAL,MAL
SRR29449918,SRR29449919,0.09864011621016658,MAL,MAL,MAL
SRR29449918,SRR29449914,0.108025593927522,MAL,MAL,MAL
SRR29449918,SRR29536185,0.2869592943302195,MAL,MAL,MAL
SRR29449918,SRR29536182,0.41436902625183525,MAL,MAL,MAL
SRR29449918,SRR29449915,0.12920077242079642,MAL,MAL,MAL
SRR29449919,SRR29449918,0.09864011621016658,MAL,MAL,MAL
SRR29449919,SRR29536183,0.4790410720638034,MAL,MAL,MAL
SRR29449919,SRR29536185,0.28682368526027313,MAL,MAL,MAL
SRR29449919,SRR29449915,0.10704112688610741,MAL,MAL,MAL
SRR29449919,SRR29536187,0.21415138381579643,MAL,MAL,MAL
SRR29449919,SRR29449917,0.2326703188698816,MAL,MAL,MAL
SRR29449919,SRR29449914,0.11372328554003122,MAL,MAL,MAL
SRR29449919,SRR29449916,0.12303280463272727,MAL,MAL,MAL
SRR29449919,SRR29449920,0.2037683471370556,MAL,MAL,MAL
SRR29449919,SRR29536182,0.4216145458901659,MAL,MAL,MAL
SRR29449919,SRR29536186,0.26311303043598777,MAL,MAL,MAL
SRR29449920,SRR29536183,0.48160923675240563,MAL,MAL,MAL
SRR29449920,SRR29536186,0.20908406948662264,MAL,MAL,MAL
SRR29449920,SRR29449919,0.2037683471370556,MAL,MAL,MAL
SRR29449920,SRR29449914,0.1792214541367479,MAL,MAL,MAL
SRR29449920,SRR29449918,0.17457822187130792,MAL,MAL,MAL
SRR29449920,SRR29449915,0.2017356609130957,MAL,MAL,MAL
SRR29449920,SRR29536182,0.4718702134695278,MAL,MAL,MAL
SRR29449920,SRR29536187,0.3164199078759114,MAL,MAL,MAL
SRR29449920,SRR29449917,0.19078428657981036,MAL,MAL,MAL
SRR29449920,SRR29449916,0.2565227666444616,MAL,MAL,MAL
SRR29449920,SRR29536185,0.24892003284206288,MAL,MAL,MAL
SRR29536182,SRR29449919,0.4216145458901659,MAL,MAL,MAL
SRR29536182,SRR29449917,0.448617076369936,MAL,MAL,MAL
SRR29536182,SRR29449920,0.4718702134695278,MAL,MAL,MAL
SRR29536182,SRR29449916,0.4432085712172678,MAL,MAL,MAL
SRR29536182,SRR29536187,0.3254178901542756,MAL,MAL,MAL
SRR29536182,SRR29449914,0.4394256220858772,MAL,MAL,MAL
SRR29536182,SRR29449915,0.46166325541860653,MAL,MAL,MAL
SRR29536182,SRR29536183,0.5042578116363013,MAL,MAL,MAL
SRR29536182,SRR29536185,0.53080689723361,MAL,MAL,MAL
SRR29536182,SRR29536186,0.4670887196992451,MAL,MAL,MAL
SRR29536182,SRR29449918,0.41436902625183525,MAL,MAL,MAL
SRR29536183,SRR29536186,0.43995637107197605,MAL,MAL,MAL
SRR29536183,SRR29449915,0.4937191267552974,MAL,MAL,MAL
SRR29536183,SRR29536187,0.48413274418050534,MAL,MAL,MAL
SRR29536183,SRR29449918,0.43963295946404174,MAL,MAL,MAL
SRR29536183,SRR29449914,0.4379679439147849,MAL,MAL,MAL
SRR29536183,SRR29536185,0.5382125447218093,MAL,MAL,MAL
SRR29536183,SRR29449916,0.5083383088768811,MAL,MAL,MAL
SRR29536183,SRR29536182,0.5042578116363013,MAL,MAL,MAL
SRR29536183,SRR29449917,0.3997429506050926,MAL,MAL,MAL
SRR29536183,SRR29449919,0.4790410720638034,MAL,MAL,MAL
SRR29536183,SRR29449920,0.48160923675240563,MAL,MAL,MAL
SRR29536185,SRR29536183,0.5382125447218093,MAL,MAL,MAL
SRR29536185,SRR29536186,0.25698518456616914,MAL,MAL,MAL
SRR29536185,SRR29449919,0.28682368526027313,MAL,MAL,MAL
SRR29536185,SRR29536182,0.53080689723361,MAL,MAL,MAL
SRR29536185,SRR29449918,0.2869592943302195,MAL,MAL,MAL
SRR29536185,SRR29449920,0.24892003284206288,MAL,MAL,MAL
SRR29536185,SRR29536187,0.35290939893291534,MAL,MAL,MAL
SRR29536185,SRR29449915,0.24161377187884064,MAL,MAL,MAL
SRR29536185,SRR29449916,0.3106365159303832,MAL,MAL,MAL
SRR29536185,SRR29449917,0.304785960611246,MAL,MAL,MAL
SRR29536185,SRR29449914,0.29210750338115743,MAL,MAL,MAL
SRR29536186,SRR29536187,0.27440175626049745,MAL,MAL,MAL
SRR29536186,SRR29536182,0.4670887196992451,MAL,MAL,MAL
SRR29536186,SRR29536185,0.25698518456616914,MAL,MAL,MAL
SRR29536186,SRR29449919,0.26311303043598777,MAL,MAL,MAL
SRR29536186,SRR29449917,0.19074693784085045,MAL,MAL,MAL
SRR29536186,SRR29449916,0.30969663826872096,MAL,MAL,MAL
SRR29536186,SRR29449914,0.24256305378739265,MAL,MAL,MAL
SRR29536186,SRR29449918,0.25547073997092506,MAL,MAL,MAL
SRR29536186,SRR29536183,0.43995637107197605,MAL,MAL,MAL
SRR29536186,SRR29449920,0.20908406948662264,MAL,MAL,MAL
SRR29536186,SRR29449915,0.25522838118416935,MAL,MAL,MAL
SRR29536187,SRR29449916,0.22635120901860414,MAL,MAL,MAL
SRR29536187,SRR29449920,0.3164199078759114,MAL,MAL,MAL
SRR29536187,SRR29449915,0.2525446804475072,MAL,MAL,MAL
SRR29536187,SRR29449919,0.21415138381579643,MAL,MAL,MAL
SRR29536187,SRR29449914,0.2568490548513537,MAL,MAL,MAL
SRR29536187,SRR29536186,0.27440175626049745,MAL,MAL,MAL
SRR29536187,SRR29449918,0.2372894665595438,MAL,MAL,MAL
SRR29536187,SRR29449917,0.3100566881917218,MAL,MAL,MAL
SRR29536187,SRR29536185,0.35290939893291534,MAL,MAL,MAL
SRR29536187,SRR29536182,0.3254178901542756,MAL,MAL,MAL
SRR29536187,SRR29536183,0.48413274418050534,MAL,MAL,MAL
CCY10A,SRR29536165,0.35293910211479546,meat_type,meat_type,meat_type
CCY10A,SRR28497698,0.16030801450664486,meat_type,meat_type,meat_type
CCY10A,SRR29449362,0.22111481645396025,meat_type,meat_type,meat_type
CCY10A,SRR28497695,0.2071772599907312,meat_type,meat_type,meat_type
CCY10A,SRR28497702,0.2593151787108451,meat_type,meat_type,meat_type
CCY10A,CCY6A,0.17721857984185324,meat_type,meat_type,meat_type
CCY10A,SRR29536170,0.8759743798579906,meat_type,meat_type,meat_type
CCY10A,SRR29536172,0.790688541249143,meat_type,meat_type,meat_type
CCY10A,SRR29536166,0.27449311807656634,meat_type,meat_type,meat_type
CCY10A,SRR29449364,0.24453324387586997,meat_type,meat_type,meat_type
CCY10A,SRR29536177,0.35167728718891417,meat_type,meat_type,meat_type
CCY10A,SRR29536178,0.791854594539733,meat_type,meat_type,meat_type
CCY10A,SRR28497697,0.24958216095018113,meat_type,meat_type,meat_type
CCY10A,CCY35B,0.13677755037542813,meat_type,meat_type,meat_type
CCY10A,SRR29536167,0.3164183153140927,meat_type,meat_type,meat_type
CCY10A,SRR29536168,0.2846173316259536,meat_type,meat_type,meat_type
CCY10A,SRR28497700,0.25911103851147194,meat_type,meat_type,meat_type
CCY10A,SRR29536175,0.9043488663787392,meat_type,meat_type,meat_type
CCY10A,CCY50A,0.2917132155433094,meat_type,meat_type,meat_type
CCY10A,SRR29536171,0.818138445506763,meat_type,meat_type,meat_type
CCY10A,SRR29449360,0.26333706106294424,meat_type,meat_type,meat_type
CCY10A,CCY47A,0.2595045600614507,meat_type,meat_type,meat_type
CCY10A,CCY9B,0.1640662131601148,meat_type,meat_type,meat_type
CCY10A,SRR29536163,0.31350996491610916,meat_type,meat_type,meat_type
CCY10A,SRR28497696,0.274303796545183,meat_type,meat_type,meat_type
CCY10A,SRR29449380,0.2442644140564981,meat_type,meat_type,meat_type
CCY10A,CCY24A,0.1853626996876991,meat_type,meat_type,meat_type
CCY10A,SRR29536176,0.7142486115376423,meat_type,meat_type,meat_type
CCY10A,CCY43A,0.1877160505464447,meat_type,meat_type,meat_type
CCY10A,CCY48A,0.2580800598842175,meat_type,meat_type,meat_type
CCY10A,CCY11A,0.19615483626445449,meat_type,meat_type,meat_type
CCY10A,SRR29449359,0.3456589122419428,meat_type,meat_type,meat_type
CCY10A,SRR29536188,0.3594399647979873,meat_type,meat_type,meat_type
CCY10A,CCY44A,0.28247401627371244,meat_type,meat_type,meat_type
CCY10A,CCY41B,0.25183235169253676,meat_type,meat_type,meat_type
CCY10A,SRR29449361,0.2941434187622556,meat_type,meat_type,meat_type
CCY10A,SRR29536190,0.2873676766401664,meat_type,meat_type,meat_type
CCY10A,SRR29536179,0.31440267401238364,meat_type,meat_type,meat_type
CCY10A,CCY34B,0.22421084187073545,meat_type,meat_type,meat_type
CCY10A,SRR29536191,0.3081433506441521,meat_type,meat_type,meat_type
CCY10A,CCY39A,0.1757452505367974,meat_type,meat_type,meat_type
CCY10A,CCY46B,0.2714501326551447,meat_type,meat_type,meat_type
CCY10A,SRR29449378,0.31198438670724343,meat_type,meat_type,meat_type
CCY10A,SRR28497703,0.18572964693002994,meat_type,meat_type,meat_type
CCY10A,CCY23A,0.22658925176525743,meat_type,meat_type,meat_type
CCY10A,CCY25B,0.2727506499880896,meat_type,meat_type,meat_type
CCY10A,CCY37A,0.21380213424912922,meat_type,meat_type,meat_type
CCY10A,CCY8A,0.23300106716099586,meat_type,meat_type,meat_type
CCY10A,SRR29536169,0.31572418386356543,meat_type,meat_type,meat_type
CCY10A,SRR29536164,0.3525935134848345,meat_type,meat_type,meat_type
CCY10A,SRR28497701,0.3095948184215827,meat_type,meat_type,meat_type
CCY10A,SRR29449363,0.3588487708897593,meat_type,meat_type,meat_type
CCY10A,CCY36B,0.24710384642413555,meat_type,meat_type,meat_type
CCY10A,CCY26A,0.30663375607656723,meat_type,meat_type,meat_type
CCY10A,SRR28497704,0.24596177668325855,meat_type,meat_type,meat_type
CCY10A,CCY28A,0.24754651588577417,meat_type,meat_type,meat_type
CCY10A,CCY33B,0.3249105063522121,meat_type,meat_type,meat_type
CCY10A,CCY20A,0.2286347282289422,meat_type,meat_type,meat_type
CCY10A,CCY49A,0.33788987936048065,meat_type,meat_type,meat_type
CCY10A,SRR29449381,0.22788458341090678,meat_type,meat_type,meat_type
CCY10A,SRR29536174,0.7499184818838062,meat_type,meat_type,meat_type
CCY10A,SRR29536189,0.33054914887539955,meat_type,meat_type,meat_type
CCY10A,SRR29449369,0.2391222443165831,meat_type,meat_type,meat_type
CCY10A,CCY42A,0.23777105140256652,meat_type,meat_type,meat_type
CCY10A,SRR29536180,0.33174959097997403,meat_type,meat_type,meat_type
CCY10A,CCY13A,0.15902202722500505,meat_type,meat_type,meat_type
CCY10A,CCY27A,0.2220222846661949,meat_type,meat_type,meat_type
CCY10A,SRR29536181,0.6799064217756088,meat_type,meat_type,meat_type
CCY10A,SRR29449379,0.26999844835527903,meat_type,meat_type,meat_type
CCY10A,CCY17A,0.2193258825308908,meat_type,meat_type,meat_type
CCY10A,SRR29449358,0.2702362223495157,meat_type,meat_type,meat_type
CCY10A,SRR28497699,0.2189632052310997,meat_type,meat_type,meat_type
CCY10A,CCY30A,0.20960625855780002,meat_type,meat_type,meat_type
CCY11A,SRR29536174,0.7518775533698132,meat_type,meat_type,meat_type
CCY11A,SRR29536165,0.4216471709963117,meat_type,meat_type,meat_type
CCY11A,SRR29536167,0.33758989005546997,meat_type,meat_type,meat_type
CCY11A,CCY24A,0.2206856817305278,meat_type,meat_type,meat_type
CCY11A,SRR29536178,0.8058736511068816,meat_type,meat_type,meat_type
CCY11A,SRR29536180,0.3433587750845437,meat_type,meat_type,meat_type
CCY11A,CCY17A,0.19887005722862805,meat_type,meat_type,meat_type
CCY11A,CCY30A,0.2592215846576128,meat_type,meat_type,meat_type
CCY11A,SRR29536168,0.3584243229061499,meat_type,meat_type,meat_type
CCY11A,SRR29536175,0.9240825825762539,meat_type,meat_type,meat_type
CCY11A,SRR28497697,0.2505950125045586,meat_type,meat_type,meat_type
CCY11A,SRR28497698,0.2914552348692518,meat_type,meat_type,meat_type
CCY11A,SRR29536189,0.3296372689694935,meat_type,meat_type,meat_type
CCY11A,SRR29449361,0.24108033744547216,meat_type,meat_type,meat_type
CCY11A,CCY43A,0.2588514060883466,meat_type,meat_type,meat_type
CCY11A,SRR29536190,0.3494385292191515,meat_type,meat_type,meat_type
CCY11A,SRR28497696,0.31380017632495966,meat_type,meat_type,meat_type
CCY11A,CCY25B,0.2315476382074022,meat_type,meat_type,meat_type
CCY11A,CCY20A,0.2977903188557717,meat_type,meat_type,meat_type
CCY11A,SRR29536169,0.38075508003106734,meat_type,meat_type,meat_type
CCY11A,CCY42A,0.3542335499980663,meat_type,meat_type,meat_type
CCY11A,CCY27A,0.22091245585967373,meat_type,meat_type,meat_type
CCY11A,CCY10A,0.19615483626445449,meat_type,meat_type,meat_type
CCY11A,CCY6A,0.16749593809967508,meat_type,meat_type,meat_type
CCY11A,SRR29536172,0.7988406357559256,meat_type,meat_type,meat_type
CCY11A,CCY28A,0.25244158624982255,meat_type,meat_type,meat_type
CCY11A,CCY36B,0.2779557395803983,meat_type,meat_type,meat_type
CCY11A,SRR29536177,0.42480988906145956,meat_type,meat_type,meat_type
CCY11A,CCY39A,0.2561894566359831,meat_type,meat_type,meat_type
CCY11A,SRR28497703,0.19820632482841277,meat_type,meat_type,meat_type
CCY11A,SRR29449381,0.32741698295413135,meat_type,meat_type,meat_type
CCY11A,SRR28497695,0.22766702749792583,meat_type,meat_type,meat_type
CCY11A,SRR29536181,0.6954170906568904,meat_type,meat_type,meat_type
CCY11A,CCY50A,0.37474900354084195,meat_type,meat_type,meat_type
CCY11A,CCY13A,0.24661367722549557,meat_type,meat_type,meat_type
CCY11A,SRR29536170,0.890979925515186,meat_type,meat_type,meat_type
CCY11A,SRR28497699,0.32428536823744997,meat_type,meat_type,meat_type
CCY11A,SRR29536171,0.8195429320398837,meat_type,meat_type,meat_type
CCY11A,CCY46B,0.3220648005928318,meat_type,meat_type,meat_type
CCY11A,SRR29449363,0.33288913009538235,meat_type,meat_type,meat_type
CCY11A,SRR29536163,0.38735118967397425,meat_type,meat_type,meat_type
CCY11A,CCY23A,0.28330095342846134,meat_type,meat_type,meat_type
CCY11A,CCY37A,0.21511739551275325,meat_type,meat_type,meat_type
CCY11A,SRR29536179,0.2986120170975106,meat_type,meat_type,meat_type
CCY11A,SRR28497701,0.316600115946246,meat_type,meat_type,meat_type
CCY11A,SRR29536166,0.3299381108508643,meat_type,meat_type,meat_type
CCY11A,CCY48A,0.17802045304757952,meat_type,meat_type,meat_type
CCY11A,CCY49A,0.41574663812598467,meat_type,meat_type,meat_type
CCY11A,SRR29536176,0.7105051600434129,meat_type,meat_type,meat_type
CCY11A,SRR29536164,0.35344168332335607,meat_type,meat_type,meat_type
CCY11A,CCY34B,0.2503427866603352,meat_type,meat_type,meat_type
CCY11A,SRR29449380,0.2756296166085031,meat_type,meat_type,meat_type
CCY11A,SRR29449379,0.20268477842347557,meat_type,meat_type,meat_type
CCY11A,SRR29449364,0.2953047460303848,meat_type,meat_type,meat_type
CCY11A,CCY9B,0.15002638539058155,meat_type,meat_type,meat_type
CCY11A,SRR29536188,0.35172390335922715,meat_type,meat_type,meat_type
CCY11A,SRR29449360,0.23172523810259682,meat_type,meat_type,meat_type
CCY11A,CCY35B,0.2026067879014245,meat_type,meat_type,meat_type
