Genus	Hpyl_rpoB_RIF	H-NS	tet(Q)	vanUG	AcrE	fexB	Cjej_gyrA_FLO	tet(O)	cpxA	mdtH
g__Avibacteroides	0.216468912	0.874227632	1.16E-09	0.023257851	0.874107117	0.484801527	0.672221514	0.941684565	0.911405964	0.662744062
g__Brachyspira	0.145601252	0.007106018	1.68E-23	0.07852914	0.026800447	0.000385737	0.09078254	0.002719318	0.000317392	0.585754905
g__CALXNP01	0.004565567	0.006111414	2.71E-05	0.6530958	0.07852914	0.122163034	0.936491769	0.23783432	0.315534886	0.88698243
g__Campylobacter_D	0.121393932	0.238889441	0.936491769	0.694164129	0.000392013	0.059672853	1.79E-24	0.038737224	0.019301214	0.017272406
g__Campylobacter_E	0.41935301	0.003463411	0.250995061	0.333353247	0.005190142	0.278944554	0.004882849	0.25342377	0.000145998	0.263716393
g__Enterenecus	0.505806455	0.20054671	8.29E-06	1.50E-05	0.741921657	0.186338809	0.018313582	0.695826514	0.033284041	0.093343588
g__Enterococcus_E	2.08E-07	0.008253981	6.48E-08	0.001089957	0.00030483	0.000145998	0.06871668	0.05810344	2.38E-07	0.041196732
g__Escherichia	0.007106018	4.34E-23	5.21E-07	0.456373006	5.27E-23	5.14E-06	0.010432811	0.008020907	6.72E-42	1.73E-19
g__Fusobacterium_A	0.315534886	0.00249199	0.030610064	0.121393932	0.001193672	0.294027334	0.037386387	1.19E-24	0.000347613	0.003463411
g__Helicobacter_G	0.741921657	0.069870458	8.50E-15	5.11E-07	0.090127712	0.005190142	0.186338809	0.518443417	0.000128942	0.303568231
g__Helicobacter_H	1.33E-10	0.035541007	0.016502006	0.018313582	0.005190142	0.012722605	0.272188804	0.000112917	0.004546987	0.000317392
g__Limousia	0.274183178	0.469543028	0.399522783	4.03E-25	0.688059767	0.96790155	0.835341865	0.08990847	0.315534886	0.695826514
g__Megamonas	0.026800447	0.06164212	2.28E-11	0.688059767	0.147570044	0.00249199	0.250995061	0.945939964	0.02462055	0.368094706
g__Paraprevotella	7.07E-06	0.000531255	6.59E-34	0.002212474	0.005419092	0.035541007	0.184379721	0.0414482	3.06E-07	0.007548248
g__Phocaeicola	0.000478302	0.002334525	7.74E-53	0.477775013	0.00030483	0.000624424	0.062343606	0.003215283	8.16E-11	0.002334525
g__Salmonella	0.852271667	0.36864479	0.518443417	0.315534886	0.757622515	0.625236371	0.457237284	0.509848488	0.282958008	0.41935301
